Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	5266.458	8877.743		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	5266.458	8877.743	7875.000	BIO	INSECT	
2	Waveform 1	1	29.772724688	41.306814596	1053.292	3611.285		BIO	AVEVOC	MYI_SP
2	Spectrogram 1	1	29.772724688	41.306814596	1053.292	3611.285	1500.000	BIO	AVEVOC	MYI_SP
3	Waveform 1	1	58.501104885	61.029513757	1278.997	2708.464		BIO	AVEVOC	
3	Spectrogram 1	1	58.501104885	61.029513757	1278.997	2708.464	2250.000	BIO	AVEVOC	
4	Waveform 1	1	54.097696176	56.370423252	174.545	2007.273		BIO	AVEVOC	ORT_SP
4	Spectrogram 1	1	54.097696176	56.370423252	174.545	2007.273	375.000	BIO	AVEVOC	ORT_SP
5	Waveform 1	1	19.687417507	29.403325754	0.000	2094.545			PULSOS	
5	Spectrogram 1	1	19.687417507	29.403325754	0.000	2094.545	375.000		PULSOS	
6	Waveform 1	1	0.000000000	59.980656906	14712.644	38620.690		BIO	INDETE	
6	Spectrogram 1	1	0.000000000	59.980656906	14712.644	38620.690	24375.000	BIO	INDETE	
