sensor_name,eventID,decimalLat,decimalLon,Tipo,Dis_CP,Dis_Oleodu,Dis_Pozo,Dis_Pozact,Dis_Ferroc,Dis_Kale,Dis_Plater,DisBosque,Dis_CobNat,Dis_Cienag,Dis_MGSG,Dis_Dre345,UCSuelo,Cobertura,Tam_Parche,Plataf,Dis_PlatEf,Dis_ViaPri,Dia_ViaSec,Presión sonora 1,Presión sonora 2,Presión sonora 3,Presión sonora 4
G021,ANH_327,7.225138889,-73.85913889,PE,1006.016169,2854.974166,2158.078121,5201.194722,6411.222235,14955.64248,3868.185453,1772.849321,1034.695959,6391.166681,1041.060881,10004.54354,PVAa,Palma,183.1202655,Platero,3868.185453,2635.188679,990.1060891,50.6,62.5,43.8,62.2
G022,ANH_275,7.383444445,-73.82483333,PE,5965.635048,2289.976025,3605.917996,3605.917996,5659.295877,2180.09069,13723.63607,0,0,5565.372647,7958.510969,3811.166043,PVAa,Bosque Ripario,13.70710311,Kale,2180.09069,6371.785651,16.52711016,42,59.3,56.1,48.5
G023,ANH_240,7.395027778,-73.80772222,PE,4119.181686,2280.232367,5108.575674,5108.575674,5066.535368,4326.487064,15740.63153,0,0,3403.023036,9451.940769,1828.992515,PVCb2,Bosque Ripario,71.81317271,Kale,4326.487064,7987.321647,541.7817932,41.4,44.9,40.6,42.9
G024,ANH_256,7.295527778,-73.78208333,PE,1791.529429,980.6806021,2980.080059,6834.268508,746.2828411,9937.441853,11011.44757,1031.781288,748.6124782,11850.60216,5575.918838,1780.749624,PVAa,Palma,1096.107556,Caracterizacion,9937.441853,2527.744725,5422.704957,64.3,43.5,52.1,39.2
G025,ANH_389,7.454416667,-73.78519444,PE,3603.848487,1612.212719,7067.288293,7067.288293,6153.653098,10388.83299,22700.88287,0,0,67.26783534,11790.10208,2413.80669,RVCa,Bosque Ripario,51.44965408,Kale,10388.83299,7368.493046,3914.517937,67.1,62.9,47.1,60.8
G026,ANH_66,7.364777778,-73.81052778,PE,4877.325503,2064.38539,6058.08658,6058.08658,3232.881147,3749.572271,12764.78307,262.7309907,262.7309907,6464.908237,9867.250632,2627.363522,PVAa,Palma,556.0054155,Kale,3749.572271,4940.572512,2570.013011,49.1,37.4,34.7,32.3
G027,ANH_58,7.358,-73.71075,PE,2335.44251,72.83687924,2791.61844,9087.968329,1754.287592,14768.50763,20876.54287,0,0,10143.43131,11124.07098,2620.966398,LVCb2,Bosque Ripario,464.8329216,Caracterizacion,14768.50763,4637.140151,9095.663339,33.1,45.8,40.5,37.6
G028,ANH_248,7.260694445,-73.81363889,PE,2933.264609,412.604599,3007.047366,3126.316705,3147.534735,11527.40203,7211.960066,0,0,8753.880522,2743.647222,5717.9231,PVAa,Bosque Ripario,86.22164614,Platero,7211.960066,581.5662717,3844.457621,35.4,62.8,42.6,45
G029,ANH_181,7.264111111,-73.8785,PE,4848.701729,6406.183845,1879.52382,1879.52382,7406.642598,10800.18649,47.77142534,0,0,1821.104255,4316.159942,6249.494387,PVAa,Bosque Ripario,78.64786874,Platero,47.77142534,5924.605926,1434.683544,44.5,38.4,45.4,41.4
G02A,ANH_197,7.417861111,-73.85855556,PE,4023.661666,1078.834482,2217.183272,2217.183272,9296.172219,4029.469637,16318.53792,0,0,6815.194394,3421.661937,1421.573813,RVCa,Bosque Abierto,103.0506679,Kale,4029.469637,3300.784485,5195.805025,43.6,54,41.2,45
G030,ANH_370,7.285944445,-73.85475,PE,4741.287858,3841.652761,2495.914018,5385.644355,4780.984042,8227.757463,3097.171971,0,0,3991.70001,6006.780709,3293.62607,PVAa,Bosque Ripario,39.67404334,Platero,3097.171971,3848.743644,2128.72981,38.2,44.3,45.3,50.3
G031,ANH_109,7.380638889,-73.88080556,PE,2384.832436,226.7312386,1602.972503,1602.972503,4503.190994,2072.544593,12045.87278,81.17272099,8.331295758,2022.838593,1923.507104,372.9284316,RVCa,Palma,632.8655735,Kale,2072.544593,1636.925556,4969.305018,62.1,65.3,66,55.7
G032,ANH_182,7.255944445,-73.86463889,PE,3474.551562,4666.296074,1311.884849,3237.560032,8181.102042,11554.7251,1581.827009,0,0,3597.739459,4193.588017,6691.347382,PVAa,Bosque Ripario,2.404120823,Platero,1581.827009,4167.378377,917.9411098,54,41.4,39.1,38.4
G033,ANH_228,7.370194445,-73.84625,PE,4252.179591,286.9743643,3099.649594,3099.649594,4575.373602,0,11472.83466,0,0,3519.346596,5885.810153,2303.154188,PVAa,Bosque Ripario,13.50174066,Kale,0,4693.333248,985.0469112,35.9,42.8,38.5,40.1
G034,ANH_375,7.323666667,-73.71661111,PE,2051.732825,246.3621384,3725.052867,5558.865615,1237.394623,14688.64585,18819.85821,0,0,12718.1269,7321.130107,3421.213221,LVBe3,Bosque Ripario,740.9173164,Caracterizacion,14688.64585,1046.469608,5520.438732,50.5,45.2,30.9,51.2
G035,ANH_282,7.435444445,-73.80936111,PE,3622.46017,576.1860037,5714.967664,6400.314884,7750.389409,7118.278606,19668.45362,63.31168658,0,1290.36998,8956.794575,2227.400196,RVCa,Herbazales,40.46798621,Kale,7118.278606,5787.569346,3194.491338,33.6,59,44.8,35.9
G036,ANH_236,7.244333334,-73.86847222,PE,2840.806321,4632.267455,531.4794159,3139.765239,8551.206836,12854.51873,1574.719387,46.56013809,46.56013809,4091.996787,3368.22512,8027.610487,PVAa,Palma,63.70995608,Platero,1574.719387,3855.652304,2093.918197,35.1,34.9,43.4,44.2
G037,ANH_227,7.250833334,-73.81491667,PE,2673.297798,699.8635992,2139.962692,2349.728541,3147.821725,12535.90497,7082.260821,852.9595939,852.9595939,8882.374431,1652.960298,5633.345392,PVAa,Palma,212.1996271,Platero,7082.260821,1055.629604,3183.332443,53.6,51.9,31.8,46.3
G038,ANH_239,7.357861111,-73.82833333,PE,3178.796046,162.2967488,5293.157669,5293.157669,3383.515174,1803.772097,11043.37009,0,0,5097.532821,8148.481074,2812.42613,PVCb2,Bosque Ripario,68.9071628,Kale,1803.772097,3527.546357,947.8106119,51.2,49.5,64.8,48.6
G039,ANH_212,7.390583334,-73.783,PE,3145.841937,4343.804775,6598.071766,7871.799735,2872.770844,6862.089858,16880.89917,209.6646385,209.6646385,2986.85423,12208.50531,288.9467884,PVFa,Palma,29.69773573,Kale,6862.089858,7273.089209,1893.689219,47.9,50.1,45.8,50.6
G040,ANH_351,7.288138889,-73.88508333,PE,2735.879221,6321.746779,3584.477311,3584.477311,4814.832121,8382.494301,1814.604647,291.5470452,291.5470452,996.4210768,2655.530283,4461.167771,PVAa,Palma,260.3420627,Platero,1814.604647,3922.56587,267.5978412,38,49.5,47.3,49.8
G041,ANH_222,7.286388889,-73.80555556,PE,2851.611996,168.3160104,5544.849364,5588.795142,1942.354836,9232.890276,8260.920113,334.0729062,334.0729062,9322.275089,4990.248942,3482.293583,PVAa,Palma,137.6228642,Platero,8260.920113,682.3424026,5207.274159,56.9,34,44.1,48.2
G042,ANH_101,7.274133,-73.738422,PE,4305.817935,1154.203499,1330.003263,4405.139189,5272.641488,15097.2146,15515.94836,0,0,16614.03938,2847.772871,1187.623638,PVCb2,Bosque Ripario,111.615833,Caracterizacion,15097.2146,3996.10712,1825.774618,64.6,54.9,54.7,46.4
G043,ANH_62,7.288832003,-73.72220901,PE,2124.034522,1419.955167,1195.144852,2929.31419,4345.122217,15643.88025,17407.0655,0,0,15746.18697,3547.272515,103.495048,PVFa,Bosque Ripario,664.4649978,Caracterizacion,15643.88025,1580.086006,2406.606004,41.6,53.3,30.4,48.2
G044,ANH_257,7.255388889,-73.78183333,PE,577.1122526,125.4113015,2878.915304,2878.915304,394.5434744,13506.03889,10726.63243,695.0453812,695.0453812,12314.46771,1203.549492,2242.985445,PVAa,Palma,834.954272,Caracterizacion,10726.63243,1351.767021,1012.464336,42,43.1,44,61.9
G045,ANH_160,7.263055556,-73.82136111,PE,3802.488694,475.1782255,3295.766732,3827.72845,3965.953489,11050.56914,6358.178581,0,0,7868.15105,3048.799696,6209.697773,PVAa,Bosque Ripario,86.22164614,Platero,6358.178581,1423.390085,3423.769949,48,37.6,39.6,40.5
G046,ANH_289,7.309314725,-73.71706988,PE,2567.514325,1384.772381,2852.579827,4140.50131,2475.723133,15156.02162,18348.38477,0,0,14018.0491,5736.686865,2058.449486,PVBc2,Bosque Ripario,15.48677004,Caracterizacion,15156.02162,82.77171078,4011.578987,52.7,32.2,42,39.2
G047,ANH_135,7.239027778,-73.87933333,PE,3442.363203,5507.782064,1819.854838,2555.948309,9119.193745,13555.71941,1652.567331,0,0,3935.237704,3626.554746,8883.672283,PVAa,Bosque Ripario,17.5640809,Platero,1652.567331,4851.544421,3384.742152,40.4,45.8,48.9,52.1
G048,ANH_81,7.402611111,-73.85347222,PE,4201.690669,18.02662231,471.6613352,471.6613352,8081.265822,2341.364136,14746.41449,80.72034542,7.396329118,5688.22187,4376.743287,2851.645813,PVAa,Palma,148.5096761,Kale,2341.364136,4128.021293,3568.697405,54.1,43.6,62.9,43.4
G049,ANH_254,7.255666667,-73.84058333,PE,2830.545808,2141.03935,1468.027266,5023.881992,6027.836696,11576.56499,4238.493669,853.7267868,853.7267868,6019.072344,2944.618069,6503.787785,PVAa,Palma,311.7632351,Platero,4238.493669,2563.800377,1173.657236,46.2,38.9,38.6,47.5
G050,ANH_89,7.274891237,-73.75713241,PE,3868.984637,503.9275753,3296.740541,6336.603735,3228.562256,13498.45278,13452.00281,651.2610715,651.2610715,14795.34974,3358.835276,2001.104433,PVAa,Palma,834.954272,Caracterizacion,13452.00281,4685.730695,2573.637495,41.5,55.9,57.4,35.7
G051,ANH_209,7.373,-73.82802778,PE,4758.035197,1527.21928,4001.511455,4001.511455,5051.574151,1816.919428,12531.52829,370.2877684,370.2877684,5483.646147,7810.098525,3995.679155,PVAa,Palma,556.0054155,Kale,1816.919428,5170.658772,483.3336301,47.2,58.3,48.4,67.4
G052,ANH_241,7.381805556,-73.81436111,PE,5668.47517,3016.110871,4731.187008,4731.187008,4585.084506,3325.465135,14108.02486,0,0,5024.476859,9128.804392,2640.881418,PVAa,Bosque Ripario,9.853489033,Kale,3325.465135,6522.396524,752.3772321,48.3,57.2,48.4,55.5
G053,ANH_145,7.238027878,-73.91163889,PE,5352.317521,8749.772703,2864.191824,2864.191824,10693.94502,14594.46732,2157.375327,1192.714812,13.73050433,4185.60904,455.3063802,10596.10272,RVBa,Palma,392.4461163,Platero,2157.375327,8376.632113,5471.585211,59.4,40.5,45.2,48.7
G054,ANH_243,7.379222222,-73.78475,PE,4416.62199,3978.707444,6084.75992,7919.722317,2276.315377,6594.610139,15794.14666,0,0,4247.329758,12378.39106,22.66894317,PVCb2,Bosque Ripario,191.1474957,Kale,6594.610139,6004.86311,2860.140515,50.9,35.4,44.2,37.1
G055,ANH_279,7.269583334,-73.81569444,PE,3678.069815,173.5347693,3975.273005,4101.655784,3263.609859,10521.43137,6981.20922,433.8237772,0,8400.15814,3727.502749,5590.19406,PVAa,Herbazales,84.60542354,Platero,6981.20922,776.3066244,4323.77296,46.9,60,37.4,44.8
G056,ANH_217,7.354972222,-73.72508333,PE,3427.843316,117.1090529,1179.354733,9133.972724,2311.242966,13196.87991,19320.53771,38.99333629,38.99333629,9411.760617,10840.51717,3404.124997,LVBd2,Palma,35.79010946,Caracterizacion,13196.87991,3581.856233,9106.015112,35.8,46.5,43.1,50.2
G057,ANH_238,7.348388889,-73.82058333,PE,2766.04367,6.157632951,6637.622337,6637.622337,2504.144813,2948.677922,10648.12371,0,0,5951.858561,9096.828353,2013.715375,PVCb2,Bosque Ripario,68.9071628,Kale,2948.677922,2837.394538,1960.574609,50.2,53,48.9,59.4
G058,ANH_395,7.325611111,-73.80152778,PE,1405.007115,865.6080863,4057.990702,9888.590929,409.5766925,6098.863975,10418.12513,0,0,8588.964159,9128.469271,193.320071,PVCb2,Bosque Ripario,48.53272052,Kale,6098.863975,920.9949792,4319.452301,51.7,53.7,59.7,45.8
G059,ANH_291,7.400527778,-73.86597222,PE,2828.915585,831.4660655,1052.801752,1052.801752,7231.688141,2157.984944,14317.55097,0,0,4737.046383,3122.109927,1766.501494,RVAa,Bosque Ripario,169.4994937,Kale,2157.984944,2833.336447,4563.295264,61.9,57.1,47.9,52.7
G060,ANH_350,7.20975,-73.87575,PE,447.3030381,3813.513937,3561.71736,5273.556541,7254.841302,16727.74359,4903.265628,1310.10259,101.2714322,7125.739577,750.3613454,11934.75451,RVAa,Palma,121.1004186,Platero,4903.265628,4986.667552,539.1367735,63.2,52.7,51.3,65.4
G061,ANH_213,7.354138889,-73.78863889,PE,3198.0941,2595.36124,4818.207505,8706.174358,590.8585636,6203.834358,13507.2259,66.35068234,66.35068234,7040.338108,12097.74597,460.0215315,PVCb2,Palma,48.74298552,Kale,6203.834358,3211.165095,4926.953614,57.3,36.6,54.4,50
G062,ANH_230,7.308972222,-73.85983333,PE,2804.146487,2707.821886,5101.520248,6875.707577,2293.372384,5685.039635,4627.70764,0,0,3446.130279,5553.7507,887.8066036,PVAa,Bosque Ripario,135.5943303,Platero,4627.70764,1826.967359,2640.742532,51.6,59.4,46.8,48.1
G063,ANH_85,7.276944445,-73.904,PE,2169.263779,8720.771805,2474.071244,2474.071244,6310.208522,10321.098,691.8040808,193.5180896,0,292.6226913,1282.654141,6827.990585,RVBa,Herbazales,39.60026363,Platero,691.8040808,5688.47019,2694.912548,49.8,61.4,51.7,53
G064,ANH_360,7.319888889,-73.71069444,PE,2743.593724,997.590854,2976.554208,4956.592231,1866.328947,15433.43073,19323.76786,0,0,13438.10887,6914.602546,3406.844971,LVBe3,Bosque Ripario,740.9173164,Caracterizacion,15433.43073,1086.136539,4972.013361,47.1,38,37.6,38
G065,ANH_284,7.342555556,-73.7065,PE,1533.365783,484.4966365,3469.844742,7332.450153,6.931267242,15361.33501,20586.59416,0,0,11813.27415,9438.76665,4178.32467,LVFbp,Bosque Ripario,740.9173164,Caracterizacion,15361.33501,3409.766769,7338.414179,54.1,45.3,42.8,47.3
G066,ANH_235,7.268861111,-73.82702778,PE,4665.843517,1299.118921,2730.652101,4721.425392,4516.219815,10291.57856,5729.961785,0,0,7160.327431,3776.633589,5377.815222,PVAa,Bosque Ripario,86.22164614,Platero,5729.961785,2029.69525,3195.871385,32.9,42.3,41,43.8
G067,ANH_280,7.25675,-73.91444444,PE,4383.354205,9842.691209,2264.735343,2264.735343,8770.640242,12834.54054,1542.834817,512.2575249,0,2552.561159,269.0450234,9211.23378,RVAa,Herbazales,3.742911497,Platero,1542.834817,8198.958882,4880.939382,54.7,61.2,57.5,55.1
