Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Descripción
1	Waveform 1	1	0.000000000	59.999994792	7297.806	8125.392		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	7297.806	8125.392	7500.000	BIO	INSECT	
2	Waveform 1	1	41.988632719	53.409086273	6545.455	6921.630		BIO	INSECT	
2	Spectrogram 1	1	41.988632719	53.409086273	6545.455	6921.630	6750.000	BIO	INSECT	
3	Waveform 1	1	0.511363592	59.999994792	4137.931	4664.577		BIO	INSECT	
3	Spectrogram 1	1	0.511363592	59.999994792	4137.931	4664.577	4500.000	BIO	INSECT	
4	Waveform 1	1	12.215908031	25.397725068	601.881	1579.937		BIO	AVEVOC	ORT_SP
4	Spectrogram 1	1	12.215908031	25.397725068	601.881	1579.937	1125.000	BIO	AVEVOC	ORT_SP
5	Waveform 1	1	32.272724471	49.374995714	376.176	3009.404		BIO	AVEVOC	
5	Spectrogram 1	1	32.272724471	49.374995714	376.176	3009.404	1125.000	BIO	AVEVOC	
