Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Descripción
1	Waveform 1	1	0.113636354	59.999994792	13241.379	44238.245				
1	Spectrogram 1	1	0.113636354	59.999994792	13241.379	44238.245	32250.000			
2	Waveform 1	1	0.000000000	59.999994792	6319.749	9028.213				
2	Spectrogram 1	1	0.000000000	59.999994792	6319.749	9028.213	8250.000			
3	Waveform 1	1	31.590906349	37.045451330	1730.408	3385.580		BIO	AVEVOC	
3	Spectrogram 1	1	31.590906349	37.045451330	1730.408	3385.580	1875.000	BIO	AVEVOC	
4	Waveform 1	1	20.454543679	20.965907271	2482.759	3536.050		BIO	AVEVOC	
4	Spectrogram 1	1	20.454543679	20.965907271	2482.759	3536.050	3375.000	BIO	AVEVOC	
5	Waveform 1	1	0.340909061	6.988635757	752.351	2783.699		BIO	AVEVOC	CAMGRY
5	Spectrogram 1	1	0.340909061	6.988635757	752.351	2783.699	1875.000	BIO	AVEVOC	CAMGRY
6	Waveform 1	1	48.749995768	51.988631851	1504.702	3009.404		BIO	AVEVOC	
6	Spectrogram 1	1	48.749995768	51.988631851	1504.702	3009.404	2250.000	BIO	AVEVOC	
7	Waveform 1	1	51.874995497	54.943177049	2332.288	3836.991		BIO	AVEVOC	
7	Spectrogram 1	1	51.874995497	54.943177049	2332.288	3836.991	3000.000	BIO	AVEVOC	
