Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	3.463414334	125.654	628.272		ANT	TRAMOT	
1	Spectrogram 1	1	0.000000000	3.463414334	125.654	628.272	375.000	ANT	TRAMOT	
2	Waveform 1	1	46.146337458	59.999994792	628.272	2387.435		BIO	AVEVOC	CAMGRY
2	Spectrogram 1	1	46.146337458	59.999994792	628.272	2387.435	1500.000	BIO	AVEVOC	CAMGRY
3	Waveform 1	1	0.243902418	59.999994792	2010.471	3141.361		BIO	AVEVOC	ATTSPA
3	Spectrogram 1	1	0.243902418	59.999994792	2010.471	3141.361	2625.000	BIO	AVEVOC	ATTSPA
4	Waveform 1	1	0.878048704	58.975604637	3141.361	4146.597		BIO	HERPET	
4	Spectrogram 1	1	0.878048704	58.975604637	3141.361	4146.597	4125.000	BIO	HERPET	
5	Waveform 1	1	0.000000000	11.512194123	4209.424	5842.932		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	11.512194123	4209.424	5842.932	5250.000	BIO	INSECT	
6	Waveform 1	1	17.170730217	25.902436776	4335.079	5591.623		BIO	AVEVOC	
6	Spectrogram 1	1	17.170730217	25.902436776	4335.079	5591.623	4875.000	BIO	AVEVOC	
7	Waveform 1	1	33.024387377	43.219508443	3958.115	6031.414		BIO	INDETE	
7	Spectrogram 1	1	33.024387377	43.219508443	3958.115	6031.414	4875.000	BIO	INDETE	
8	Waveform 1	1	0.000000000	59.999994792	6345.550	8670.157		BIO	INSECT	
8	Spectrogram 1	1	0.000000000	59.999994792	6345.550	8670.157	7875.000	BIO	INSECT	
9	Waveform 1	1	0.048780484	59.951214308	15204.188	16209.424		BIO	INSECT	
9	Spectrogram 1	1	0.048780484	59.951214308	15204.188	16209.424	15750.000	BIO	INSECT	
10	Waveform 1	1	0.000000000	59.902433825	17717.277	24818.812		BIO	INSECT	
10	Spectrogram 1	1	0.000000000	59.902433825	17717.277	24818.812	21375.000	BIO	INSECT	
