path_audio,fname,sample_rate,channels,bits,samples,length,fsize,sensor_name,date,time,site,hour
/Volumes/PAPAYA/anh_aguas_bajas/G005/G005_20220421_053000.WAV,G005_20220421_053000.WAV,192000,1,16,11520000,60.0,23040488,G005,2022-04-21 05:30:00,53000,G005,05
/Volumes/PAPAYA/anh_aguas_bajas/G005/G005_20220329_193000.WAV,G005_20220329_193000.WAV,192000,1,16,11520000,60.0,23040488,G005,2022-03-29 19:30:00,193000,G005,19
/Volumes/PAPAYA/anh_aguas_bajas/G006/G006_20220417_173000.WAV,G006_20220417_173000.WAV,192000,1,16,11520000,60.0,23040488,G006,2022-04-17 17:30:00,173000,G006,17
/Volumes/PAPAYA/anh_aguas_bajas/G006/G006_20220417_063000.WAV,G006_20220417_063000.WAV,192000,1,16,11520000,60.0,23040488,G006,2022-04-17 06:30:00,63000,G006,06
/Volumes/PAPAYA/anh_aguas_bajas/G006/G006_20220329_200000.WAV,G006_20220329_200000.WAV,192000,1,16,11520000,60.0,23040488,G006,2022-03-29 20:00:00,200000,G006,20
/Volumes/PAPAYA/anh_aguas_bajas/G006/G006_20220327_060000.WAV,G006_20220327_060000.WAV,192000,1,16,11520000,60.0,23040488,G006,2022-03-27 06:00:00,60000,G006,06
/Volumes/PAPAYA/anh_aguas_bajas/G006/G006_20220414_053000.WAV,G006_20220414_053000.WAV,192000,1,16,11520000,60.0,23040488,G006,2022-04-14 05:30:00,53000,G006,05
/Volumes/PAPAYA/anh_aguas_bajas/G006/G006_20220322_193000.WAV,G006_20220322_193000.WAV,192000,1,16,11520000,60.0,23040488,G006,2022-03-22 19:30:00,193000,G006,19
/Volumes/PAPAYA/anh_aguas_bajas/G007/G007_20220419_173000.WAV,G007_20220419_173000.WAV,192000,1,16,11520000,60.0,23040488,G007,2022-04-19 17:30:00,173000,G007,17
/Volumes/PAPAYA/anh_aguas_bajas/G007/G007_20220413_180000.WAV,G007_20220413_180000.WAV,192000,1,16,11520000,60.0,23040488,G007,2022-04-13 18:00:00,180000,G007,18
/Volumes/PAPAYA/anh_aguas_bajas/G007/G007_20220331_190000.WAV,G007_20220331_190000.WAV,192000,1,16,11520000,60.0,23040488,G007,2022-03-31 19:00:00,190000,G007,19
/Volumes/PAPAYA/anh_aguas_bajas/G007/G007_20220329_050000.WAV,G007_20220329_050000.WAV,192000,1,16,11520000,60.0,23040488,G007,2022-03-29 05:00:00,50000,G007,05
/Volumes/PAPAYA/anh_aguas_bajas/G007/G007_20220416_050000.WAV,G007_20220416_050000.WAV,192000,1,16,11520000,60.0,23040488,G007,2022-04-16 05:00:00,50000,G007,05
/Volumes/PAPAYA/anh_aguas_bajas/G007/G007_20220324_183000.WAV,G007_20220324_183000.WAV,192000,1,16,11520000,60.0,23040488,G007,2022-03-24 18:30:00,183000,G007,18
/Volumes/PAPAYA/anh_aguas_bajas/G008/G008_20220331_170000.WAV,G008_20220331_170000.WAV,192000,1,16,11520000,60.0,23040488,G008,2022-03-31 17:00:00,170000,G008,17
/Volumes/PAPAYA/anh_aguas_bajas/G008/G008_20220325_190000.WAV,G008_20220325_190000.WAV,192000,1,16,11520000,60.0,23040488,G008,2022-03-25 19:00:00,190000,G008,19
/Volumes/PAPAYA/anh_aguas_bajas/G008/G008_20220329_073000.WAV,G008_20220329_073000.WAV,192000,1,16,11520000,60.0,23040488,G008,2022-03-29 07:30:00,73000,G008,07
/Volumes/PAPAYA/anh_aguas_bajas/G008/G008_20220331_193000.WAV,G008_20220331_193000.WAV,192000,1,16,11520000,60.0,23040488,G008,2022-03-31 19:30:00,193000,G008,19
/Volumes/PAPAYA/anh_aguas_bajas/G008/G008_20220407_170000.WAV,G008_20220407_170000.WAV,192000,1,16,11520000,60.0,23040488,G008,2022-04-07 17:00:00,170000,G008,17
/Volumes/PAPAYA/anh_aguas_bajas/G008/G008_20220419_203000.WAV,G008_20220419_203000.WAV,192000,1,16,11520000,60.0,23040488,G008,2022-04-19 20:30:00,203000,G008,20
/Volumes/PAPAYA/anh_aguas_bajas/G010/G010_20220417_173000.WAV,G010_20220417_173000.WAV,192000,1,16,11520000,60.0,23040488,G010,2022-04-17 17:30:00,173000,G010,17
/Volumes/PAPAYA/anh_aguas_bajas/G010/G010_20220417_063000.WAV,G010_20220417_063000.WAV,192000,1,16,11520000,60.0,23040488,G010,2022-04-17 06:30:00,63000,G010,06
/Volumes/PAPAYA/anh_aguas_bajas/G010/G010_20220329_200000.WAV,G010_20220329_200000.WAV,192000,1,16,11520000,60.0,23040488,G010,2022-03-29 20:00:00,200000,G010,20
/Volumes/PAPAYA/anh_aguas_bajas/G010/G010_20220327_060000.WAV,G010_20220327_060000.WAV,192000,1,16,11520000,60.0,23040488,G010,2022-03-27 06:00:00,60000,G010,06
