Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.338664129	46.340541603	536.741	2453.674		BIO	AVEVOC	NYCALB
1	Spectrogram 1	1	0.338664129	46.340541603	536.741	2453.674	2250.000	BIO	AVEVOC	NYCALB
2	Waveform 1	1	54.976476883	59.999994792	306.709	1686.901		ANT	ALTVOZ	
2	Spectrogram 1	1	54.976476883	59.999994792	306.709	1686.901	750.000	ANT	ALTVOZ	
3	Waveform 1	1	13.941673296	36.406393829	2837.061	3297.125		BIO	INSECT	
3	Spectrogram 1	1	13.941673296	36.406393829	2837.061	3297.125	3000.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	3450.479	3910.543		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	3450.479	3910.543	3750.000	BIO	INSECT	
5	Waveform 1	1	0.000000000	59.999994792	4293.930	5137.380		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.999994792	4293.930	5137.380	4500.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.999994792	5214.058	6057.508		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	5214.058	6057.508	5250.000	BIO	INSECT	
7	Waveform 1	1	0.000000000	59.999994792	5980.831	6900.958		BIO	INSECT	
7	Spectrogram 1	1	0.000000000	59.999994792	5980.831	6900.958	6375.000	BIO	INSECT	
8	Waveform 1	1	12.982124931	22.803384662	10734.824	19015.974		BIO	INSECT	
8	Spectrogram 1	1	12.982124931	22.803384662	10734.824	19015.974	16500.000	BIO	INSECT	
9	Waveform 1	1	0.000000000	59.999994792	9124.601	9891.374		BIO	INSECT	
9	Spectrogram 1	1	0.000000000	59.999994792	9124.601	9891.374	9375.000	BIO	INSECT	
10	Waveform 1	1	0.000000000	59.999994792	18785.942	19936.102		BIO	INSECT	
10	Spectrogram 1	1	0.000000000	59.999994792	18785.942	19936.102	19500.000	BIO	INSECT	
11	Waveform 1	1	54.016928519	56.387577419	10734.824	17942.492		BIO	INSECT	
11	Spectrogram 1	1	54.016928519	56.387577419	10734.824	17942.492	15000.000	BIO	INSECT	
12	Waveform 1	1	0.000000000	59.999994792	12575.080	12958.466		BIO	INSECT	
12	Spectrogram 1	1	0.000000000	59.999994792	12575.080	12958.466	12750.000	BIO	INSECT	
13	Waveform 1	1	27.883346592	42.841012274	10964.856	11424.920		BIO	INSECT	
13	Spectrogram 1	1	27.883346592	42.841012274	10964.856	11424.920	11250.000	BIO	INSECT	
14	Waveform 1	1	0.000000000	59.999994792	13571.885	14645.367		BIO	INSECT	
14	Spectrogram 1	1	0.000000000	59.999994792	13571.885	14645.367	14250.000	BIO	INSECT	
