"group","indval","pvalue","freq","tf_bin"
"Herbazales",0.446175220715546,0.004,25,"V670"
"Herbazales",0.444663773770866,0.006,38,"V31"
"Herbazales",0.440640288676059,0.013,46,"V2362"
"Herbazales",0.439998668354942,0.002,35,"V1319"
"Herbazales",0.439882912326444,0.013,46,"V1964"
"Herbazales",0.439024582208866,0.009,37,"V1832"
"Herbazales",0.438293661501958,0.013,38,"V2591"
"Herbazales",0.437887744192075,0.037,81,"V40"
"Herbazales",0.437533822174182,0.003,31,"V2230"
"Herbazales",0.437070229615985,0.017,43,"V2976"
"Herbazales",0.436566692158462,0.005,36,"V2463"
"Herbazales",0.433837839449112,0.017,43,"V2593"
"Herbazales",0.432497499124697,0.004,36,"V1447"
"Herbazales",0.431578228181946,0.021,60,"V2917"
"Herbazales",0.431556080139591,0.01,37,"V1063"
"Herbazales",0.431345367523212,0.036,67,"V2466"
"Herbazales",0.431211145768316,0.019,48,"V1960"
"Herbazales",0.427257449652035,0.018,48,"V2740"
"Herbazales",0.423922585408225,0.035,53,"V2365"
"Herbazales",0.422121119046251,0.015,44,"V2848"
"Herbazales",0.421872611865683,0.019,48,"V806"
"Herbazales",0.420821940800126,0.014,41,"V2357"
"Herbazales",0.419662296379876,0.016,48,"V2849"
"Herbazales",0.419336765499983,0.009,41,"V2360"
"Herbazales",0.419073073771651,0.04,87,"V2724"
"Herbazales",0.416749220767509,0.027,87,"V419"
"Herbazales",0.416312626428276,0.016,45,"V1831"
"Herbazales",0.415902634838875,0.016,37,"V2355"
"Herbazales",0.415391446133772,0.005,29,"V1576"
"Herbazales",0.413068572801653,0.027,57,"V677"
"Herbazales",0.412981077761867,0.02,45,"V931"
"Herbazales",0.411934850843817,0.009,32,"V2481"
"Herbazales",0.410808903485662,0.006,31,"V1315"
"Herbazales",0.410663709687551,0.016,41,"V1575"
"Herbazales",0.409771365400271,0.032,60,"V3046"
"Herbazales",0.409364455709045,0.025,42,"V2592"
"Herbazales",0.407295561956979,0.048,66,"V2538"
"Herbazales",0.404686231354495,0.017,41,"V1061"
"Herbazales",0.402973870904796,0.005,27,"V542"
"Herbazales",0.402908616569845,0.012,35,"V1190"
"Herbazales",0.40198520288933,0.036,56,"V2915"
"Herbazales",0.401158055833698,0.019,40,"V1703"
"Herbazales",0.399617661456646,0.021,49,"V3044"
"Herbazales",0.399600288640928,0.036,56,"V2792"
"Herbazales",0.398541891945484,0.007,29,"V2354"
"Herbazales",0.398167442088815,0.026,55,"V2280"
"Herbazales",0.3975658382711,0.032,44,"V2720"
"Herbazales",0.394095403603108,0.048,55,"V1959"
"Herbazales",0.391679033645259,0.002,24,"V1186"
"Herbazales",0.39118163726567,0.049,55,"V2918"
"Herbazales",0.390099758507745,0.046,56,"V2794"
"Herbazales",0.386852332936133,0.018,40,"V1318"
"Herbazales",0.386434053875118,0.036,58,"V2921"
"Herbazales",0.385511172413234,0.011,25,"V1833"
"Herbazales",0.384673163055754,0.019,43,"V51"
"Herbazales",0.382593385735507,0.021,33,"V2482"
"Herbazales",0.381887157181273,0.019,37,"V1316"
"Herbazales",0.375495906463674,0.009,28,"V1451"
"Herbazales",0.374958046142137,0.032,39,"V2483"
"Herbazales",0.374764244195545,0.024,37,"V2975"
"Herbazales",0.372378661213691,0.037,44,"V2358"
"Herbazales",0.370352543842777,0.013,26,"V415"
"Herbazales",0.370141921133198,0.018,30,"V1520"
"Herbazales",0.369403335229687,0.009,25,"V671"
"Herbazales",0.367503899082852,0.036,40,"V2738"
"Herbazales",0.362341177998169,0.014,30,"V1704"
"Herbazales",0.360312875328991,0.034,34,"V306"
"Herbazales",0.358242835265656,0.009,19,"V2352"
"Herbazales",0.35594660287752,0.036,44,"V2359"
"Herbazales",0.353280938011277,0.043,41,"V930"
"Herbazales",0.351928839010294,0.049,38,"V32"
"Herbazales",0.349638447211931,0.012,22,"V798"
"Herbazales",0.339864722764057,0.033,33,"V2351"
"Herbazales",0.339666441723872,0.044,36,"V30"
"Herbazales",0.333416168983374,0.023,29,"V414"
"Herbazales",0.329709263401477,0.032,29,"V562"
"Herbazales",0.32892542128113,0.05,43,"V315"
"Herbazales",0.324071700148412,0.042,38,"V935"
"Herbazales",0.322922000480935,0.023,25,"V1443"
"Herbazales",0.32224272457255,0.039,30,"V158"
"Herbazales",0.318068968734176,0.034,32,"V2232"
"Herbazales",0.307452350319232,0.017,20,"V934"
"Herbazales",0.307386494483196,0.05,30,"V286"
"Herbazales",0.306482923200454,0.05,33,"V2229"
"Herbazales",0.305853957923568,0.032,26,"V543"
"Herbazales",0.305539889743128,0.04,27,"V819"
"Herbazales",0.30478317229078,0.008,14,"V1466"
"Herbazales",0.302205698944052,0.026,25,"V567"
"Herbazales",0.301096936595339,0.01,14,"V1707"
"Herbazales",0.30015048588884,0.015,17,"V1465"
"Herbazales",0.299744996281752,0.042,28,"V1444"
"Herbazales",0.296969337715222,0.029,20,"V690"
"Herbazales",0.296671298956008,0.025,22,"V301"
"Herbazales",0.296249240542148,0.029,21,"V2443"
