Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Feeding buzz
1	Waveform 1	1	0.225776086	56.613353505	690.096	2607.029		BIO	AVEVOC	NYCALB	
1	Spectrogram 1	1	0.225776086	56.613353505	690.096	2607.029	1875.000	BIO	AVEVOC	NYCALB	
2	Waveform 1	1	0.000000000	59.999994792	3757.188	5137.380		BIO	INSECT		
2	Spectrogram 1	1	0.000000000	59.999994792	3757.188	5137.380	4125.000	BIO	INSECT		
3	Waveform 1	1	0.000000000	59.999994792	5674.121	5904.153		BIO	INSECT		
3	Spectrogram 1	1	0.000000000	59.999994792	5674.121	5904.153	5625.000	BIO	INSECT		
4	Waveform 1	1	0.000000000	59.999994792	6057.508	6594.249		BIO	INSECT		
4	Spectrogram 1	1	0.000000000	59.999994792	6057.508	6594.249	6375.000	BIO	INSECT		
5	Waveform 1	1	0.000000000	59.999994792	6594.249	6977.636		BIO	INSECT		
5	Spectrogram 1	1	0.000000000	59.999994792	6594.249	6977.636	6750.000	BIO	INSECT		
6	Waveform 1	1	0.000000000	59.999994792	7667.732	8817.891		BIO	INSECT		
6	Spectrogram 1	1	0.000000000	59.999994792	7667.732	8817.891	8250.000	BIO	INSECT		
7	Waveform 1	1	0.000000000	59.999994792	11961.661	12575.080		BIO	INSECT		
7	Spectrogram 1	1	0.000000000	59.999994792	11961.661	12575.080	12375.000	BIO	INSECT		
8	Waveform 1	1	16.255878175	31.947316136	14722.045	20856.230		BIO	INSECT		
8	Spectrogram 1	1	16.255878175	31.947316136	14722.045	20856.230	18000.000	BIO	INSECT		
9	Waveform 1	1	0.451552172	59.999994792	15182.109	15948.882		BIO	INSECT		
9	Spectrogram 1	1	0.451552172	59.999994792	15182.109	15948.882	15750.000	BIO	INSECT		
10	Waveform 1	1	0.507996193	59.999994792	19552.716	21009.585		BIO	INSECT		
10	Spectrogram 1	1	0.507996193	59.999994792	19552.716	21009.585	20250.000	BIO	INSECT		
11	Waveform 1	1	49.219186696	51.646279618	10888.179	18019.169		BIO	INSECT		
11	Spectrogram 1	1	49.219186696	51.646279618	10888.179	18019.169	15750.000	BIO	INSECT		
12	Waveform 1	1	0.017577227	59.541599929	48027.363	58759.735		BIO	MURCIE	SACCAN	YES
12	Spectrogram 1	1	0.017577227	59.541599929	48027.363	58759.735	55500.000	BIO	MURCIE	SACCAN	YES
13	Waveform 1	1	3.395287118	6.600015519	32124.397	50497.603		BIO	MURCIE	MOL_SP	
13	Spectrogram 1	1	3.395287118	6.600015519	32124.397	50497.603	36000.000	BIO	MURCIE	MOL_SP	
14	Waveform 1	1	23.933054819	30.601399687	30287.076	47511.957		BIO	MURCIE	MOL_SP	
14	Spectrogram 1	1	23.933054819	30.601399687	30287.076	47511.957	35250.000	BIO	MURCIE	MOL_SP	
