Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	TIPO	ID	DETERMINACION
1	Waveform 1	1	0.000000000	59.999994792	5674.121	8587.859		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	5674.121	8587.859	6750.000	BIO	INSECT	
2	Waveform 1	1	0.000000000	59.999994792	2798.722	4255.591		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.999994792	2798.722	4255.591	3750.000	BIO	INSECT	
3	Waveform 1	1	0.000000000	7.423622759	536.741	2607.029		BIO	INSECT	NYCALB
3	Spectrogram 1	1	0.000000000	7.423622759	536.741	2607.029	1500.000	BIO	INSECT	NYCALB
4	Waveform 1	1	18.918264451	20.355094662	460.064	2683.706		BIO	HERPET	
4	Spectrogram 1	1	18.918264451	20.355094662	460.064	2683.706	1500.000	BIO	HERPET	
5	Waveform 1	1	26.262063309	27.778717422	536.741	2837.061		BIO	HERPET	
5	Spectrogram 1	1	26.262063309	27.778717422	536.741	2837.061	1500.000	BIO	HERPET	
6	Waveform 1	1	32.807623162	34.244453373	383.387	2223.642		BIO	AVEVOC	NYCALB
6	Spectrogram 1	1	32.807623162	34.244453373	383.387	2223.642	1875.000	BIO	AVEVOC	NYCALB
7	Waveform 1	1	37.197937697	38.475120107	383.387	2607.029		BIO	AVEVOC	NYCALB
7	Spectrogram 1	1	37.197937697	38.475120107	383.387	2607.029	1875.000	BIO	AVEVOC	NYCALB
8	Waveform 1	1	38.554944007	40.390893722	230.032	2683.706		BIO	HERPET	
8	Spectrogram 1	1	38.554944007	40.390893722	230.032	2683.706	1500.000	BIO	HERPET	
9	Waveform 1	1	42.466315139	44.382088754	843.450	2683.706		BIO	AVEVOC	NYCALB
9	Spectrogram 1	1	42.466315139	44.382088754	843.450	2683.706	1875.000	BIO	AVEVOC	NYCALB
10	Waveform 1	1	48.852227190	51.007472507	536.741	2683.706		BIO	AVEVOC	NYCALB
10	Spectrogram 1	1	48.852227190	51.007472507	536.741	2683.706	1875.000	BIO	AVEVOC	NYCALB
11	Waveform 1	1	57.074088955	58.750390869	306.709	2760.383		BIO	AVEVOC	NYCALB
11	Spectrogram 1	1	57.074088955	58.750390869	306.709	2760.383	1875.000	BIO	AVEVOC	NYCALB
12	Waveform 1	1	8.940276871	10.377107083	8664.537	11348.243		BIO	INSECT	
12	Spectrogram 1	1	8.940276871	10.377107083	8664.537	11348.243	10500.000	BIO	INSECT	
13	Waveform 1	1	48.701160927	59.465956889	23085.462	36002.327		BIO	MURCIE	MOLOSSI
13	Spectrogram 1	1	48.701160927	59.465956889	23085.462	36002.327	26625.000	BIO	MURCIE	MOLOSSI
