ACI,ADI,BI,H,Hf,Ht,NDSI,NP,SC,fname,sensor_name,date
308.2905948446037,3.0522522138744432,68.7697852360096,0.6464598849917176,0.6527716599663971,0.9903308072917805,0.9444450281716575,25.0,0.10888340557497442,G044_20220430_000000.WAV,G044,2022-04-30 00:00:00
306.3235681511901,3.0502105039933434,73.10133505317265,0.6627562295083939,0.6690041113179575,0.9906609216537473,0.9353865180658673,33.0,0.10876191025604046,G044_20220430_003000.WAV,G044,2022-04-30 00:30:00
309.3947250828445,3.0240373606310618,75.25276588718513,0.6586717696889834,0.6775179109030552,0.9721835527728677,0.9284587344404589,29.0,0.10104564640317042,G044_20220430_010000.WAV,G044,2022-04-30 01:00:00
315.5887269798393,3.035833546679651,69.64061734454394,0.7189825752255965,0.7387906869069412,0.9731884659181691,0.9067702528881686,48.0,0.11906453848823113,G044_20220430_013000.WAV,G044,2022-04-30 01:30:00
309.23883036729217,3.0453576083228002,66.55708565918327,0.6646210950089415,0.6718207315389608,0.9892833963109073,0.9317052088554846,28.0,0.10520882772750435,G044_20220430_020000.WAV,G044,2022-04-30 02:00:00
311.1082008291987,3.0444171060323346,65.671319598413,0.6522318265600262,0.6574331574422613,0.992088426293449,0.9403465021591536,37.0,0.10155784969018694,G044_20220430_023000.WAV,G044,2022-04-30 02:30:00
315.24558900447096,3.0528303542995623,68.40614128993418,0.684793938817975,0.6937461929391947,0.987095779101444,0.9332061771732895,28.0,0.11071894636462407,G044_20220430_030000.WAV,G044,2022-04-30 03:00:00
311.1190306027179,3.0479990961162646,66.08734491027388,0.6487476354694952,0.6550352766373868,0.9904010648095639,0.9212912096719703,26.0,0.10462757314411532,G044_20220430_033000.WAV,G044,2022-04-30 03:30:00
308.73204943880216,3.045222943063312,64.64009576629728,0.6706811732840625,0.6759244407296435,0.9922428201591276,0.9031838549081889,26.0,0.09651972725612001,G044_20220430_040000.WAV,G044,2022-04-30 04:00:00
306.06152817714417,3.0457740219072322,62.458106703593046,0.6796864500651019,0.6857959726143442,0.9910913408751119,0.8350949886837007,27.0,0.10178423305424374,G044_20220430_043000.WAV,G044,2022-04-30 04:30:00
311.0249390403836,3.04488736985328,62.28360602813321,0.6278384637110378,0.6338306894787855,0.990546015099592,0.7911386419594291,20.0,0.07444603816001895,G044_20220430_050000.WAV,G044,2022-04-30 05:00:00
311.32862768460564,3.0411888263661973,54.5973972624433,0.5804159165926738,0.5869914210803049,0.9887979547034444,0.9636512781170669,13.0,0.049976531299903766,G044_20220430_053000.WAV,G044,2022-04-30 05:30:00
304.65042546561745,3.059861103154612,37.04763583509881,0.6657039950193848,0.672033668465382,0.9905813149801685,0.880281967389583,9.0,0.01935708872741957,G044_20220430_060000.WAV,G044,2022-04-30 06:00:00
300.74974421469517,3.043455266390297,33.21301961840509,0.6323397131752416,0.6389159743422157,0.9897071580128443,0.4851688650326028,7.0,0.02100033476767735,G044_20220430_063000.WAV,G044,2022-04-30 06:30:00
296.84502037801036,3.0702544334590645,35.47861523580722,0.6356612766526419,0.639444354734155,0.9940838040816142,0.8595806638823942,6.0,0.03685241465390878,G044_20220430_070000.WAV,G044,2022-04-30 07:00:00
295.48652176758094,3.047886921617718,38.98203302082648,0.4840563735428907,0.4986550453241023,0.9707239063996171,0.9854330505774379,6.0,0.038638133622125086,G044_20220430_073000.WAV,G044,2022-04-30 07:30:00
303.03333692874827,3.0554382354669083,40.66380755152,0.6314473899106572,0.635092045631665,0.9942612165495116,0.16128946626125065,4.0,0.0062513274893210855,G044_20220430_080000.WAV,G044,2022-04-30 08:00:00
300.21153208707966,3.0490144643848542,48.26189082474154,0.6566680202619658,0.7224711248639468,0.9089193985235426,0.7125659627893434,11.0,0.020995964432463904,G044_20220430_083000.WAV,G044,2022-04-30 08:30:00
296.7711697369666,3.0589646026701423,41.38170941824114,0.6039511045581589,0.613191855367409,0.9849300822762669,0.8300639440975898,5.0,0.021496804847925446,G044_20220430_090000.WAV,G044,2022-04-30 09:00:00
301.8050180857484,3.0811910524732515,22.184557948828388,0.8180762614190348,0.8246499284251756,0.9920285362557486,0.6649531256992647,1.0,2.5347944238018944e-05,G044_20220430_093000.WAV,G044,2022-04-30 09:30:00
300.62377777249856,3.0550456285492116,12.644610393692606,0.5260296845276395,0.5311084744546124,0.9904373773508544,-0.3815387607989087,2.0,0.0,G044_20220430_100000.WAV,G044,2022-04-30 10:00:00
304.6592584399818,3.0517765523954505,11.010719301289837,0.7807298245280166,0.9062536056241073,0.8614915512422745,0.3796877769955437,1.0,7.866603384212774e-06,G044_20220430_103000.WAV,G044,2022-04-30 10:30:00
302.46864164225525,3.0767781685066824,8.143698925268735,0.7902161239779489,0.8334975948170047,0.9480724706247553,0.11679107154751782,1.0,0.0,G044_20220430_110000.WAV,G044,2022-04-30 11:00:00
305.1904456000159,3.070170675292356,19.321026079778445,0.7663044679709018,0.7786043032006971,0.984202713523117,0.1838938814794603,2.0,9.3525173567863e-05,G044_20220430_113000.WAV,G044,2022-04-30 11:30:00
304.98835604796824,3.058139790430456,6.882177652232417,0.7167967506035975,0.7348409625317149,0.9754447385922111,-0.14659689532015216,2.0,0.00017743560966613264,G044_20220430_120000.WAV,G044,2022-04-30 12:00:00
297.7118505031717,3.083039209742149,30.3300157524416,0.8807139906011706,0.8877930161766624,0.9920262657550765,0.6979954827954561,2.0,7.429569862867621e-05,G044_20220430_123000.WAV,G044,2022-04-30 12:30:00
