Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	3.005780086	59.942191328	5938.983	6589.831		BIO	INSECT			BUENO
1	Spectrogram 1	1	3.005780086	59.942191328	5938.983	6589.831	6375.000	BIO	INSECT			BUENO
2	Waveform 1	1	0.000000000	59.999994792	3254.237	3823.729		BIO	INSECT			BUENO
2	Spectrogram 1	1	0.000000000	59.999994792	3254.237	3823.729	3750.000	BIO	INSECT			BUENO
3	Waveform 1	1	0.000000000	59.999994792	3905.085	4230.508		BIO	INSECT			BUENO
3	Spectrogram 1	1	0.000000000	59.999994792	3905.085	4230.508	4125.000	BIO	INSECT			BUENO
4	Waveform 1	1	8.959536795	55.606931589	7240.678	7972.881		BIO	INSECT			BUENO
4	Spectrogram 1	1	8.959536795	55.606931589	7240.678	7972.881	7500.000	BIO	INSECT			BUENO
5	Waveform 1	1	24.913292635	52.947972282	9274.576	11959.322		BIO	INSECT			BUENO
5	Spectrogram 1	1	24.913292635	52.947972282	9274.576	11959.322	10500.000	BIO	INSECT			BUENO
6	Waveform 1	1	3.468207791	52.774561893	15945.763	19769.492		BIO	INSECT			BUENO
6	Spectrogram 1	1	3.468207791	52.774561893	15945.763	19769.492	18750.000	BIO	INSECT			BUENO
7	Waveform 1	1	10.693640690	59.999994792	4881.356	5206.780		BIO	INSECT			REGULA
7	Spectrogram 1	1	10.693640690	59.999994792	4881.356	5206.780	4875.000	BIO	INSECT			REGULA
