Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	59.999994792	2766.102	3416.949		BIO	INSECT			BUENO
1	Spectrogram 1	1	0.000000000	59.999994792	2766.102	3416.949	3375.000	BIO	INSECT			BUENO
2	Waveform 1	1	0.000000000	59.999994792	3498.305	4311.864		BIO	INSECT			BUENO
2	Spectrogram 1	1	0.000000000	59.999994792	3498.305	4311.864	4125.000	BIO	INSECT			BUENO
3	Waveform 1	1	0.000000000	59.999994792	4149.153	4474.576		BIO	INSECT			BUENO
3	Spectrogram 1	1	0.000000000	59.999994792	4149.153	4474.576	4125.000	BIO	INSECT			BUENO
4	Waveform 1	1	0.000000000	59.999994792	4881.356	5857.627		BIO	INSECT			BUENO
4	Spectrogram 1	1	0.000000000	59.999994792	4881.356	5857.627	5250.000	BIO	INSECT			BUENO
5	Waveform 1	1	0.000000000	59.999994792	6589.831	6996.610		BIO	INSECT			BUENO
5	Spectrogram 1	1	0.000000000	59.999994792	6589.831	6996.610	6750.000	BIO	INSECT			BUENO
6	Waveform 1	1	0.000000000	59.999994792	7077.966	7647.458		BIO	INSECT			BUENO
6	Spectrogram 1	1	0.000000000	59.999994792	7077.966	7647.458	7500.000	BIO	INSECT			BUENO
7	Waveform 1	1	0.000000000	59.999994792	7647.458	8705.085		BIO	INSECT			BUENO
7	Spectrogram 1	1	0.000000000	59.999994792	7647.458	8705.085	8250.000	BIO	INSECT			BUENO
8	Waveform 1	1	33.352598261	49.653174881	10413.559	18874.576		BIO	INSECT			BUENO
8	Spectrogram 1	1	33.352598261	49.653174881	10413.559	18874.576	16500.000	BIO	INSECT			BUENO
9	Waveform 1	1	9.017340258	11.502889175	8542.373	37179.661		BIO	INSECT			BUENO
9	Spectrogram 1	1	9.017340258	11.502889175	8542.373	37179.661	16875.000	BIO	INSECT			BUENO
10	Waveform 1	1	3.757225107	50.346816439	13830.508	16352.542		BIO	INSECT			BUENO
10	Spectrogram 1	1	3.757225107	50.346816439	13830.508	16352.542	15375.000	BIO	INSECT			BUENO
11	Waveform 1	1	0.951704463	40.337224243	34000.000	47333.333		BIO	INSECT			REGULA
11	Spectrogram 1	1	0.951704463	40.337224243	34000.000	47333.333	36750.000	BIO	INSECT			REGULA
