Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	3.316831395	23.613859336	2597.938	3216.495		BIO	INSECT			BUENO
1	Spectrogram 1	1	3.316831395	23.613859336	2597.938	3216.495	3000.000	BIO	INSECT			BUENO
2	Waveform 1	1	0.000000000	59.999994792	3525.773	4082.474		BIO	INSECT			BUENO
2	Spectrogram 1	1	0.000000000	59.999994792	3525.773	4082.474	3750.000	BIO	INSECT			BUENO
3	Waveform 1	1	0.000000000	59.999994792	5195.876	6309.278		BIO	INSECT			BUENO
3	Spectrogram 1	1	0.000000000	59.999994792	5195.876	6309.278	5625.000	BIO	INSECT			BUENO
4	Waveform 1	1	0.000000000	59.999994792	6804.124	7360.825		BIO	INSECT			REGULA
4	Spectrogram 1	1	0.000000000	59.999994792	6804.124	7360.825	7125.000	BIO	INSECT			REGULA
5	Waveform 1	1	0.000000000	59.999994792	8226.804	9340.206		BIO	INSECT			REGULA
5	Spectrogram 1	1	0.000000000	59.999994792	8226.804	9340.206	8625.000	BIO	INSECT			REGULA
6	Waveform 1	1	0.495049462	59.999994792	9649.485	21896.907		BIO	INSECT			REGULA
6	Spectrogram 1	1	0.495049462	59.999994792	9649.485	21896.907	15375.000	BIO	INSECT			REGULA
