Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	59.999994792	0.000	650.847		ANT	TRAMOT			
1	Spectrogram 1	1	0.000000000	59.999994792	0.000	650.847	0.000	ANT	TRAMOT			
2	Waveform 1	1	0.000000000	59.999994792	2522.034	3416.949		BIO	INSECT			BUENO
2	Spectrogram 1	1	0.000000000	59.999994792	2522.034	3416.949	3375.000	BIO	INSECT			BUENO
3	Waveform 1	1	0.000000000	59.999994792	3416.949	3905.085		BIO	INSECT			BUENO
3	Spectrogram 1	1	0.000000000	59.999994792	3416.949	3905.085	3750.000	BIO	INSECT			BUENO
4	Waveform 1	1	0.000000000	59.999994792	4230.508	4800.000		BIO	INSECT			BUENO
4	Spectrogram 1	1	0.000000000	59.999994792	4230.508	4800.000	4500.000	BIO	INSECT			BUENO
5	Waveform 1	1	0.000000000	59.999994792	4881.356	5694.915		BIO	INSECT			BUENO
5	Spectrogram 1	1	0.000000000	59.999994792	4881.356	5694.915	5250.000	BIO	INSECT			BUENO
6	Waveform 1	1	0.000000000	59.999994792	6508.475	7159.322		BIO	INSECT			BUENO
6	Spectrogram 1	1	0.000000000	59.999994792	6508.475	7159.322	6750.000	BIO	INSECT			BUENO
7	Waveform 1	1	0.000000000	59.999994792	6508.475	19769.492		BIO	INSECT			BUENO
7	Spectrogram 1	1	0.000000000	59.999994792	6508.475	19769.492	8625.000	BIO	INSECT			BUENO
8	Waveform 1	1	16.069362767	16.358380083	9925.424	22454.237		BIO	INSECT			BUENO
8	Spectrogram 1	1	16.069362767	16.358380083	9925.424	22454.237	17625.000	BIO	INSECT			BUENO
9	Waveform 1	1	2.716762770	58.150283970	406.780	976.271		BIO	AVEVOC	MEGCHO		BUENO
9	Spectrogram 1	1	2.716762770	58.150283970	406.780	976.271	750.000	BIO	AVEVOC	MEGCHO		BUENO
10	Waveform 1	1	0.035511361	58.577363493	33469.721	41483.598		BIO	INSECT			BUENO
10	Spectrogram 1	1	0.035511361	58.577363493	33469.721	41483.598	37500.000	BIO	INSECT			BUENO
11	Waveform 1	1	0.778420040	17.132549586	19798.990	28755.676		BIO	INSECT			BUENO
11	Spectrogram 1	1	0.778420040	17.132549586	19798.990	28755.676	23625.000	BIO	INSECT			BUENO
