Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	37.803464927	55.260110810	1871.186	3579.661		BIO	AVEVOC			REGULA
1	Spectrogram 1	1	37.803464927	55.260110810	1871.186	3579.661	3000.000	BIO	AVEVOC			REGULA
2	Waveform 1	1	0.000000000	59.999994792	3335.593	4067.797		BIO	INSECT			BUENO
2	Spectrogram 1	1	0.000000000	59.999994792	3335.593	4067.797	3750.000	BIO	INSECT			BUENO
3	Waveform 1	1	1.676300433	59.999994792	6752.542	7403.390		BIO	INSECT			BUENO
3	Spectrogram 1	1	1.676300433	59.999994792	6752.542	7403.390	7125.000	BIO	INSECT			BUENO
4	Waveform 1	1	0.000000000	59.999994792	7972.881	8705.085		BIO	INSECT			BUENO
4	Spectrogram 1	1	0.000000000	59.999994792	7972.881	8705.085	8250.000	BIO	INSECT			BUENO
5	Waveform 1	1	36.820806052	40.751441549	5369.492	6833.898		BIO	INSECT			BUENO
5	Spectrogram 1	1	36.820806052	40.751441549	5369.492	6833.898	6750.000	BIO	INSECT			BUENO
6	Waveform 1	1	59.190746307	59.884387865	7403.390	8054.237		BIO	INSECT			BUENO
6	Spectrogram 1	1	59.190746307	59.884387865	7403.390	8054.237	7875.000	BIO	INSECT			BUENO
