Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	24.104044150	488.136	3823.729		BIO	HERPET			BUENO
1	Spectrogram 1	1	0.000000000	24.104044150	488.136	3823.729	2250.000	BIO	HERPET			BUENO
2	Waveform 1	1	11.445085712	21.213870991	813.559	1708.475		BIO	AVEVOC			BUENO
2	Spectrogram 1	1	11.445085712	21.213870991	813.559	1708.475	1500.000	BIO	AVEVOC			BUENO
3	Waveform 1	1	34.046239819	37.514447611	732.203	6264.407		BIO	AVEVOC	PSITTA		BUENO
3	Spectrogram 1	1	34.046239819	37.514447611	732.203	6264.407	3750.000	BIO	AVEVOC	PSITTA		BUENO
4	Waveform 1	1	34.971095230	36.647395663	1220.339	4393.220		BIO	AVEVOC	SALCOE		BUENO
4	Spectrogram 1	1	34.971095230	36.647395663	1220.339	4393.220	2625.000	BIO	AVEVOC	SALCOE		BUENO
5	Waveform 1	1	41.329476181	44.508666657	1383.051	4555.932		BIO	AVEVOC	SALCOE		BUENO
5	Spectrogram 1	1	41.329476181	44.508666657	1383.051	4555.932	3000.000	BIO	AVEVOC	SALCOE		BUENO
6	Waveform 1	1	0.000000000	59.999994792	0.000	5288.136		BIO	AVEVOC			BUENO
6	Spectrogram 1	1	0.000000000	59.999994792	0.000	5288.136	2625.000	BIO	AVEVOC			BUENO
7	Waveform 1	1	49.132943712	54.855486568	406.780	1545.763		BIO	AVEVOC	CROMAJ		BUENO
7	Spectrogram 1	1	49.132943712	54.855486568	406.780	1545.763	1125.000	BIO	AVEVOC	CROMAJ		BUENO
8	Waveform 1	1	0.809248485	9.826588742	81.356	1952.542		BIO	AVEVOC	CHACHA		BUENO
8	Spectrogram 1	1	0.809248485	9.826588742	81.356	1952.542	1500.000	BIO	AVEVOC	CHACHA		BUENO
9	Waveform 1	1	40.173406917	47.052019037	0.000	976.271		BIO	AVEVOC	PATCAY		BUENO
9	Spectrogram 1	1	40.173406917	47.052019037	0.000	976.271	375.000	BIO	AVEVOC	PATCAY		BUENO
10	Waveform 1	1	0.000000000	59.999994792	6345.763	10576.271		BIO	INSECT			BUENO
10	Spectrogram 1	1	0.000000000	59.999994792	6345.763	10576.271	8250.000	BIO	INSECT			BUENO
