Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	16.242773157	27.167627700	894.915	2196.610		BIO	AVEVOC	CAMGRY		REGULA
1	Spectrogram 1	1	16.242773157	27.167627700	894.915	2196.610	1500.000	BIO	AVEVOC	CAMGRY		REGULA
2	Waveform 1	1	0.000000000	52.485544577	0.000	569.492		ANT	TRAMOT			
2	Spectrogram 1	1	0.000000000	52.485544577	0.000	569.492	0.000	ANT	TRAMOT			
3	Waveform 1	1	28.092483111	53.699417304	1301.695	1871.186		BIO	AVEVOC			MALO
3	Spectrogram 1	1	28.092483111	53.699417304	1301.695	1871.186	1500.000	BIO	AVEVOC			MALO
4	Waveform 1	1	0.000000000	13.815027703	5450.847	6101.695		BIO	INSECT			REGULA
4	Spectrogram 1	1	0.000000000	13.815027703	5450.847	6101.695	6000.000	BIO	INSECT			REGULA
5	Waveform 1	1	0.000000000	59.999994792	6345.763	7728.814		BIO	INSECT			REGULA
5	Spectrogram 1	1	0.000000000	59.999994792	6345.763	7728.814	7125.000	BIO	INSECT			REGULA
6	Waveform 1	1	0.635838095	59.999994792	14956.576	25451.491		BIO	INSECT			REGULA
6	Spectrogram 1	1	0.635838095	59.999994792	14956.576	25451.491	20625.000	BIO	INSECT			REGULA
