Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	59.999994792	3254.237	4474.576		BIO	INSECT			REGULA
1	Spectrogram 1	1	0.000000000	59.999994792	3254.237	4474.576	3750.000	BIO	INSECT			REGULA
2	Waveform 1	1	30.404621638	37.687858000	4637.288	5288.136		BIO	INSECT			BUENO
2	Spectrogram 1	1	30.404621638	37.687858000	4637.288	5288.136	4875.000	BIO	INSECT			BUENO
3	Waveform 1	1	0.000000000	59.999994792	6508.475	7403.390		BIO	INSECT			BUENO
3	Spectrogram 1	1	0.000000000	59.999994792	6508.475	7403.390	7125.000	BIO	INSECT			BUENO
4	Waveform 1	1	0.000000000	59.999994792	7647.458	8623.729		BIO	INSECT			BUENO
4	Spectrogram 1	1	0.000000000	59.999994792	7647.458	8623.729	8250.000	BIO	INSECT			BUENO
5	Waveform 1	1	0.000000000	59.999994792	11137.147	26594.774		BIO	INSECT			MALO
5	Spectrogram 1	1	0.000000000	59.999994792	11137.147	26594.774	17250.000	BIO	INSECT			MALO
