Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.346820779	59.999994792	7159.322	7728.814		BIO	INSECT			BUENO
1	Spectrogram 1	1	0.346820779	59.999994792	7159.322	7728.814	7500.000	BIO	INSECT			BUENO
2	Waveform 1	1	0.000000000	59.999994792	5857.627	6589.831		BIO	INSECT			BUENO
2	Spectrogram 1	1	0.000000000	59.999994792	5857.627	6589.831	6375.000	BIO	INSECT			BUENO
3	Waveform 1	1	0.000000000	59.999994792	4962.712	5532.203		BIO	INSECT			BUENO
3	Spectrogram 1	1	0.000000000	59.999994792	4962.712	5532.203	5250.000	BIO	INSECT			BUENO
4	Waveform 1	1	0.000000000	59.999994792	3986.441	4555.932		BIO	INSECT			BUENO
4	Spectrogram 1	1	0.000000000	59.999994792	3986.441	4555.932	4125.000	BIO	INSECT			BUENO
5	Waveform 1	1	0.000000000	59.132942844	3416.949	3823.729		BIO	INSECT			BUENO
5	Spectrogram 1	1	0.000000000	59.132942844	3416.949	3823.729	3750.000	BIO	INSECT			BUENO
6	Waveform 1	1	30.231211249	55.491324663	0.000	1789.831		ANT	TRAMOT			
6	Spectrogram 1	1	30.231211249	55.491324663	0.000	1789.831	750.000	ANT	TRAMOT			
7	Waveform 1	1	36.531788736	37.398840684	9518.644	12366.102		BIO	INSECT			BUENO
7	Spectrogram 1	1	36.531788736	37.398840684	9518.644	12366.102	11625.000	BIO	INSECT			BUENO
8	Waveform 1	1	1.098265801	58.843925528	16352.542	19932.203		BIO	INSECT			BUENO
8	Spectrogram 1	1	1.098265801	58.843925528	16352.542	19932.203	17625.000	BIO	INSECT			BUENO
9	Waveform 1	1	1.928472872	33.949157854	21227.783	30092.132		BIO	INSECT			REGULA
9	Spectrogram 1	1	1.928472872	33.949157854	21227.783	30092.132	24000.000	BIO	INSECT			REGULA
