Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	59.999994792	7810.169	9030.508		BIO	INSECT			REGULA
1	Spectrogram 1	1	0.000000000	59.999994792	7810.169	9030.508	8625.000	BIO	INSECT			REGULA
2	Waveform 1	1	0.000000000	59.999994792	3498.305	3986.441		BIO	INSECT			MALO
2	Spectrogram 1	1	0.000000000	59.999994792	3498.305	3986.441	3750.000	BIO	INSECT			MALO
3	Waveform 1	1	0.000000000	59.999994792	5938.983	7566.102		BIO	INSECT			MALO
3	Spectrogram 1	1	0.000000000	59.999994792	5938.983	7566.102	7125.000	BIO	INSECT			MALO
4	Waveform 1	1	0.000000000	59.999994792	11748.402	26067.046		BIO	INSECT			MALO
4	Spectrogram 1	1	0.000000000	59.999994792	11748.402	26067.046	19500.000	BIO	INSECT			MALO
