Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	59.999994792	3132.203	3864.407		BIO	INSECT			REGULA
1	Spectrogram 1	1	0.000000000	59.999994792	3132.203	3864.407	3750.000	BIO	INSECT			REGULA
2	Waveform 1	1	0.000000000	59.999994792	4149.153	4474.576		BIO	INSECT			REGULA
2	Spectrogram 1	1	0.000000000	59.999994792	4149.153	4474.576	4125.000	BIO	INSECT			REGULA
3	Waveform 1	1	0.000000000	59.999994792	4637.288	5776.271		BIO	INSECT			REGULA
3	Spectrogram 1	1	0.000000000	59.999994792	4637.288	5776.271	5250.000	BIO	INSECT			REGULA
4	Waveform 1	1	0.000000000	59.999994792	6508.475	6915.254		BIO	INSECT			REGULA
4	Spectrogram 1	1	0.000000000	59.999994792	6508.475	6915.254	6750.000	BIO	INSECT			REGULA
5	Waveform 1	1	0.000000000	59.999994792	7077.966	8054.237		BIO	INSECT			REGULA
5	Spectrogram 1	1	0.000000000	59.999994792	7077.966	8054.237	7500.000	BIO	INSECT			REGULA
6	Waveform 1	1	0.000000000	59.999994792	7728.814	8786.441		BIO	INSECT			MALO
6	Spectrogram 1	1	0.000000000	59.999994792	7728.814	8786.441	8250.000	BIO	INSECT			MALO
7	Waveform 1	1	6.936415583	20.867050212	16271.186	20176.271		BIO	INSECT			REGULA
7	Spectrogram 1	1	6.936415583	20.867050212	16271.186	20176.271	18375.000	BIO	INSECT			REGULA
8	Waveform 1	1	1.502890043	1.791907359	9030.508	21315.254		BIO	INSECT			REGULA
8	Spectrogram 1	1	1.502890043	1.791907359	9030.508	21315.254	15750.000	BIO	INSECT			REGULA
9	Waveform 1	1	21.098264065	25.664737657	8623.729	23511.864		BIO	INSECT			REGULA
9	Spectrogram 1	1	21.098264065	25.664737657	8623.729	23511.864	18750.000	BIO	INSECT			REGULA
10	Waveform 1	1	42.138724666	42.312135055	8461.017	20745.763		BIO	INSECT			REGULA
10	Spectrogram 1	1	42.138724666	42.312135055	8461.017	20745.763	15375.000	BIO	INSECT			REGULA
11	Waveform 1	1	0.852272653	59.602267553	35333.333	43333.333		BIO	INSECT			BUENO
11	Spectrogram 1	1	0.852272653	59.602267553	35333.333	43333.333	39375.000	BIO	INSECT			BUENO
12	Waveform 1	1	15.868020344	31.127951991	41915.702	52900.028		BIO	MURCIE	SAC_SP	BUSQUE	REGULA
12	Spectrogram 1	1	15.868020344	31.127951991	41915.702	52900.028	46875.000	BIO	MURCIE	SAC_SP	BUSQUE	REGULA
13	Waveform 1	1	22.371865497	22.501481963	40110.059	50041.094		BIO	MURCIE	SAC_SP	TERMIN	REGULA
13	Spectrogram 1	1	22.371865497	22.501481963	40110.059	50041.094	46125.000	BIO	MURCIE	SAC_SP	TERMIN	REGULA
