Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	59.999994792	2103.093	2597.938		BIO	INSECT			REGULA
1	Spectrogram 1	1	0.000000000	59.999994792	2103.093	2597.938	2250.000	BIO	INSECT			REGULA
2	Waveform 1	1	0.000000000	59.999994792	7546.392	8288.660		BIO	INSECT			REGULA
2	Spectrogram 1	1	0.000000000	59.999994792	7546.392	8288.660	7875.000	BIO	INSECT			REGULA
3	Waveform 1	1	0.000000000	59.999994792	10453.608	19422.680		BIO	INSECT			REGULA
3	Spectrogram 1	1	0.000000000	59.999994792	10453.608	19422.680	15750.000	BIO	INSECT			REGULA
4	Waveform 1	1	0.000000000	59.999994792	6185.567	7051.546		BIO	INSECT			BUENO
4	Spectrogram 1	1	0.000000000	59.999994792	6185.567	7051.546	6750.000	BIO	INSECT			BUENO
5	Waveform 1	1	0.000000000	59.999994792	4577.320	5072.165		BIO	INSECT			REGULA
5	Spectrogram 1	1	0.000000000	59.999994792	4577.320	5072.165	4875.000	BIO	INSECT			REGULA
6	Waveform 1	1	0.000000000	59.999994792	2783.505	3835.052		BIO	INSECT			BUENO
6	Spectrogram 1	1	0.000000000	59.999994792	2783.505	3835.052	3750.000	BIO	INSECT			BUENO
7	Waveform 1	1	0.247524731	51.287124261	3773.196	4701.031		BIO	INSECT			BUENO
7	Spectrogram 1	1	0.247524731	51.287124261	3773.196	4701.031	4125.000	BIO	INSECT			BUENO
8	Waveform 1	1	0.346534623	11.633662356	7546.392	8721.649		BIO	INSECT			BUENO
8	Spectrogram 1	1	0.346534623	11.633662356	7546.392	8721.649	8250.000	BIO	INSECT			BUENO
9	Waveform 1	1	1.590908953	58.295449485	22000.000	27333.333		BIO	INSECT			BUENO
9	Spectrogram 1	1	1.590908953	58.295449485	22000.000	27333.333	24000.000	BIO	INSECT			BUENO
