Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	38.564353088	53.811876517	309.278	2350.515		BIO	HERPET			REGULA
1	Spectrogram 1	1	38.564353088	53.811876517	309.278	2350.515	375.000	BIO	HERPET			REGULA
2	Waveform 1	1	25.099007722	59.999994792	2350.515	3154.639		BIO	HERPET			REGULA
2	Spectrogram 1	1	25.099007722	59.999994792	2350.515	3154.639	2625.000	BIO	HERPET			REGULA
3	Waveform 1	1	0.000000000	25.445542346	2845.361	3340.206		BIO	INSECT			REGULA
3	Spectrogram 1	1	0.000000000	25.445542346	2845.361	3340.206	3000.000	BIO	INSECT			REGULA
4	Waveform 1	1	0.148514839	59.999994792	3402.062	4391.753		BIO	INSECT			REGULA
4	Spectrogram 1	1	0.148514839	59.999994792	3402.062	4391.753	3750.000	BIO	INSECT			REGULA
5	Waveform 1	1	0.000000000	38.564353088	4515.464	5072.165		BIO	INSECT			REGULA
5	Spectrogram 1	1	0.000000000	38.564353088	4515.464	5072.165	4875.000	BIO	INSECT			REGULA
6	Waveform 1	1	38.168313518	59.950489845	4824.742	6618.557		BIO	INSECT			REGULA
6	Spectrogram 1	1	38.168313518	59.950489845	4824.742	6618.557	5625.000	BIO	INSECT			REGULA
7	Waveform 1	1	0.000000000	59.999994792	8536.082	9896.907		BIO	INSECT			REGULA
7	Spectrogram 1	1	0.000000000	59.999994792	8536.082	9896.907	9000.000	BIO	INSECT			REGULA
8	Waveform 1	1	0.891089032	35.940590940	5134.021	5505.155		BIO	INSECT			MALO
8	Spectrogram 1	1	0.891089032	35.940590940	5134.021	5505.155	5250.000	BIO	INSECT			MALO
9	Waveform 1	1	0.000000000	58.415836513	15216.495	19422.680		BIO	INSECT			REGULA
9	Spectrogram 1	1	0.000000000	58.415836513	15216.495	19422.680	17250.000	BIO	INSECT			REGULA
10	Waveform 1	1	0.000000000	59.999994792	0.000	865.979		ANT	INDETE			
10	Spectrogram 1	1	0.000000000	59.999994792	0.000	865.979	0.000	ANT	INDETE			
