Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	59.999994792	3254.237	3823.729		BIO	INSECT			BUENO
1	Spectrogram 1	1	0.000000000	59.999994792	3254.237	3823.729	3750.000	BIO	INSECT			BUENO
2	Waveform 1	1	0.000000000	59.999994792	4067.797	4311.864		BIO	INSECT			BUENO
2	Spectrogram 1	1	0.000000000	59.999994792	4067.797	4311.864	4125.000	BIO	INSECT			BUENO
3	Waveform 1	1	0.000000000	59.999994792	3986.441	4474.576		BIO	INSECT			BUENO
3	Spectrogram 1	1	0.000000000	59.999994792	3986.441	4474.576	4125.000	BIO	INSECT			BUENO
4	Waveform 1	1	0.000000000	59.999994792	4800.000	5532.203		BIO	INSECT			BUENO
4	Spectrogram 1	1	0.000000000	59.999994792	4800.000	5532.203	4875.000	BIO	INSECT			BUENO
5	Waveform 1	1	0.000000000	59.999994792	6345.763	6915.254		BIO	INSECT			BUENO
5	Spectrogram 1	1	0.000000000	59.999994792	6345.763	6915.254	6750.000	BIO	INSECT			BUENO
6	Waveform 1	1	0.000000000	59.999994792	6915.254	7566.102		BIO	INSECT			BUENO
6	Spectrogram 1	1	0.000000000	59.999994792	6915.254	7566.102	7125.000	BIO	INSECT			BUENO
7	Waveform 1	1	6.184970561	59.999994792	7972.881	8705.085		BIO	INSECT			BUENO
7	Spectrogram 1	1	6.184970561	59.999994792	7972.881	8705.085	8250.000	BIO	INSECT			BUENO
8	Waveform 1	1	0.924855411	56.069359295	14481.356	15620.339		BIO	INSECT			BUENO
8	Spectrogram 1	1	0.924855411	56.069359295	14481.356	15620.339	15000.000	BIO	INSECT			BUENO
9	Waveform 1	1	3.930635497	6.300577488	7484.746	21884.746		BIO	INSECT			REGULA
9	Spectrogram 1	1	3.930635497	6.300577488	7484.746	21884.746	7875.000	BIO	INSECT			REGULA
10	Waveform 1	1	5.144508224	11.040461469	7484.746	7891.525		BIO	INSECT			BUENO
10	Spectrogram 1	1	5.144508224	11.040461469	7484.746	7891.525	7500.000	BIO	INSECT			BUENO
11	Waveform 1	1	1.136363538	59.034085785	34000.000	44000.000		BIO	INSECT			REGULA
11	Spectrogram 1	1	1.136363538	59.034085785	34000.000	44000.000	39375.000	BIO	INSECT			REGULA
12	Waveform 1	1	0.005326704	2.581675912	43840.620	52325.902		BIO	MURCIE			MUYMAL
12	Spectrogram 1	1	0.005326704	2.581675912	43840.620	52325.902	47625.000	BIO	MURCIE			MUYMAL
13	Waveform 1	1	31.505279510	31.657978360	24513.035	32055.507			INDETE			
13	Spectrogram 1	1	31.505279510	31.657978360	24513.035	32055.507	28125.000		INDETE			
14	Waveform 1	1	39.991755154	40.187067637	22156.012	32998.316			INDETE			
14	Spectrogram 1	1	39.991755154	40.187067637	22156.012	32998.316	28125.000		INDETE			
