Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.544554408	12.178216765	10824.742	20474.227		BIO	MURCIE			
1	Spectrogram 1	1	0.544554408	12.178216765	10824.742	20474.227	15375.000	BIO	MURCIE			
2	Waveform 1	1	0.000000000	59.999994792	6432.990	7360.825		BIO	INSECT			REGULA
2	Spectrogram 1	1	0.000000000	59.999994792	6432.990	7360.825	7125.000	BIO	INSECT			REGULA
3	Waveform 1	1	0.000000000	59.999994792	3402.062	3958.763		BIO	INSECT			REGULA
3	Spectrogram 1	1	0.000000000	59.999994792	3402.062	3958.763	3750.000	BIO	INSECT			REGULA
4	Waveform 1	1	1.317070541	5.825237764	26880.000	42240.000		BIO	MURCIE	MOL_SP	BUSQUE	REGULA
4	Spectrogram 1	1	1.317070541	5.825237764	26880.000	42240.000	31875.000	BIO	MURCIE	MOL_SP	BUSQUE	REGULA
5	Waveform 1	1	7.955919397	31.967439392	17828.571	38400.000		BIO	MURCIE	MOL_SP	BUSQUE	REGULA
5	Spectrogram 1	1	7.955919397	31.967439392	17828.571	38400.000	22500.000	BIO	MURCIE	MOL_SP	BUSQUE	REGULA
6	Waveform 1	1	12.352000721	33.894147558	9874.286	16868.571		BIO	MURCIE			REGULA
6	Spectrogram 1	1	12.352000721	33.894147558	9874.286	16868.571	13125.000	BIO	MURCIE			REGULA
7	Waveform 1	1	38.280262946	43.232018810	27141.817	39210.388		BIO	MURCIE	MOL_SP	BUSQUE	REGULA
7	Spectrogram 1	1	38.280262946	43.232018810	27141.817	39210.388	31875.000	BIO	MURCIE	MOL_SP	BUSQUE	REGULA
8	Waveform 1	1	46.404491007	59.985950734	12068.571	19611.429		BIO	MURCIE			REGULA
8	Spectrogram 1	1	46.404491007	59.985950734	12068.571	19611.429	15750.000	BIO	MURCIE			REGULA
9	Waveform 1	1	46.283612990	59.914928013	19474.286	26742.857		BIO	MURCIE			REGULA
9	Spectrogram 1	1	46.283612990	59.914928013	19474.286	26742.857	22125.000	BIO	MURCIE			REGULA
