Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	59.999994792	0.000	732.203		ANT	TRAMOT			
1	Spectrogram 1	1	0.000000000	59.999994792	0.000	732.203	0.000	ANT	TRAMOT			
2	Waveform 1	1	0.000000000	59.999994792	3254.237	3986.441		BIO	INSECT			BUENO
2	Spectrogram 1	1	0.000000000	59.999994792	3254.237	3986.441	3750.000	BIO	INSECT			BUENO
3	Waveform 1	1	2.312138528	59.190746307	4555.932	4962.712		BIO	INSECT			BUENO
3	Spectrogram 1	1	2.312138528	59.190746307	4555.932	4962.712	4875.000	BIO	INSECT			BUENO
4	Waveform 1	1	0.635838095	59.999994792	4230.508	5044.068		BIO	INSECT			BUENO
4	Spectrogram 1	1	0.635838095	59.999994792	4230.508	5044.068	4875.000	BIO	INSECT			BUENO
5	Waveform 1	1	0.000000000	59.999994792	6915.254	8542.373		BIO	INSECT			BUENO
5	Spectrogram 1	1	0.000000000	59.999994792	6915.254	8542.373	7500.000	BIO	INSECT			BUENO
6	Waveform 1	1	3.583814718	6.763005193	17816.949	25068.822		BIO	INSECT			REGULA
6	Spectrogram 1	1	3.583814718	6.763005193	17816.949	25068.822	21375.000	BIO	INSECT			REGULA
