Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	59.999994792	406.780	2033.898		BIO	HERPET			BUENO
1	Spectrogram 1	1	0.000000000	59.999994792	406.780	2033.898	1125.000	BIO	HERPET			BUENO
2	Waveform 1	1	24.971096098	34.335257135	2115.254	3986.441		BIO	HERPET			BUENO
2	Spectrogram 1	1	24.971096098	34.335257135	2115.254	3986.441	2625.000	BIO	HERPET			BUENO
3	Waveform 1	1	0.000000000	59.999994792	5369.492	6101.695		BIO	INSECT			BUENO
3	Spectrogram 1	1	0.000000000	59.999994792	5369.492	6101.695	5625.000	BIO	INSECT			BUENO
4	Waveform 1	1	0.000000000	59.999994792	9193.220	10250.847		BIO	INSECT			BUENO
4	Spectrogram 1	1	0.000000000	59.999994792	9193.220	10250.847	9750.000	BIO	INSECT			BUENO
5	Waveform 1	1	0.000000000	59.999994792	7240.678	11389.831		BIO	INSECT			BUENO
5	Spectrogram 1	1	0.000000000	59.999994792	7240.678	11389.831	9375.000	BIO	INSECT			BUENO
6	Waveform 1	1	0.000000000	59.999994792	6427.119	7159.322		BIO	INSECT			BUENO
6	Spectrogram 1	1	0.000000000	59.999994792	6427.119	7159.322	6750.000	BIO	INSECT			BUENO
7	Waveform 1	1	0.000000000	59.999994792	15376.271	19932.203		BIO	INSECT			BUENO
7	Spectrogram 1	1	0.000000000	59.999994792	15376.271	19932.203	18000.000	BIO	INSECT			BUENO
8	Waveform 1	1	0.000000000	59.999994792	3416.949	4555.932		BIO	INSECT			BUENO
8	Spectrogram 1	1	0.000000000	59.999994792	3416.949	4555.932	4125.000	BIO	INSECT			BUENO
9	Waveform 1	1	0.000000000	59.999994792	11535.327	36511.598		BIO	INSECT			REGULA
9	Spectrogram 1	1	0.000000000	59.999994792	11535.327	36511.598	20250.000	BIO	INSECT			REGULA
