Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	59.999994792	2440.678	3254.237		BIO	INSECT			REGULA
1	Spectrogram 1	1	0.000000000	59.999994792	2440.678	3254.237	3000.000	BIO	INSECT			REGULA
2	Waveform 1	1	0.000000000	59.999994792	3905.085	4637.288		BIO	INSECT			REGULA
2	Spectrogram 1	1	0.000000000	59.999994792	3905.085	4637.288	4125.000	BIO	INSECT			REGULA
3	Waveform 1	1	8.497109089	8.901733331	6752.542	16433.898		BIO	INSECT			REGULA
3	Spectrogram 1	1	8.497109089	8.901733331	6752.542	16433.898	9000.000	BIO	INSECT			REGULA
4	Waveform 1	1	26.300575752	26.647396531	6589.831	16596.610		BIO	INSECT			REGULA
4	Spectrogram 1	1	26.300575752	26.647396531	6589.831	16596.610	9000.000	BIO	INSECT			REGULA
5	Waveform 1	1	0.000000000	59.826584402	15376.271	28521.063		BIO	INSECT			REGULA
5	Spectrogram 1	1	0.000000000	59.826584402	15376.271	28521.063	20625.000	BIO	INSECT			REGULA
6	Waveform 1	1	28.150286574	59.999994792	5938.983	6264.407		BIO	INSECT			REGULA
6	Spectrogram 1	1	28.150286574	59.999994792	5938.983	6264.407	6000.000	BIO	INSECT			REGULA
