Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	1.734103896	50.982654534	1627.119	2196.610		BIO	AVEVOC	CRYSOU		REGULA
1	Spectrogram 1	1	1.734103896	50.982654534	1627.119	2196.610	1875.000	BIO	AVEVOC	CRYSOU		REGULA
2	Waveform 1	1	9.537571426	51.734099555	1383.051	2847.458		BIO	AVEVOC	XIPSUS		REGULA
2	Spectrogram 1	1	9.537571426	51.734099555	1383.051	2847.458	2250.000	BIO	AVEVOC	XIPSUS		REGULA
3	Waveform 1	1	0.000000000	59.999994792	3905.085	4881.356		BIO	INSECT			REGULA
3	Spectrogram 1	1	0.000000000	59.999994792	3905.085	4881.356	4500.000	BIO	INSECT			REGULA
4	Waveform 1	1	0.000000000	59.999994792	7403.390	8054.237		BIO	INSECT			REGULA
4	Spectrogram 1	1	0.000000000	59.999994792	7403.390	8054.237	7875.000	BIO	INSECT			REGULA
5	Waveform 1	1	5.606935929	55.838145442	10983.051	13098.305		BIO	INSECT			REGULA
5	Spectrogram 1	1	5.606935929	55.838145442	10983.051	13098.305	12375.000	BIO	INSECT			REGULA
6	Waveform 1	1	9.653178353	33.815025966	11796.610	21966.102		BIO	INSECT			REGULA
6	Spectrogram 1	1	9.653178353	33.815025966	11796.610	21966.102	16875.000	BIO	INSECT			REGULA
7	Waveform 1	1	23.121385276	46.127163626	20664.407	22454.237		BIO	INSECT			REGULA
7	Spectrogram 1	1	23.121385276	46.127163626	20664.407	22454.237	21750.000	BIO	INSECT			REGULA
8	Waveform 1	1	0.552427125	8.075480152	43422.654	53041.597		BIO	MURCIE	SACLEP	BUSQUE	MALO
8	Spectrogram 1	1	0.552427125	8.075480152	43422.654	53041.597	48375.000	BIO	MURCIE	SACLEP	BUSQUE	MALO
9	Waveform 1	1	12.282225646	17.001711015	43894.357	52250.632		BIO	MURCIE	SAC_SP	BUSQUE	MUYMAL
9	Spectrogram 1	1	12.282225646	17.001711015	43894.357	52250.632	47625.000	BIO	MURCIE	SAC_SP	BUSQUE	MUYMAL
10	Waveform 1	1	27.696762799	33.431029407	43941.360	52234.043		BIO	MURCIE			MUYMAL
10	Spectrogram 1	1	27.696762799	33.431029407	43941.360	52234.043	48375.000	BIO	MURCIE			MUYMAL
11	Waveform 1	1	39.518884136	59.999994792	43843.799	51941.360		BIO	MURCIE	SAC_SP	BUSQUE	MALO
11	Spectrogram 1	1	39.518884136	59.999994792	43843.799	51941.360	48000.000	BIO	MURCIE	SAC_SP	BUSQUE	MALO
12	Waveform 1	1	18.646542852	21.363479893	45502.335	51551.116		BIO	MURCIE	SAC_SP	BUSQUE	MALO
12	Spectrogram 1	1	18.646542852	21.363479893	45502.335	51551.116	48750.000	BIO	MURCIE	SAC_SP	BUSQUE	MALO
