Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	59.999994792	5876.289	6494.845		BIO	INSECT			BUENO
1	Spectrogram 1	1	0.000000000	59.999994792	5876.289	6494.845	6000.000	BIO	INSECT			BUENO
2	Waveform 1	1	0.000000000	59.999994792	4453.608	5319.588		BIO	INSECT			BUENO
2	Spectrogram 1	1	0.000000000	59.999994792	4453.608	5319.588	4875.000	BIO	INSECT			BUENO
3	Waveform 1	1	0.000000000	59.999994792	4144.330	4639.175		BIO	INSECT			BUENO
3	Spectrogram 1	1	0.000000000	59.999994792	4144.330	4639.175	4500.000	BIO	INSECT			BUENO
4	Waveform 1	1	0.000000000	59.999994792	7051.546	7360.825		BIO	INSECT			BUENO
4	Spectrogram 1	1	0.000000000	59.999994792	7051.546	7360.825	7125.000	BIO	INSECT			BUENO
5	Waveform 1	1	0.000000000	59.999994792	6185.567	6494.845		BIO	INSECT			BUENO
5	Spectrogram 1	1	0.000000000	59.999994792	6185.567	6494.845	6375.000	BIO	INSECT			BUENO
6	Waveform 1	1	0.000000000	59.999994792	18618.557	20226.804		BIO	INSECT			BUENO
6	Spectrogram 1	1	0.000000000	59.999994792	18618.557	20226.804	19500.000	BIO	INSECT			BUENO
7	Waveform 1	1	0.000000000	59.999994792	3463.918	3896.907		BIO	INSECT			BUENO
7	Spectrogram 1	1	0.000000000	59.999994792	3463.918	3896.907	3750.000	BIO	INSECT			BUENO
8	Waveform 1	1	0.000000000	59.999994792	2845.361	3216.495		BIO	INSECT			REGULA
8	Spectrogram 1	1	0.000000000	59.999994792	2845.361	3216.495	3000.000	BIO	INSECT			REGULA
9	Waveform 1	1	0.000000000	59.999994792	7608.247	8597.938		BIO	INSECT			REGULA
9	Spectrogram 1	1	0.000000000	59.999994792	7608.247	8597.938	7875.000	BIO	INSECT			REGULA
10	Waveform 1	1	0.000000000	59.999994792	11938.144	12371.134		BIO	INSECT			REGULA
10	Spectrogram 1	1	0.000000000	59.999994792	11938.144	12371.134	12000.000	BIO	INSECT			REGULA
