Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	13.526010387	15.606935061	732.203	2766.102		BIO	AVEVOC	MILCHI		BUENO
1	Spectrogram 1	1	13.526010387	15.606935061	732.203	2766.102	1125.000	BIO	AVEVOC	MILCHI		BUENO
2	Waveform 1	1	37.572251074	39.884389601	894.915	3335.593		BIO	AVEVOC	MILCHI		BUENO
2	Spectrogram 1	1	37.572251074	39.884389601	894.915	3335.593	1125.000	BIO	AVEVOC	MILCHI		BUENO
3	Waveform 1	1	2.023121212	56.763000853	1301.695	2684.746		BIO	AVEVOC	FORGRI		REGULA
3	Spectrogram 1	1	2.023121212	56.763000853	1301.695	2684.746	1500.000	BIO	AVEVOC	FORGRI		REGULA
4	Waveform 1	1	0.000000000	59.999994792	3986.441	4962.712		BIO	INSECT			REGULA
4	Spectrogram 1	1	0.000000000	59.999994792	3986.441	4962.712	4500.000	BIO	INSECT			REGULA
5	Waveform 1	1	8.843929868	13.872831166	6183.051	6671.186		BIO	INSECT			MALO
5	Spectrogram 1	1	8.843929868	13.872831166	6183.051	6671.186	6375.000	BIO	INSECT			MALO
6	Waveform 1	1	28.728321206	36.011557568	6183.051	6508.475		BIO	INSECT			MALO
6	Spectrogram 1	1	28.728321206	36.011557568	6183.051	6508.475	6375.000	BIO	INSECT			MALO
7	Waveform 1	1	48.786122933	55.144503884	6183.051	6752.542		BIO	INSECT			MALO
7	Spectrogram 1	1	48.786122933	55.144503884	6183.051	6752.542	6375.000	BIO	INSECT			MALO
