Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	59.999994792	6427.119	7403.390		BIO	INSECT			BUENO
1	Spectrogram 1	1	0.000000000	59.999994792	6427.119	7403.390	7125.000	BIO	INSECT			BUENO
2	Waveform 1	1	3.988438960	6.358380951	1789.831	21071.186		ANT	HERRAM			
2	Spectrogram 1	1	3.988438960	6.358380951	1789.831	21071.186	7875.000	ANT	HERRAM			
3	Waveform 1	1	7.398843288	16.069362767	0.000	3661.017		ANT	VOZHUM			
3	Spectrogram 1	1	7.398843288	16.069362767	0.000	3661.017	750.000	ANT	VOZHUM			
4	Waveform 1	1	0.000000000	59.999994792	0.000	22861.017		GEO	LLUVIA			
4	Spectrogram 1	1	0.000000000	59.999994792	0.000	22861.017	7125.000	GEO	LLUVIA			
5	Waveform 1	1	34.508667525	59.999994792	2359.322	3254.237		BIO	AVEVOC	ATTSPA		BUENO
5	Spectrogram 1	1	34.508667525	59.999994792	2359.322	3254.237	2625.000	BIO	AVEVOC	ATTSPA		BUENO
6	Waveform 1	1	43.410400856	47.630053669	3172.881	4149.153		BIO	AVEVOC			REGULA
6	Spectrogram 1	1	43.410400856	47.630053669	3172.881	4149.153	3750.000	BIO	AVEVOC			REGULA
