Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	59.999994792	156.352	2814.332		BIO	INSECT			REGULA
1	Spectrogram 1	1	0.000000000	59.999994792	156.352	2814.332	1500.000	BIO	INSECT			REGULA
2	Waveform 1	1	35.086702157	54.393058862	0.000	96000.000		BIO	INSECT			REGULA
2	Spectrogram 1	1	35.086702157	54.393058862	0.000	96000.000	16875.000	BIO	INSECT			REGULA
3	Waveform 1	1	0.000000000	59.999994792	3752.443	4690.554		BIO	INSECT			REGULA
3	Spectrogram 1	1	0.000000000	59.999994792	3752.443	4690.554	4125.000	BIO	INSECT			REGULA
4	Waveform 1	1	0.693641558	59.653174013	5863.192	6644.951		BIO	INSECT			REGULA
4	Spectrogram 1	1	0.693641558	59.653174013	5863.192	6644.951	6375.000	BIO	INSECT			REGULA
5	Waveform 1	1	0.000000000	59.999994792	6957.655	8755.700		BIO	INSECT			REGULA
5	Spectrogram 1	1	0.000000000	59.999994792	6957.655	8755.700	7875.000	BIO	INSECT			REGULA
7	Waveform 1	1	22.283235060	24.421963198	22245.948	30376.242		BIO	INSECT			REGULA
7	Spectrogram 1	1	22.283235060	24.421963198	22245.948	30376.242	24750.000	BIO	INSECT			REGULA
8	Waveform 1	1	0.000000000	14.046241555	21776.893	29907.186		BIO	INSECT			REGULA
8	Spectrogram 1	1	0.000000000	14.046241555	21776.893	29907.186	24750.000	BIO	INSECT			REGULA
9	Waveform 1	1	34.682077914	43.699418172	10439.428	20793.220		BIO	INSECT			REGULA
9	Spectrogram 1	1	34.682077914	43.699418172	10439.428	20793.220	16875.000	BIO	INSECT			REGULA
10	Waveform 1	1	51.329475313	54.335255399	10582.424	21136.170		BIO	INSECT			REGULA
10	Spectrogram 1	1	51.329475313	54.335255399	10582.424	21136.170	17250.000	BIO	INSECT			REGULA
11	Waveform 1	1	0.000000000	59.999994792	10347.896	18556.365		BIO	INSECT			REGULA
11	Spectrogram 1	1	0.000000000	59.999994792	10347.896	18556.365	16125.000	BIO	INSECT			REGULA
12	Waveform 1	1	34.913291767	51.098261460	22324.124	30376.242		BIO	INSECT			REGULA
12	Spectrogram 1	1	34.913291767	51.098261460	22324.124	30376.242	24750.000	BIO	INSECT			REGULA
13	Waveform 1	1	0.000000000	24.682078782	0.000	95452.769		BIO	INSECT			REGULA
13	Spectrogram 1	1	0.000000000	24.682078782	0.000	95452.769	17250.000	BIO	INSECT			REGULA
