Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	2.227722579	56.039599096	0.000	618.557		BIO	AVEVOC	MOMSUB		BUENO
1	Spectrogram 1	1	2.227722579	56.039599096	0.000	618.557	375.000	BIO	AVEVOC	MOMSUB		BUENO
2	Waveform 1	1	13.019800850	43.069303192	1793.814	2597.938		BIO	AVEVOC	XIPSUS		REGULA
2	Spectrogram 1	1	13.019800850	43.069303192	1793.814	2597.938	2250.000	BIO	AVEVOC	XIPSUS		REGULA
3	Waveform 1	1	11.881187087	58.712866191	1237.113	2597.938		BIO	AVEVOC			REGULA
3	Spectrogram 1	1	11.881187087	58.712866191	1237.113	2597.938	2250.000	BIO	AVEVOC			REGULA
4	Waveform 1	1	1.881187956	59.999994792	6247.423	7113.402		BIO	INSECT			BUENO
4	Spectrogram 1	1	1.881187956	59.999994792	6247.423	7113.402	6750.000	BIO	INSECT			BUENO
5	Waveform 1	1	0.000000000	59.999994792	6927.835	7793.814		BIO	INSECT			REGULA
5	Spectrogram 1	1	0.000000000	59.999994792	6927.835	7793.814	7125.000	BIO	INSECT			REGULA
6	Waveform 1	1	0.000000000	59.999994792	3896.907	4515.464		BIO	INSECT			REGULA
6	Spectrogram 1	1	0.000000000	59.999994792	3896.907	4515.464	4125.000	BIO	INSECT			REGULA
7	Waveform 1	1	0.000000000	59.999994792	3278.351	3835.052		BIO	INSECT			REGULA
7	Spectrogram 1	1	0.000000000	59.999994792	3278.351	3835.052	3750.000	BIO	INSECT			REGULA
8	Waveform 1	1	0.000000000	59.999994792	2597.938	3092.784		BIO	INSECT			REGULA
8	Spectrogram 1	1	0.000000000	59.999994792	2597.938	3092.784	3000.000	BIO	INSECT			REGULA
9	Waveform 1	1	8.762375477	19.009899340	1175.258	10824.742		BIO	AVEVOC			REGULA
9	Spectrogram 1	1	8.762375477	19.009899340	1175.258	10824.742	6750.000	BIO	AVEVOC			REGULA
10	Waveform 1	1	27.064220491	34.460906766	39862.769	50550.612		BIO	MURCIE	SAC_SP	BUSQUE	REGULA
10	Spectrogram 1	1	27.064220491	34.460906766	39862.769	50550.612	45750.000	BIO	MURCIE	SAC_SP	BUSQUE	REGULA
11	Waveform 1	1	39.237630939	59.999994792	39862.769	50550.612		BIO	MURCIE	SAC_SP	BUSQUE	REGULA
11	Spectrogram 1	1	39.237630939	59.999994792	39862.769	50550.612	45750.000	BIO	MURCIE	SAC_SP	BUSQUE	REGULA
