Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	0.000000000	59.999994792	3172.881	3986.441		BIO	INSECT			BUENO
1	Spectrogram 1	1	0.000000000	59.999994792	3172.881	3986.441	3750.000	BIO	INSECT			BUENO
2	Waveform 1	1	24.913292635	27.283234626	894.915	2033.898		BIO	AVEVOC			BUENO
2	Spectrogram 1	1	24.913292635	27.283234626	894.915	2033.898	1500.000	BIO	AVEVOC			BUENO
3	Waveform 1	1	1.907514285	12.601154976	1667.797	2277.966		BIO	AVEVOC	CRYSOU		BUENO
3	Spectrogram 1	1	1.907514285	12.601154976	1667.797	2277.966	1875.000	BIO	AVEVOC	CRYSOU		BUENO
4	Waveform 1	1	40.115603454	49.999995660	1708.475	2277.966		BIO	AVEVOC	CRYSOU		BUENO
4	Spectrogram 1	1	40.115603454	49.999995660	1708.475	2277.966	1875.000	BIO	AVEVOC	CRYSOU		BUENO
5	Waveform 1	1	0.000000000	59.999994792	3905.085	4718.644		BIO	INSECT			BUENO
5	Spectrogram 1	1	0.000000000	59.999994792	3905.085	4718.644	4125.000	BIO	INSECT			BUENO
6	Waveform 1	1	0.000000000	59.999994792	6101.695	6752.542		BIO	INSECT			BUENO
6	Spectrogram 1	1	0.000000000	59.999994792	6101.695	6752.542	6750.000	BIO	INSECT			BUENO
7	Waveform 1	1	0.000000000	59.999994792	7728.814	8623.729		BIO	INSECT			BUENO
7	Spectrogram 1	1	0.000000000	59.999994792	7728.814	8623.729	8250.000	BIO	INSECT			BUENO
8	Waveform 1	1	19.826587874	59.132942844	10413.559	22291.525		BIO	INSECT			BUENO
8	Spectrogram 1	1	19.826587874	59.132942844	10413.559	22291.525	15000.000	BIO	INSECT			BUENO
9	Waveform 1	1	0.000000000	59.999994792	6345.763	7728.814		BIO	INSECT			BUENO
9	Spectrogram 1	1	0.000000000	59.999994792	6345.763	7728.814	7125.000	BIO	INSECT			BUENO
10	Waveform 1	1	57.167625095	59.999994792	1220.339	1952.542		BIO	AVEVOC			BUENO
10	Spectrogram 1	1	57.167625095	59.999994792	1220.339	1952.542	1500.000	BIO	AVEVOC			BUENO
11	Waveform 1	1	0.000000000	59.999994792	0.000	569.492		BIO	AVEVOC			BUENO
11	Spectrogram 1	1	0.000000000	59.999994792	0.000	569.492	0.000	BIO	AVEVOC			BUENO
