Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Waveform 1	1	7.283236362	59.999994792	0.000	95674.576		BIO	INSECT			REGULA
1	Spectrogram 1	1	7.283236362	59.999994792	0.000	95674.576	17625.000	BIO	INSECT			REGULA
2	Waveform 1	1	0.000000000	59.999994792	3335.593	4474.576		BIO	INSECT			BUENO
2	Spectrogram 1	1	0.000000000	59.999994792	3335.593	4474.576	3750.000	BIO	INSECT			BUENO
3	Waveform 1	1	1.618496969	8.092484847	81.356	406.780		INDETE				
3	Spectrogram 1	1	1.618496969	8.092484847	81.356	406.780	375.000	INDETE				
4	Waveform 1	1	0.000000000	59.999994792	6671.186	7159.322		BIO	INSECT			BUENO
4	Spectrogram 1	1	0.000000000	59.999994792	6671.186	7159.322	7125.000	BIO	INSECT			BUENO
5	Waveform 1	1	0.000000000	59.999994792	9674.897	26768.682		BIO	INSECT			BUENO
5	Spectrogram 1	1	0.000000000	59.999994792	9674.897	26768.682	17625.000	BIO	INSECT			BUENO
