Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	TIPO	ID	DETERMINACION
1	Waveform 1	1	0.000000000	59.999994792	153.355	613.419		BIO	AVEVOC	ZENAUR
1	Spectrogram 1	1	0.000000000	59.999994792	153.355	613.419	375.000	BIO	AVEVOC	ZENAUR
2	Waveform 1	1	4.233301608	17.554090668	2453.674	5827.476		BIO	AVEVOC	
2	Spectrogram 1	1	4.233301608	17.554090668	2453.674	5827.476	4125.000	BIO	AVEVOC	
3	Waveform 1	1	50.034610768	59.799426477	1916.933	6900.958		BIO	AVE	RAMDIM
3	Spectrogram 1	1	50.034610768	59.799426477	1916.933	6900.958	4500.000	BIO	AVEVOC	RAMDIM
5	Waveform 1	1	0.000000000	59.999994792	5674.121	8587.859		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.999994792	5674.121	8587.859	7500.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.963051705	8511.182	10734.824		BIO	AVEVOC	
6	Spectrogram 1	1	0.000000000	59.963051705	8511.182	10734.824	9750.000	BIO	AVEVOC	
8	Waveform 1	1	21.285402983	25.762714243	2223.642	4907.348		BIO	AVEVOC	PITSUL
8	Spectrogram 1	1	21.285402983	25.762714243	2223.642	4907.348	3750.000	BIO	AVEVOC	PITSUL
9	Waveform 1	1	26.600865200	26.920160803	536.741	4830.671		BIO	AVEVOC	PSITTA
9	Spectrogram 1	1	26.600865200	26.920160803	536.741	4830.671	2625.000	BIO	AVEVOC	PSITTA
10	Waveform 1	1	36.618764730	37.337179836	766.773	5980.831		BIO	AVEVOC	PSITTA
10	Spectrogram 1	1	36.618764730	37.337179836	766.773	5980.831	3750.000	BIO	AVEVOC	PSITTA
11	Waveform 1	1	41.487006510	46.076880797	766.773	1993.610		BIO	AVEVOC	PSITTA
11	Spectrogram 1	1	41.487006510	46.076880797	766.773	1993.610	1500.000	BIO	AVEVOC	PSITTA
12	Waveform 1	1	3.133088100	3.891415156	920.128	5520.767		BIO	AVEVOC	PSITTA
12	Spectrogram 1	1	3.133088100	3.891415156	920.128	5520.767	3000.000	BIO	AVEVOC	PSITTA
