Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	TIPO	ID	DETERMINACION
1	Waveform 1	1	48.541858439	57.290681763	0.000	2376.997		BIO	AVEVOC	CAMGRY
1	Spectrogram 1	1	48.541858439	57.290681763	0.000	2376.997	0.000	BIO	AVEVOC	CAMGRY
2	Waveform 1	1	1.580432600	10.555032009	230.032	2453.674		BIO	AVEVOC	CAMGRY
2	Spectrogram 1	1	1.580432600	10.555032009	230.032	2453.674	375.000	BIO	AVEVOC	CAMGRY
3	Waveform 1	1	0.225776086	59.999994792	3143.770	5060.703		BIO	INSECT	
3	Spectrogram 1	1	0.225776086	59.999994792	3143.770	5060.703	4500.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.943550770	5060.703	6287.540		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.943550770	5060.703	6287.540	5250.000	BIO	INSECT	
5	Waveform 1	1	0.338664129	59.943550770	6287.540	7744.409		BIO	INSECT	
5	Spectrogram 1	1	0.338664129	59.943550770	6287.540	7744.409	7125.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.717774684	7821.086	9507.987		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.717774684	7821.086	9507.987	9000.000	BIO	INSECT	
7	Waveform 1	1	0.000000000	59.999994792	9469.649	10198.083		BIO	INSECT	
7	Spectrogram 1	1	0.000000000	59.999994792	9469.649	10198.083	9750.000	BIO	INSECT	
8	Waveform 1	1	14.877879358	18.073031535	23501.356	40867.210		BIO	MURCIE	MOLOSSI
8	Spectrogram 1	1	14.877879358	18.073031535	23501.356	40867.210	28125.000	BIO	MURCIE	MOLOSSI
9	Waveform 1	1	21.298064427	59.243474370	40476.966	53745.259		BIO	INSECT	
9	Spectrogram 1	1	21.298064427	59.243474370	40476.966	53745.259	44625.000	BIO	INSECT	
10	Waveform 1	1	0.160706073	59.539585111	23306.235	27989.161		BIO	INSECT	
10	Spectrogram 1	1	0.160706073	59.539585111	23306.235	27989.161	25875.000	BIO	INSECT	
