Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.804872857	0.000	3392.670		GEO	FLUAGU	
1	Spectrogram 1	1	0.000000000	59.804872857	0.000	3392.670	1125.000	GEO	FLUAGU	
2	Waveform 1	1	0.000000000	59.853653341	0.000	8921.466		GEO	LLUVIA	
2	Spectrogram 1	1	0.000000000	59.853653341	0.000	8921.466	1125.000	GEO	LLUVIA	
3	Waveform 1	1	0.000000000	59.951214308	5591.623	6659.686		BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.951214308	5591.623	6659.686	6000.000	BIO	INSECT	
4	Waveform 1	1	0.341463385	59.804872857	4146.597	5151.832		BIO	INSECT	
4	Spectrogram 1	1	0.341463385	59.804872857	4146.597	5151.832	4875.000	BIO	INSECT	
5	Waveform 1	1	25.512192907	33.024387377	2764.398	3832.461		BIO	INSECT	
5	Spectrogram 1	1	25.512192907	33.024387377	2764.398	3832.461	3000.000	BIO	INSECT	
