Fecha instalacion,Hora,Código grabadora (Gxxx),Punto de muestreo (ANH),Latitud/Longitud (grados decimales),Elevación,Presión sonora 1,Presión sonora 2,Presión sonora 3,Presión sonora 4,foto del hábitat,Localidad,latitud,longitud,Fecha recogida,Estado del Audiomoth,Descripción de la Estación de Muestreo: cambios significativos en el sitio,parentEven,Cobertura,eventDate
2021-11-09,12:10:00,G013,ANH 194,"7.3820855,-73.8731384",69.84,47.4,49.4,50.7,48.6,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 12.12.29.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 12.12.39.jpg","plataforma Kale, vereda CENTRO, predio LA ESMERALDA LO 1, ANH 194",7.3820855,-73.8731384,2021-11-29,"Buena, sin membrana",Subió el nivel del agua,ANH_194,Herbazales,2021-11-09/2021-11-29
2021-11-09,11:16:00,G014,ANH 226,"7.241064,-73.8962864",76.0,41.8,49.1,51.0,49.3,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 11.16.57.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 11.17.11.jpg","plataforma Platero, vereda EL PEDRAL, predio PALMAS BUCARELIA, ANH 226",7.241064,-73.8962864,2021-12-01,"Buena, sin membrana",Sin cambios significativos,ANH_226,Palma,2021-11-09/2021-12-01
2021-11-08,14:15:00,G015,ANH 272,"7.26804,-73.7118324",136.0,54.4,48.0,59.1,49.7,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 14.17.14.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 14.17.43.jpg","plataforma Caracterización, vereda PUENTE SOGAMOSO, predio CAMPO ALEGRE, ANH 272",7.26804,-73.7118324,2021-11-25,"Buena, sin membrana",Sin cambios significativos,ANH_272,Pastos,2021-11-08/2021-11-25
2021-11-08,12:51:00,G016,ANH 232,"7.2954161,-73.8747729",60.12,55.1,39.5,42.6,45.7,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 12.56.05.jpg,"plataforma Platero, vereda CENTRO, predio MONTERREY, ANH PASTOS ARBOLADOS",7.2954161,-73.8747729,2021-11-28,"Buena, sin membrana",Rastro de creciente,ANH_232,Bosque Ripario,2021-11-08/2021-11-28
2021-11-05,12:25:00,G017,ANH 390,"7.295578,-73.70635",122.14,32.6,43.9,50.6,43.7,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-05 12.28.49.jpg,"plataforma Caracterización, vereda  CAYUMBA, predio LOS ALAMOS, ANH 390",7.295578,-73.70635,2021-11-25,Buena,Sin cambios significativos,ANH_390,Bosque Denso,2021-11-05/2021-11-25
2021-11-07,14:41:00,G018,ANH 208,"7.3479344,-73.8327178",87.0,59.5,53.0,51.6,35.4,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-07 14.43.22.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-07 14.43.34.jpg","plataforma Kale, vereda CENTRO, predio TABACURU, ANH 208",7.3479344,-73.8327178,2021-11-27,Buena. Apagamos equipo.,sin cambios.,ANH_208,Palma,2021-11-07/2021-11-27
2021-11-11,09:39:00,G019,ANH 192,"7.4458583,-73.8673117",62.0,63.0,51.4,56.0,58.1,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-11 09.38.42.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-11 09.41.15.jpg","plataforma Kale, vereda CENTRO, predio EL PARAISO, ANH 192",7.4458583,-73.8673117,2021-11-29,"Buena, sin membrana",Ha disminuido el nivel del agua,ANH_192,Pastos,2021-11-11/2021-11-29
2021-11-11,13:41:00,G02A,ANH 197,"7.4179086,-73.858556",95.0,43.6,54.0,41.2,45.0,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-11 13.39.40.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-11 13.42.46.jpg","plataforma Kale, vereda CENTRO, predio SAN PABLITO 2, ANH 197",7.4179086,-73.858556,2021-11-29,Buena,creció matorral alrededor,ANH_197,Bosque Abierto,2021-11-11/2021-11-29
2021-11-04,14:28:00,G020,ANH 338,"7.2789627,-73.8072573",99.0,53.1,40.5,60.5,39.2,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-04 14.32.06.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-04 14.32.27.jpg","plataforma Platero, vereda PUENTE SOGAMOSO, predio JAZMIN LA ESPERANZA, ANH 338",7.2789627,-73.8072573,2021-11-24,Apagamos equipo. sin membrana del micrófono,no hay cambios significativos en la vegetación,ANH_338,Bosque Ripario,2021-11-04/2021-11-24
2021-11-09,13:16:00,G021,ANH 327,"7.2250253,-73.8591769",71.0,50.6,62.5,43.8,62.2,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 13.17.58.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 13.18.11.jpg","plataforma Platero, vereda EL PEDRAL, predio PALMAS BUCARELIA, ANH 327",7.2250253,-73.8591769,2021-12-01,"Buena, sin membrana",sin cambios significativos,ANH_327,Palma,2021-11-09/2021-12-01
2021-11-07,10:40:00,G022,ANH 275,"7.3833861,-73.8248335",72.0,42.0,59.3,56.1,48.5,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-07 10.40.38.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-07 10.42.30.jpg","plataforma Kale, vereda CENTRO, predio LA LUCHA, ANH 275",7.3833861,-73.8248335,2021-11-27,sin membrana. Apagamos equipo,sin cambios significativos en vegetación,ANH_275,Bosque Ripario,2021-11-07/2021-11-27
2021-11-11,15:14:00,G023,ANH 240,"7.395068,-73.807801",74.91,41.4,44.9,40.6,42.9,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-11 15.16.56.jpg,"plataforma Kale, vereda CENTRO, predio ZONA NORTE, ANH 240",7.395068,-73.807801,2021-11-29,Buena,sin cambios significativos,ANH_240,Bosque Ripario,2021-11-11/2021-11-29
2021-11-05,14:06:00,G024,ANH 256,"7.2955317,-73.7820717",108.0,64.3,43.5,52.1,39.2,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-05 14.07.02.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-05 14.07.40.jpg","plataforma Caracterización, vereda PUENTE SOGAMOSO, predio ZONA SUR, ANH 256",7.2955317,-73.7820717,2021-11-25,Apagamos equipo. membrana parcialmente perforada.,crecimiento de arbences.,ANH_256,Palma,2021-11-05/2021-11-25
2021-11-06,13:53:00,G025,ANH 389,"7.4201391,-73.805588",66.0,67.1,62.9,47.1,60.8,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-06 13.55.34.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-06 13.56.11.jpg","plataforma Kale, vereda CENTRO, predio LA ESMERALDA, ANH 389",7.4201391,-73.805588,2021-11-26,Buena,Bajó el nivel del agua,ANH_389,Bosque Ripario,2021-11-06/2021-11-26
2021-11-08,11:29:00,G026,ANH 66,"7.364765,-73.810525",91.0,49.1,37.4,34.7,32.3,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 11.29.18.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 11.30.46.jpg","plataforma Kale, vereda CENTRO, predio ZONA NORTE, ANH 66",7.364765,-73.810525,2021-11-28,Buena,Sin cambios significativos,ANH_66,Palma,2021-11-08/2021-11-28
2021-11-10,10:38:00,G027,ANH 58,"7.3579933,-73.7106041",116.6,33.1,45.8,40.5,37.6,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-10 10.40.23.jpg,"plataforma Caracterización, vereda  CAYUMBA, predio LA ESPERANZA, ANH 58",7.3579933,-73.7106041,2021-11-30,"Buena, sin membrana",Sin cambios significativos,ANH_58,Bosque Ripario,2021-11-10/2021-11-30
2021-11-04,13:43:00,G028,ANH 248,"7.2607383,-73.81368",100.0,35.4,62.8,42.6,45.0,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-04 13.44.49.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-04 13.45.25.jpg","plataforma Platero, vereda CENTRO, predio EL DIAMANTE, ANH 248",7.2607383,-73.81368,2021-11-24,Buena,rastro de corte de hoja de bijao,ANH_248,Bosque Ripario,2021-11-04/2021-11-24
2021-11-07,09:38:00,G029,ANH 181,"7.264169,-73.8784645",61.33,44.5,38.4,45.4,41.4,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-07 09.41.17.jpg,"plataforma Platero, vereda EL PEDRAL, predio CORREDOR, ANH 181",7.264169,-73.8784645,2021-12-01,Grabadora apagada,sin cambios significativos,ANH_181,Bosque Ripario,2021-11-07/2021-12-01
2021-11-08,09:06:00,G030,ANH 370,"7.2859361,-73.8547474",91.15,38.2,44.3,45.3,50.3,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 09.08.11.jpg,"plataforma Platero, vereda CENTRO, predio EL DANUBIO PONDEROSA, ANH 370",7.2859361,-73.8547474,2021-11-28,"Buena, sin membrana",Sin cambios significativos,ANH_370,Bosque Ripario,2021-11-08/2021-11-28
2021-11-09,11:12:00,G031,ANH 109,"7.3806444,-73.8807358",74.19,62.1,65.3,66.0,55.7,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 11.14.44.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 11.15.23.jpg","plataforma Kale, vereda CENTRO, predio LOTE SALDO, ANH 109",7.3806444,-73.8807358,2021-11-29,"Buena, sin membrana",El nivel del agua disminuyó,ANH_109,Palma,2021-11-09/2021-11-29
2021-11-07,08:41:00,G032,ANH 182,"7.2559425,-73.864709",81.79,54.0,41.4,39.1,38.4,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-07 08.44.47.jpg,"plataforma Platero, vereda EL PEDRAL, predio PALMAS BUCARELIA, ANH 182",7.2559425,-73.864709,2021-12-01,"Buena, sin membrana",sin cambios significativos,ANH_182,Bosque Ripario,2021-11-07/2021-12-01
2021-11-09,15:01:00,G033,ANH 228,"7.3701827,-73.8461985",88.81,35.9,42.8,38.5,40.1,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 15.02.48.jpg,"plataforma Kale, vereda CENTRO, predio SANTA ISABEL, ANH 228",7.3701827,-73.8461985,2021-11-29,"Buena, sin membrana",Sin cambios significativos,ANH_228,Bosque Ripario,2021-11-09/2021-11-29
2021-11-05,09:28:00,G034,ANH 375,"7.323588,-73.7165765",93.14,50.5,45.2,30.9,51.2,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-05 09.31.47.jpg,"plataforma Caracterización, vereda  CAYUMBA, predio LA FLORIDA, ANH 375",7.323588,-73.7165765,2021-11-25,Buena,Sin cambios significativos,ANH_375,Bosque Ripario,2021-11-05/2021-11-25
2021-11-06,14:45:00,G035,ANH 282,"7.4354147,-73.808984",69.3,33.6,59.0,44.8,35.9,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-06 14.48.51.jpg,"plataforma Kale, vereda CENTRO, predio LA ESMERALDA, ANH 282",7.4354147,-73.808984,2021-11-26,"Buena, sin membrana",Nivel del agua subió,ANH_282,Herbazales,2021-11-06/2021-11-26
2021-11-07,09:06:00,G036,ANH 236,"7.2443838,-73.8684466",84.61,35.1,34.9,43.4,44.2,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-07 09.09.47.jpg,"plataforma Platero, vereda EL PEDRAL, predio PALMAS BUCARELIA, ANH 236",7.2443838,-73.8684466,2021-12-01,Buena,Sin cambios significativos,ANH_236,Palma,2021-11-07/2021-12-01
2021-11-04,13:28:00,G037,ANH 227,"7.2504073,-73.8142618",101.0,53.6,51.9,31.8,46.3,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-04 13.27.17.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-04 13.27.31.jpg","plataforma Platero, vereda EL PEDRAL, predio COLOMBIA, ANH 227",7.2504073,-73.8142618,2021-11-24,Apagamos el equipo. Sin membrana del micrófono,cuzu sobre la cámara.,ANH_227,Palma,2021-11-04/2021-11-24
2021-11-07,13:51:00,G038,ANH 239,"7.3579133,-73.8283017",86.0,51.2,49.5,64.8,48.6,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-07 13.51.08.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-07 13.51.22.jpg","plataforma Kale, vereda CENTRO, predio LOTE 2, ANH 239",7.3579133,-73.8283017,2021-11-27,Buena. Apagamos equipo.,sin cambios en la vegetación,ANH_239,Bosque Ripario,2021-11-07/2021-11-27
2021-11-08,09:16:00,G039,ANH 212,"7.3905309,-73.7829512",69.0,47.9,50.1,45.8,50.6,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 09.18.22.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 09.18.38.jpg","plataforma Kale, vereda SAN CLAVER, predio EL ALBARICO, ANH 212",7.3905309,-73.7829512,2021-11-27,Buena,"Tala de palma, el paisaje cambió drásticamente.",ANH_212,Palma,2021-11-08/2021-11-27
2021-11-08,08:34:00,G040,ANH 351,"7.2881129,-73.8850826",73.52,38.0,49.5,47.3,49.8,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 08.36.05.jpg,"plataforma Platero, vereda CENTRO, predio MONTERREY, ANH 351",7.2881129,-73.8850826,2021-11-28,Buena,Sin cambios significativos,ANH_351,Palma,2021-11-08/2021-11-28
2021-11-04,14:54:00,G041,ANH 222,"7.2862635,-73.8054709",104.0,56.9,34.0,44.1,48.2,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-04 14.56.50.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-04 14.57.10.jpg","plataforma Platero, vereda PUENTE SOGAMOSO, predio ZONA SUR, ANH 222",7.2862635,-73.8054709,2021-11-24,Buena,Nivel del agua creció,ANH_222,Palma,2021-11-04/2021-11-24
2021-11-05,12:16:00,G042,ANH 101,"7.2738584,-73.7378353",120.0,64.6,54.9,54.7,46.4,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-05 12.17.40.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-05 12.18.09.jpg","plataforma Caracterización, vereda PUENTE SOGAMOSO, predio LA GRANADA, ANH 101",7.2738584,-73.7378353,2021-11-25,Buena. Apagamos el equipo.,sin cambios,ANH_101,Bosque Ripario,2021-11-05/2021-11-25
2021-11-05,12:00:00,G043,ANH 62,"7.2878225,-73.7196325",123.5,41.6,53.3,30.4,48.2,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-05 12.04.07.jpg,"plataforma Caracterización, vereda COMUNEROS, predio LOS ALAMOS, ANH 62",7.2878225,-73.7196325,2021-11-25,"Buena, sin membrana",sin cambios significativos,ANH_62,Bosque Ripario,2021-11-05/2021-11-25
2021-11-05,11:34:00,G044,ANH 257,"7.2554591,-73.7819006",100.0,42.0,43.1,44.0,61.9,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-05 11.36.15.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-05 11.36.26.jpg","plataforma Caracterización, vereda PUENTE SOGAMOSO, predio LOS NOGALES, ANH 257",7.2554591,-73.7819006,2021-11-25,Buena. Apagamos el equipo. membrana del micrófono parcialmente destruida. No tenía sd!,crecimiento de arbences,ANH_257,Palma,2021-11-05/2021-11-25
