ACI,ADI,BI,H,Hf,Ht,NDSI,NP,SC,date,fname,sensor_name
308.45172675380263,3.011187636325242,16.931480371141244,0.7814630326783786,0.8688573848751497,0.8994146177288586,0.500688585249458,8.0,0.0003303973421369366,2022-03-24 10:30:00,G089_20220324_103000.WAV,G089
303.9450682417141,3.0482444391020955,13.729597161726886,0.6498130951392119,0.6606466042427362,0.9836016577789843,0.8802390009483838,2.0,0.00020890202320298368,2022-03-24 11:00:00,G089_20220324_110000.WAV,G089
307.2474066898999,3.0406341370930674,14.989371437447032,0.6693333909327097,0.7343373544403757,0.9114794268402643,0.7883492719235518,13.0,0.0014972768441284983,2022-03-24 11:30:00,G089_20220324_113000.WAV,G089
311.6262117045003,2.99198175429481,7.327347946917202,0.6818946319369596,0.7594508837560918,0.8978785152825756,-0.05460448303845806,3.0,2.9718279451470488e-05,2022-03-24 12:00:00,G089_20220324_120000.WAV,G089
312.5409137494625,3.042271630487274,6.790548072580974,0.8393882976572775,0.9204423826114063,0.911940077417808,0.45417944984879943,4.0,0.00022288709588602862,2022-03-24 12:30:00,G089_20220324_123000.WAV,G089
313.1733283719002,3.034237501762892,10.516058392125837,0.8780052143272961,0.9119282640412507,0.962800747546059,0.38792762045692797,4.0,0.00015383579951349426,2022-03-24 13:00:00,G089_20220324_130000.WAV,G089
344.3081821891288,2.975452225660231,15.097874158747592,0.462594895149148,0.8390653859727661,0.5513216286628735,0.08864424574284091,57.0,0.005327438625197429,2022-03-24 13:30:00,G089_20220324_133000.WAV,G089
302.1996862734262,3.026155623862199,28.601265869296515,0.5540614385375716,0.5679284769480394,0.9755831253875714,0.9723151682240269,19.0,0.02989571506113662,2022-03-24 14:00:00,G089_20220324_140000.WAV,G089
312.46136980416424,3.0355414500329028,36.6388907920072,0.5163924021309604,0.5248826480245716,0.9838244873867238,0.9542751707744587,13.0,0.030915751299956207,2022-03-24 14:30:00,G089_20220324_143000.WAV,G089
310.78366859122684,3.035623349917194,38.23896930085778,0.4910091790599867,0.4970546640772334,0.9878373839857836,0.9840461053666516,30.0,0.042485776744047826,2022-03-24 15:00:00,G089_20220324_150000.WAV,G089
302.2011269264535,0.0,39.286912076453106,0.4847261559846415,0.48875199157750676,0.9917630297937583,0.9918026490734857,8.0,0.05123169157320704,2022-03-24 15:30:00,G089_20220324_153000.WAV,G089
300.345519093746,3.0304672666912764,32.46484239988819,0.4617245245691857,0.47321911648407466,0.9757097895784694,0.9943163242149843,3.0,0.034956563238313504,2022-03-24 16:00:00,G089_20220324_160000.WAV,G089
321.82092119170477,3.0178902609991605,38.019602358634195,0.5259659892603126,0.5601502163973785,0.9389731073265976,0.9875619878200699,45.0,0.03755254235510372,2022-03-24 16:30:00,G089_20220324_163000.WAV,G089
307.5794709900507,3.016103153244613,39.35020459112581,0.46647278034458056,0.47199798232298784,0.9882940135650276,0.9677693842542376,18.0,0.046241642826488086,2022-03-24 17:00:00,G089_20220324_170000.WAV,G089
310.78042955066957,3.033657577046562,36.5943962092354,0.5691605230679322,0.5747876173501704,0.9902101330780583,0.8809630248324108,27.0,0.03700013198412344,2022-03-24 17:30:00,G089_20220324_173000.WAV,G089
301.6485183527419,3.0111619000128695,36.70519937151912,0.6379648092261228,0.6504780652152852,0.9807629854743511,0.9762915208195603,8.0,0.01243972215156847,2022-03-24 18:00:00,G089_20220324_180000.WAV,G089
297.8809086675881,0.0,63.078461546435086,0.5130927257574021,0.5171464799486067,0.9921613037149406,0.9992420316243481,28.0,0.1114549108145693,2022-03-24 18:30:00,G089_20220324_183000.WAV,G089
298.9388259102409,3.0385425995332924,64.93941866110573,0.735843206826465,0.7458421241882831,0.9865937883668073,0.8281504416696518,12.0,0.03697478403988543,2022-03-24 19:00:00,G089_20220324_190000.WAV,G089
304.51915885355413,3.0377457285076077,63.0740642961783,0.7482046325198233,0.7578883581312966,0.987222754502589,0.8397324567646515,13.0,0.03795548726178395,2022-03-24 19:30:00,G089_20220324_193000.WAV,G089
298.7066644878406,3.033332833770293,69.21815312415968,0.7404185827850063,0.7504815859824874,0.9865912723437349,0.7849072547578657,18.0,0.03913809997054393,2022-03-24 20:00:00,G089_20220324_200000.WAV,G089
299.96009074350224,3.0250610298641476,70.95052455006707,0.7162363739191054,0.7339439778532851,0.975873357547026,0.9338255042767843,52.0,0.051608414468606575,2022-03-24 20:30:00,G089_20220324_203000.WAV,G089
299.8108095802867,3.0107210457983573,69.31987824673755,0.6489264140178964,0.6600883658394868,0.9830902157964944,0.9494531154302317,15.0,0.06739493932663623,2022-03-24 21:00:00,G089_20220324_210000.WAV,G089
297.6235419942733,3.019011800463692,69.03368027204364,0.6658188458316624,0.6780797278789672,0.9819182294600417,0.9308600024851875,15.0,0.053890603517070965,2022-03-24 21:30:00,G089_20220324_213000.WAV,G089
299.71323500746155,3.028223354778936,69.32452415156841,0.6765063135333245,0.685709298710654,0.9865788823417825,0.9372097339400226,10.0,0.046943518661768394,2022-03-24 22:00:00,G089_20220324_220000.WAV,G089
300.2465583857749,3.034400367016832,66.88882437936938,0.6955213012403133,0.7043623180947675,0.9874481972880544,0.8133669729600057,13.0,0.038187989095139575,2022-03-24 22:30:00,G089_20220324_223000.WAV,G089
303.6126440260794,3.0281325814310307,59.54414757878573,0.6884850852930436,0.7004771819791324,0.9828801037426997,0.7705651351435501,10.0,0.027848650047155917,2022-03-24 23:00:00,G089_20220324_230000.WAV,G089
