Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación	Feeding buzz
1	Waveform 1	1	0.000000000	59.951214308	0.000	565.445		ANT	TRAMOT		
1	Spectrogram 1	1	0.000000000	59.951214308	0.000	565.445	375.000	ANT	TRAMOT		
2	Waveform 1	1	0.000000000	59.902433825	2261.780	3392.670		BIO	INSECT		
2	Spectrogram 1	1	0.000000000	59.902433825	2261.780	3392.670	3375.000	BIO	INSECT		
3	Waveform 1	1	0.048780484	59.951214308	3392.670	3895.288		BIO	INSECT		
3	Spectrogram 1	1	0.048780484	59.951214308	3392.670	3895.288	3750.000	BIO	INSECT		
4	Waveform 1	1	1.073170639	59.951214308	3958.115	4649.215		BIO	INSECT		
4	Spectrogram 1	1	1.073170639	59.951214308	3958.115	4649.215	4500.000	BIO	INSECT		
5	Waveform 1	1	0.243902418	57.999994965	5214.660	6408.377		BIO	INSECT		
5	Spectrogram 1	1	0.243902418	57.999994965	5214.660	6408.377	6000.000	BIO	INSECT		
6	Waveform 1	1	0.048780484	59.853653341	6408.377	8167.539		BIO	INSECT		
6	Spectrogram 1	1	0.048780484	59.853653341	6408.377	8167.539	7125.000	BIO	INSECT		
7	Waveform 1	1	2.146341277	58.634141252	7790.576	12439.791		BIO	MURCIE		
7	Spectrogram 1	1	2.146341277	58.634141252	7790.576	12439.791	11250.000	BIO	MURCIE		
8	Waveform 1	1	1.756097409	56.390239007	12188.482	24251.309		BIO	MURCIE		
8	Spectrogram 1	1	1.756097409	56.390239007	12188.482	24251.309	21000.000	BIO	MURCIE		
9	Waveform 1	1	53.702803242	56.660581710	26675.027	52355.350		BIO	MURCIE	MOL_SP	YES
9	Spectrogram 1	1	53.702803242	56.660581710	26675.027	52355.350	34875.000	BIO	MURCIE	MOL_SP	YES
10	Waveform 1	1	59.339327198	59.999994792	30424.344	43174.714		BIO	MURCIE	MOL_SP	
10	Spectrogram 1	1	59.339327198	59.999994792	30424.344	43174.714	36000.000	BIO	MURCIE	MOL_SP	
