Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	4677.316	5137.380		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	4677.316	5137.380	4875.000	BIO	INSECT	
2	Waveform 1	1	0.000000000	58.871114363	5444.089	6210.863		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	58.871114363	5444.089	6210.863	6000.000	BIO	INSECT	
3	Waveform 1	1	0.000000000	59.999994792	3373.802	4447.284		BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.999994792	3373.802	4447.284	3750.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	6517.572	7054.313		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	6517.572	7054.313	6750.000	BIO	INSECT	
5	Waveform 1	1	0.000000000	59.999994792	7130.990	7821.086		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.999994792	7130.990	7821.086	7500.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.999994792	7821.086	8434.505		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	7821.086	8434.505	7875.000	BIO	INSECT	
7	Waveform 1	1	1.128880429	59.999994792	9201.278	10198.083		BIO	INSECT	
7	Spectrogram 1	1	1.128880429	59.999994792	9201.278	10198.083	9750.000	BIO	INSECT	
8	Waveform 1	1	0.903104343	58.137342084	17865.815	18249.201		BIO	INSECT	
8	Spectrogram 1	1	0.903104343	58.137342084	17865.815	18249.201	18000.000	BIO	INSECT	
9	Waveform 1	1	0.000000000	59.999994792	10581.470	13188.498		BIO	INSECT	
9	Spectrogram 1	1	0.000000000	59.999994792	10581.470	13188.498	12000.000	BIO	INSECT	
10	Waveform 1	1	0.000000000	59.153334470	14492.013	21853.035		BIO	INSECT	
10	Spectrogram 1	1	0.000000000	59.153334470	14492.013	21853.035	17625.000	BIO	INSECT	
