Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	3450.479	4293.930		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	3450.479	4293.930	3750.000	BIO	INSECT	
2	Waveform 1	1	2.088428793	59.999994792	4753.994	5290.735		BIO	INSECT	
2	Spectrogram 1	1	2.088428793	59.999994792	4753.994	5290.735	4875.000	BIO	INSECT	
3	Waveform 1	1	10.950140160	59.999994792	6747.604	7284.345		BIO	INSECT	
3	Spectrogram 1	1	10.950140160	59.999994792	6747.604	7284.345	7125.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	9891.374	10274.760		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	9891.374	10274.760	10125.000	BIO	INSECT	
5	Waveform 1	1	39.680147073	41.994351952	10274.760	20089.457		BIO	INSECT	
5	Spectrogram 1	1	39.680147073	41.994351952	10274.760	20089.457	16500.000	BIO	INSECT	
6	Waveform 1	1	0.620884236	22.803384662	12115.016	22926.518		BIO	INSECT	
6	Spectrogram 1	1	0.620884236	22.803384662	12115.016	22926.518	16500.000	BIO	INSECT	
7	Waveform 1	1	0.000000000	59.999994792	7514.377	8587.859		BIO	INSECT	
7	Spectrogram 1	1	0.000000000	59.999994792	7514.377	8587.859	8250.000	BIO	INSECT	
8	Waveform 1	1	0.000000000	59.999994792	5750.799	6364.217		BIO	INSECT	
8	Spectrogram 1	1	0.000000000	59.999994792	5750.799	6364.217	6000.000	BIO	INSECT	
9	Waveform 1	1	26.754466163	59.887106749	2760.383	3373.802		BIO	INSECT	
9	Spectrogram 1	1	26.754466163	59.887106749	2760.383	3373.802	3000.000	BIO	INSECT	
10	Waveform 1	1	0.000000000	59.999994792	0.000	843.450		ANT	TRAMOT	
10	Spectrogram 1	1	0.000000000	59.999994792	0.000	843.450	0.000	ANT	TRAMOT	
