Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	0.000	996.805		ANT	TRAMOT	
1	Spectrogram 1	1	0.000000000	59.999994792	0.000	996.805	0.000	ANT	TRAMOT	
2	Waveform 1	1	28.447786806	59.999994792	2530.351	3297.125		BIO	INSECT	
2	Spectrogram 1	1	28.447786806	59.999994792	2530.351	3297.125	3000.000	BIO	INSECT	
3	Waveform 1	1	0.282220107	59.999994792	4293.930	5060.703		BIO		
3	Spectrogram 1	1	0.282220107	59.999994792	4293.930	5060.703	4500.000	BIO		
4	Waveform 1	1	0.000000000	59.999994792	3297.125	3833.866		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	3297.125	3833.866	3375.000	BIO	INSECT	
5	Waveform 1	1	0.000000000	59.999994792	5827.476	6364.217		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.999994792	5827.476	6364.217	6000.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.999994792	6977.636	7744.409		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	6977.636	7744.409	7500.000	BIO	INSECT	
7	Waveform 1	1	39.793035116	41.486355759	9047.923	23463.259		BIO	INSECT	
7	Spectrogram 1	1	39.793035116	41.486355759	9047.923	23463.259	18375.000	BIO	INSECT	
8	Waveform 1	1	44.703664981	45.493881281	11654.952	20242.812		BIO	INSECT	
8	Spectrogram 1	1	44.703664981	45.493881281	11654.952	20242.812	16125.000	BIO	INSECT	
9	Waveform 1	1	0.451552172	59.661330663	11731.629	26299.501		BIO	INSECT	
9	Spectrogram 1	1	0.451552172	59.661330663	11731.629	26299.501	19125.000	BIO	INSECT	
