Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Descripción
1	Waveform 1	1	11.193180847	16.534089474	1053.292	3009.404		BIO	AVEVOC	
1	Spectrogram 1	1	11.193180847	16.534089474	1053.292	3009.404	1875.000	BIO	AVEVOC	
2	Waveform 1	1	0.000000000	59.999994792	6921.630	8652.038		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.999994792	6921.630	8652.038	7875.000	BIO	INSECT	
3	Waveform 1	1	0.000000000	59.999994792	3912.226	5040.752		BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.999994792	3912.226	5040.752	4500.000	BIO	INSECT	
4	Waveform 1	1	38.863632990	55.738631525	1579.937	2708.464		BIO	AVEVOC	
4	Spectrogram 1	1	38.863632990	55.738631525	1579.937	2708.464	2250.000	BIO	AVEVOC	
