Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Descripción
1	Waveform 1	1	0.000000000	59.999994792	3159.875	8275.862		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.999994792	3159.875	8275.862	7125.000	BIO	INSECT	
2	Waveform 1	1	5.738635865	49.943177483	11811.912	12413.793		BIO		
2	Spectrogram 1	1	5.738635865	49.943177483	11811.912	12413.793	12000.000	BIO		
3	Waveform 1	1	0.000000000	59.999994792	9028.213	10457.680		BIO		
3	Spectrogram 1	1	0.000000000	59.999994792	9028.213	10457.680	9750.000	BIO		
4	Waveform 1	1	2.670454314	59.261358492	13710.625	14538.212		BIO		
4	Spectrogram 1	1	2.670454314	59.261358492	13710.625	14538.212	14250.000	BIO		
5	Waveform 1	1	9.873273426	10.885347201	17429.227	64671.604		BIO	INSECT	
5	Spectrogram 1	1	9.873273426	10.885347201	17429.227	64671.604	25125.000	BIO	INSECT	
6	Waveform 1	1	42.739193196	43.811636285	19263.882	61002.293		BIO	INSECT	
6	Spectrogram 1	1	42.739193196	43.811636285	19263.882	61002.293	25125.000	BIO	INSECT	
