Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	25.909088660	29.034088389	16852.665	27385.580		BIO	INSECT	
1	Spectrogram 1	1	25.909088660	29.034088389	16852.665	27385.580	22125.000	BIO	INSECT	
2	Waveform 1	1	0.227272708	59.999994792	3536.050	3987.461		BIO	INSECT	
2	Spectrogram 1	1	0.227272708	59.999994792	3536.050	3987.461	3750.000	BIO	INSECT	
3	Waveform 1	1	0.000000000	59.999994792	4137.931	5492.163		BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.999994792	4137.931	5492.163	4875.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	8.579544710	6695.925	7749.216		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	8.579544710	6695.925	7749.216	7500.000	BIO	INSECT	
5	Waveform 1	1	0.738636300	59.886358438	9028.213	9780.564		BIO	INSECT	
5	Spectrogram 1	1	0.738636300	59.886358438	9028.213	9780.564	9750.000	BIO	INSECT	
6	Waveform 1	1	49.545450245	59.886358438	13993.730	14971.787		BIO		
6	Spectrogram 1	1	49.545450245	59.886358438	13993.730	14971.787	14250.000	BIO		
7	Waveform 1	1	29.999997396	59.999994792	6921.630	7974.922		BIO	INSECT	
7	Spectrogram 1	1	29.999997396	59.999994792	6921.630	7974.922	7500.000	BIO	INSECT	
