Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.886358438	15949.843	44539.185		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	59.886358438	15949.843	44539.185	21375.000	BIO	INSECT	
2	Waveform 1	1	0.000000000	59.999994792	6545.455	8275.862		BIO	INSECT	
2	Spectrogram 1	1	0.000000000	59.999994792	6545.455	8275.862	7500.000	BIO	INSECT	
3	Waveform 1	1	2.727272491	14.488635106	4213.166	5793.103		BIO	INSECT	
3	Spectrogram 1	1	2.727272491	14.488635106	4213.166	5793.103	5250.000	BIO	INSECT	
4	Waveform 1	1	15.397725936	54.715904341	3460.815	4514.107		BIO	AVEVOC	
4	Spectrogram 1	1	15.397725936	54.715904341	3460.815	4514.107	4125.000	BIO	AVEVOC	
5	Waveform 1	1	0.000000000	59.999994792	5642.633	6319.749		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.999994792	5642.633	6319.749	6000.000	BIO	INSECT	
6	Waveform 1	1	46.193177808	51.988631851	4514.107	6169.279		BIO	INSECT	
6	Spectrogram 1	1	46.193177808	51.988631851	4514.107	6169.279	5625.000	BIO	INSECT	
7	Waveform 1	1	30.113633750	39.204542051	1203.762	2181.818		BIO	AVEVOC	CAMGRY
7	Spectrogram 1	1	30.113633750	39.204542051	1203.762	2181.818	1500.000	BIO	AVEVOC	CAMGRY
8	Waveform 1	1	19.090907434	27.215906728	1504.702	2934.169		BIO	AVEVOC	
8	Spectrogram 1	1	19.090907434	27.215906728	1504.702	2934.169	2250.000	BIO	AVEVOC	
