Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	TIPO	ID	DETERMINACION
1	Waveform 1	1	0.328250702	59.741627700	6057.508	10811.502		BIO	INSECT	
1	Spectrogram 1	1	0.328250702	59.741627700	6057.508	10811.502	8250.000	BIO	INSECT	
2	Waveform 1	1	44.970346126	59.999994792	766.773	4753.994		BIO	MEGTOR	
2	Spectrogram 1	1	44.970346126	59.999994792	766.773	4753.994	2625.000	BIO	AVEVOC	MEGTOR
3	Waveform 1	1	0.328250702	59.999994792	4523.962	5444.089		BIO	INSECT	
3	Spectrogram 1	1	0.328250702	59.999994792	4523.962	5444.089	4875.000	BIO	INSECT	
4	Waveform 1	1	11.324649207	13.704466794	1456.869	5214.058		BIO	AVEVOC	SALCOE
4	Spectrogram 1	1	11.324649207	13.704466794	1456.869	5214.058	4500.000	BIO	AVEVOC	SALCOE
5	Waveform 1	1	18.956478020	22.156922361	1150.160	5444.089		BIO	AVEVOC	PSITTA
5	Spectrogram 1	1	18.956478020	22.156922361	1150.160	5444.089	4875.000	BIO	AVEVOC	PSITTA
6	Waveform 1	1	31.758255385	41.113400382	1686.901	5980.831		BIO	AVEVOC	SALCOE
6	Spectrogram 1	1	31.758255385	41.113400382	1686.901	5980.831	4500.000	BIO	AVEVOC	SALCOE
7	Waveform 1	1	0.000000000	59.987815727	0.000	996.805		BIO	AVEVOC	PATCAY
7	Spectrogram 1	1	0.000000000	59.987815727	0.000	996.805	750.000	BIO	AVEVOC	PATCAY
8	Waveform 1	1	0.082062675	59.999994792	11194.888	14798.722		BIO	INSECT	
8	Spectrogram 1	1	0.082062675	59.999994792	11194.888	14798.722	12000.000	BIO	INSECT	
