NMDS1,NMDS2,Cobertura,sensor_name,centroid_x,centroid_y,dist_centroid
-0.3026506358589,0.0153775294151466,Palma,G001,-0.3164385092819058,-0.030331252388656728,0.04774304334158572
-0.086598238664994,0.132704764640878,Palma,G004,-0.3164385092819058,-0.030331252388656728,0.2817929964461679
-0.727650520794123,0.127724694262118,Palma,G008,-0.3164385092819058,-0.030331252388656728,0.440541712762363
-0.289952447339934,-0.997104387299654,Palma,G012,-0.3164385092819058,-0.030331252388656728,0.9671358776629224
-0.332518593726492,0.034261486959314,Palma,G014,-0.3164385092819058,-0.030331252388656728,0.06656418776053613
-0.555398342899004,0.162434906391406,Palma,G018,-0.3164385092819058,-0.030331252388656728,0.3070188822420074
-0.0710107594916978,-0.123210765732585,Palma,G021,-0.3164385092819058,-0.030331252388656728,0.26241452773444135
-0.537813823350534,0.0842028105047867,Palma,G024,-0.3164385092819058,-0.030331252388656728,0.2492490345856188
-0.546395641578044,0.160760509917736,Palma,G026,-0.3164385092819058,-0.030331252388656728,0.29899221447259544
-0.361597453424432,-0.472761792807396,Palma,G031,-0.3164385092819058,-0.030331252388656728,0.44472925846101635
0.34059390838963,-0.2195545273048,Palma,G036,-0.3164385092819058,-0.030331252388656728,0.6837375561144012
-0.848570758174974,0.174710341299794,Palma,G037,-0.3164385092819058,-0.030331252388656728,0.5702690465510941
-0.158182348232648,-0.0608546748607424,Palma,G039,-0.3164385092819058,-0.030331252388656728,0.16117286319184768
-0.281283840397437,-0.126041530912122,Palma,G040,-0.3164385092819058,-0.030331252388656728,0.10196228792752711
-0.394841346807722,-0.508698935564832,Palma,G041,-0.3164385092819058,-0.030331252388656728,0.4847500853423763
0.199774594819951,-0.351327431643011,Palma,G048,-0.3164385092819058,-0.030331252388656728,0.6078770566013888
-0.25905027133464,0.0664622393972125,Palma,G049,-0.3164385092819058,-0.030331252388656728,0.11252728516583495
-0.315470085427288,0.124773880083495,Palma,G050,-0.3164385092819058,-0.030331252388656728,0.15510815569777733
-0.585780425429076,0.153473707389011,Palma,G051,-0.3164385092819058,-0.030331252388656728,0.3260817858033462
-0.140206831505195,-0.177639259414392,Palma,G053,-0.3164385092819058,-0.030331252388656728,0.22968947121252314
0.0156940044094878,-0.0658315952032533,Palma,G056,-0.3164385092819058,-0.030331252388656728,0.33402437185169237
-0.613391524795901,0.0163156736355451,Palma,G060,-0.3164385092819058,-0.030331252388656728,0.300594459580283
-0.476856977235385,0.140979516715765,Palma,G061,-0.3164385092819058,-0.030331252388656728,0.2346944065624273
-0.11787621612904,0.0267894602682393,Palma,G068,-0.3164385092819058,-0.030331252388656728,0.20661500448069184
