"NMDS1","NMDS2","Cobertura","sensor_name"
-0.3026506358589,0.0153775294151466,"Palma","G001"
-0.530443008307146,-0.0986262980505239,"Herbazales","G002"
-0.0461932985404623,0.122293306430737,"Bosque Ripario","G003"
-0.086598238664994,0.132704764640878,"Palma","G004"
1.45452627668672,-0.56979223006827,"Bosque Ripario","G005"
0.288397499757676,0.584332085716963,"Bosque Ripario","G006"
-0.456997542062911,-0.00212501848683678,"Pastos","G007"
-0.727650520794123,0.127724694262118,"Palma","G008"
0.345015573246629,-0.599811769162625,"Bosque Ripario","G010"
0.670785710485952,-0.0641649376107305,"Bosque Ripario","G011"
-0.289952447339934,-0.997104387299654,"Palma","G012"
-0.331757607343774,-0.353990542883573,"Herbazales","G013"
-0.332518593726492,0.034261486959314,"Palma","G014"
0.00456969650507927,-0.50110083980735,"Pastos","G015"
0.465392417072588,-0.0512224157657808,"Bosque Ripario","G016"
1.09799993964393,0.338315794255234,"Bosque Denso","G017"
-0.555398342899004,0.162434906391406,"Palma","G018"
-0.582122924865125,-0.264065806864226,"Pastos","G019"
-0.629349018779407,0.231354642881223,"Bosque Ripario","G020"
-0.0710107594916978,-0.123210765732585,"Palma","G021"
0.0588881282311183,0.0178493928893073,"Bosque Ripario","G022"
0.917581945265627,0.139235958348169,"Bosque Ripario","G023"
-0.537813823350534,0.0842028105047867,"Palma","G024"
0.635882245860007,-0.331202861277727,"Bosque Ripario","G025"
-0.546395641578044,0.160760509917736,"Palma","G026"
0.0752130391733609,0.61672103235086,"Bosque Ripario","G027"
-0.31289348218025,0.101839833567537,"Bosque Ripario","G028"
-0.319452459952188,-0.298944583162399,"Bosque Abierto","G02A"
0.961135948654172,-0.130741688745809,"Bosque Ripario","G030"
-0.361597453424432,-0.472761792807396,"Palma","G031"
0.00641449948180437,-0.0900314733973989,"Bosque Ripario","G032"
0.501404136580715,-0.0224229078689933,"Bosque Ripario","G033"
0.80733280138894,0.655354221008694,"Bosque Ripario","G034"
