Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	0.000000000	59.999994792	0.000	1456.869		ANT	TRAMOT	
1	Spectrogram 1	1	0.000000000	59.999994792	0.000	1456.869	0.000	ANT	TRAMOT	
2	Waveform 1	1	34.600185143	59.999994792	2607.029	3143.770		BIO	INSECT	
2	Spectrogram 1	1	34.600185143	59.999994792	2607.029	3143.770	3000.000	BIO	INSECT	
3	Waveform 1	1	0.000000000	59.999994792	3220.447	3987.220		BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.999994792	3220.447	3987.220	3750.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	5214.058	5904.153		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	5214.058	5904.153	5625.000	BIO	INSECT	
5	Waveform 1	1	0.000000000	59.774218706	4600.639	4984.026		BIO	INSECT	
5	Spectrogram 1	1	0.000000000	59.774218706	4600.639	4984.026	4875.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.999994792	6287.540	6977.636		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	6287.540	6977.636	6750.000	BIO	INSECT	
7	Waveform 1	1	0.000000000	59.999994792	7591.054	8971.246		BIO	INSECT	
7	Spectrogram 1	1	0.000000000	59.999994792	7591.054	8971.246	8250.000	BIO	INSECT	
8	Waveform 1	1	0.000000000	59.096890449	10658.147	11501.597		BIO	INSECT	
8	Spectrogram 1	1	0.000000000	59.096890449	10658.147	11501.597	11250.000	BIO	INSECT	
9	Waveform 1	1	0.564440214	59.830662727	9124.601	10581.470		BIO	INSECT	
9	Spectrogram 1	1	0.564440214	59.830662727	9124.601	10581.470	9750.000	BIO	INSECT	
10	Waveform 1	1	0.056444021	59.999994792	15872.204	17022.364		BIO	INSECT	
10	Spectrogram 1	1	0.056444021	59.999994792	15872.204	17022.364	16500.000	BIO	INSECT	
11	Waveform 1	1	42.728124231	43.857004660	9968.051	23233.227		BIO	INSECT	
11	Spectrogram 1	1	42.728124231	43.857004660	9968.051	23233.227	15375.000	BIO	INSECT	
12	Waveform 1	1	2.257760858	59.604886642	17329.073	19859.425		BIO	INSECT	
12	Spectrogram 1	1	2.257760858	59.604886642	17329.073	19859.425	18750.000	BIO	INSECT	
13	Waveform 1	1	45.042329110	47.638754096	10811.502	22543.131		BIO	INSECT	
13	Spectrogram 1	1	45.042329110	47.638754096	10811.502	22543.131	17250.000	BIO	INSECT	
14	Waveform 1	1	0.284090884	49.147723006	29281.853	40030.888			INDETE	
14	Spectrogram 1	1	0.284090884	49.147723006	29281.853	40030.888	35250.000		INDETE	
