"hour","F0","F0.19","F0.38","F0.56","F0.75","F0.94","F1.12","F1.31","F1.5","F1.69","F1.88","F2.06","F2.25","F2.44","F2.62","F2.81","F3","F3.19","F3.38","F3.56","F3.75","F3.94","F4.12","F4.31","F4.5","F4.69","F4.88","F5.06","F5.25","F5.44","F5.62","F5.81","F6","F6.19","F6.38","F6.56","F6.75","F6.94","F7.12","F7.31","F7.5","F7.69","F7.88","F8.06","F8.25","F8.44","F8.62","F8.81","F9","F9.19","F9.38","F9.56","F9.75","F9.94","F10.12","F10.31","F10.5","F10.69","F10.88","F11.06","F11.25","F11.44","F11.62","F11.81","F12","F12.19","F12.38","F12.56","F12.75","F12.94","F13.12","F13.31","F13.5","F13.69","F13.88","F14.06","F14.25","F14.44","F14.62","F14.81","F15","F15.19","F15.38","F15.56","F15.75","F15.94","F16.12","F16.31","F16.5","F16.69","F16.88","F17.06","F17.25","F17.44","F17.62","F17.81","F18","F18.19","F18.38","F18.56","F18.75","F18.94","F19.12","F19.31","F19.5","F19.69","F19.88","F20.06","F20.25","F20.44","F20.62","F20.81","F21","F21.19","F21.38","F21.56","F21.75","F21.94","F22.12","F22.31","F22.5","F22.69","F22.88","F23.06","F23.25","F23.44","F23.62","F23.81"
"10",0,0,0.0465116279069767,0,0,0,0,0,0,0,0,0.0465116279069767,0,0,0,0,0,0,0,0,0,0.0232558139534884,0,0,0,0,0,0,0,0,0,0,0,0,0.0232558139534884,0,0,0,0,0.0232558139534884,0,0.0465116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145833333333333,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0833333333333333,0.0833333333333333,0.145833333333333,0.104166666666667,0,0,0.0208333333333333,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0.479166666666667,0.0208333333333333,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0.0625,0.125,0.104166666666667,0.0625,0.0625,0.1875,0.5,0.0833333333333333,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0.0208333333333333,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.416666666666667,0.208333333333333,0.0208333333333333,0.0625,0.0416666666666667,0.166666666666667,0.395833333333333,0.25,0,0,0,0,0,0.0625,0.104166666666667,0.3125,0.229166666666667,0.0416666666666667,0.0208333333333333,0.0833333333333333,0,0.25,0.479166666666667,0.1875,0.0625,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0.0208333333333333,0,0,0.0416666666666667,0.0833333333333333,0.0208333333333333,0,0,0.0416666666666667,0.0625,0.0833333333333333,0.0416666666666667,0.0416666666666667,0.0208333333333333,0.0208333333333333,0.0416666666666667,0.0416666666666667,0.0208333333333333,0.0833333333333333,0.0416666666666667,0.0208333333333333,0,0.0416666666666667,0.0208333333333333,0.0208333333333333,0,0.0625,0.0208333333333333,0.0416666666666667,0,0.0416666666666667,0.0416666666666667,0.0833333333333333,0.166666666666667,0.125,0.104166666666667,0.0416666666666667,0.0416666666666667,0,0.0208333333333333,0.0208333333333333,0,0,0,0,0,0.0416666666666667,0.0208333333333333,0,0.0208333333333333,0,0.0416666666666667,0.0208333333333333,0.0208333333333333,0,0.0208333333333333,0,0.0416666666666667,0.0416666666666667,0,0.0208333333333333,0,0.0208333333333333,0.0208333333333333,0,0.0208333333333333,0.0208333333333333,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0.0208333333333333,0,0.458333333333333,0.4375,0.0833333333333333,0.0208333333333333,0,0.0416666666666667,0.354166666666667,0.5625,0.0416666666666667,0,0,0,0,0.0208333333333333,0.0833333333333333,0.25,0.520833333333333,0.125,0,0,0.0625,0.0625,0.270833333333333,0.458333333333333,0.1875,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0.0416666666666667,0.229166666666667,0.145833333333333,0.0416666666666667,0.145833333333333,0.0625,0.104166666666667,0.1875,0.166666666666667,0.229166666666667,0.1875,0.0625,0.0833333333333333,0.0416666666666667,0.104166666666667,0.0833333333333333,0.0833333333333333,0.104166666666667,0.104166666666667,0.0625,0.0208333333333333,0.0208333333333333,0.0833333333333333,0.125,0.0416666666666667,0.0208333333333333,0.0416666666666667,0.104166666666667,0.0625,0.1875,0.270833333333333,0.395833333333333,0.229166666666667,0.125,0.104166666666667,0.0208333333333333,0.0625,0,0.0416666666666667,0,0.0208333333333333,0.0208333333333333,0.0208333333333333,0.0416666666666667,0.0208333333333333,0,0.0208333333333333,0.0416666666666667,0.0208333333333333,0.0625,0.0625,0.0625,0.0208333333333333,0.0208333333333333,0.0208333333333333,0,0,0.0625,0,0,0.0416666666666667,0,0,0.0416666666666667,0.0416666666666667,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.125,0.0208333333333333,0.395833333333333,0.541666666666667,0.0416666666666667,0,0,0.0833333333333333,0.458333333333333,0.4375,0.0208333333333333,0,0,0,0,0.0833333333333333,0.0833333333333333,0.4375,0.333333333333333,0.0625,0,0,0.0416666666666667,0.0416666666666667,0.333333333333333,0.458333333333333,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0.0208333333333333,0.0833333333333333,0.125,0.0625,0.0208333333333333,0.0625,0.104166666666667,0.0625,0.145833333333333,0.0833333333333333,0.0625,0.104166666666667,0.0416666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.104166666666667,0.104166666666667,0.104166666666667,0.0416666666666667,0.0833333333333333,0,0,0.104166666666667,0.0833333333333333,0.0416666666666667,0.0416666666666667,0.0416666666666667,0.0625,0.145833333333333,0.145833333333333,0.125,0.1875,0.375,0.104166666666667,0.0833333333333333,0.0833333333333333,0.0208333333333333,0,0.0833333333333333,0.0208333333333333,0.0416666666666667,0,0.0625,0.0625,0.0208333333333333,0,0,0.0625,0.0208333333333333,0.0416666666666667,0.0625,0.0625,0,0.0208333333333333,0,0.0416666666666667,0,0,0,0,0.0416666666666667,0,0.0416666666666667,0.0208333333333333,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.104166666666667,0,0.583333333333333,0.375,0.0208333333333333,0.0208333333333333,0,0.166666666666667,0.541666666666667,0.25,0.0208333333333333,0,0,0,0,0.0833333333333333,0.166666666666667,0.520833333333333,0.1875,0.0416666666666667,0,0.0208333333333333,0.0416666666666667,0.0833333333333333,0.458333333333333,0.333333333333333,0.0833333333333333,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.0833333333333333,0,0.0416666666666667,0.0208333333333333,0,0.125,0.0833333333333333,0.0625,0.0416666666666667,0.104166666666667,0,0.0208333333333333,0.0208333333333333,0.0833333333333333,0.0208333333333333,0.0625,0.0833333333333333,0,0.0208333333333333,0.0208333333333333,0.0416666666666667,0.0208333333333333,0.0416666666666667,0.0833333333333333,0.0416666666666667,0,0.0625,0.104166666666667,0.0208333333333333,0.166666666666667,0.1875,0.104166666666667,0.104166666666667,0.104166666666667,0.0416666666666667,0.0208333333333333,0,0,0,0,0,0.0208333333333333,0.0625,0,0.0208333333333333,0.0208333333333333,0,0,0,0.0208333333333333,0,0,0.0208333333333333,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0.0833333333333333,0.104166666666667,0,0.604166666666667,0.375,0.0208333333333333,0.0208333333333333,0,0.0208333333333333,0.6875,0.25,0,0,0,0,0,0.104166666666667,0.291666666666667,0.375,0.1875,0.0416666666666667,0,0.0208333333333333,0.0625,0.104166666666667,0.479166666666667,0.291666666666667,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0.0208333333333333,0.0208333333333333,0.0416666666666667,0.0208333333333333,0.0208333333333333,0.0208333333333333,0.0416666666666667,0.0208333333333333,0.0416666666666667,0.0416666666666667,0.0208333333333333,0.0208333333333333,0.0416666666666667,0.0416666666666667,0,0.0208333333333333,0.0208333333333333,0.0208333333333333,0.0625,0.0208333333333333,0.0208333333333333,0.104166666666667,0.0208333333333333,0.0208333333333333,0.0416666666666667,0,0.0416666666666667,0.125,0.145833333333333,0.0208333333333333,0.145833333333333,0.166666666666667,0.125,0.0625,0.0833333333333333,0,0.0208333333333333,0.0416666666666667,0,0.0208333333333333,0.0208333333333333,0,0,0,0,0.0208333333333333,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0.0208333333333333,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148936170212766,0.0212765957446809,0.531914893617021,0.425531914893617,0,0,0,0.0851063829787234,0.553191489361702,0.276595744680851,0,0,0,0,0,0.170212765957447,0.25531914893617,0.446808510638298,0.106382978723404,0.0212765957446809,0,0.0212765957446809,0.0638297872340425,0.191489361702128,0.446808510638298,0.212765957446809,0.0851063829787234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425531914893617,0,0.0638297872340425,0.0425531914893617,0,0,0.106382978723404,0.0425531914893617,0.0425531914893617,0.0638297872340425,0,0.0425531914893617,0,0.0212765957446809,0.0425531914893617,0.0425531914893617,0.0638297872340425,0.0425531914893617,0,0,0.0425531914893617,0,0.0851063829787234,0.0425531914893617,0.0425531914893617,0.0212765957446809,0.0212765957446809,0.0638297872340425,0.0212765957446809,0.212765957446809,0.0638297872340425,0.127659574468085,0.212765957446809,0.0638297872340425,0.0638297872340425,0.0638297872340425,0,0,0,0,0,0.0212765957446809,0.0212765957446809,0,0,0,0.0212765957446809,0,0,0.0212765957446809,0,0,0,0,0.0212765957446809,0.0212765957446809,0,0,0.0212765957446809,0,0,0.0212765957446809,0.0212765957446809,0,0,0
