Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	12.474128738	22.634052598	10888.179	19322.684		BIO	INSECT	
1	Spectrogram 1	1	12.474128738	22.634052598	10888.179	19322.684	17625.000	BIO	INSECT	
2	Waveform 1	1	43.123232381	53.283156240	11194.888	19246.006		BIO	INSECT	
2	Spectrogram 1	1	43.123232381	53.283156240	11194.888	19246.006	17625.000	BIO	INSECT	
3	Waveform 1	1	0.000000000	59.999994792	2300.319	2683.706		BIO	INSECT	
3	Spectrogram 1	1	0.000000000	59.999994792	2300.319	2683.706	2625.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	3373.802	3910.543		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	3373.802	3910.543	3750.000	BIO	INSECT	
5	Waveform 1	1	22.069612383	58.984002406	4140.575	4600.639		BIO	INSECT	
5	Spectrogram 1	1	22.069612383	58.984002406	4140.575	4600.639	4500.000	BIO	INSECT	
6	Waveform 1	1	0.000000000	59.999994792	4600.639	5290.735		BIO	INSECT	
6	Spectrogram 1	1	0.000000000	59.999994792	4600.639	5290.735	4875.000	BIO	INSECT	
7	Waveform 1	1	6.039510294	29.463779192	6134.185	6670.927		BIO	INSECT	
7	Spectrogram 1	1	6.039510294	29.463779192	6134.185	6670.927	6375.000	BIO	INSECT	
8	Waveform 1	1	11.401692331	59.999994792	5904.153	6364.217		BIO	INSECT	
8	Spectrogram 1	1	11.401692331	59.999994792	5904.153	6364.217	6000.000	BIO	INSECT	
9	Waveform 1	1	0.282220107	59.999994792	7667.732	8741.214		BIO	INSECT	
9	Spectrogram 1	1	0.282220107	59.999994792	7667.732	8741.214	8250.000	BIO	INSECT	
10	Waveform 1	1	0.000000000	59.999994792	6057.508	7667.732		BIO	INSECT	
10	Spectrogram 1	1	0.000000000	59.999994792	6057.508	7667.732	7125.000	BIO	INSECT	
11	Waveform 1	1	1.072436407	59.999994792	9738.019	9968.051		BIO	INSECT	
11	Spectrogram 1	1	1.072436407	59.999994792	9738.019	9968.051	9750.000	BIO	INSECT	
