ACI,ADI,BI,H,Hf,Ht,NDSI,NP,SC,date,fname_audio,sensor_name
309.49242687347385,3.042134266854847,29.398558890482963,0.7360661639407411,0.7631474268433092,0.9645137204817852,0.20092316927935586,13.0,0.0011861089769307487,2021-11-11 12:30:00,G002_20211111_123000.WAV,G002
321.2243717126586,3.0340679752956268,38.41317977735893,0.7386283706662644,0.7721097236060627,0.9566365350465645,0.6273595370954305,56.0,0.05739736049234449,2021-11-11 13:00:00,G002_20211111_130000.WAV,G002
310.988666697031,3.0514774991982496,29.37892847905807,0.7954830008622571,0.8604886018144406,0.9244550121697003,0.6539746660954335,43.0,0.05534505107610765,2021-11-11 13:30:00,G002_20211111_133000.WAV,G002
307.5468816664736,3.049664810101295,54.18472779808684,0.6993729017222933,0.7038057077766616,0.9937016622550964,0.9550545580251544,20.0,0.10809587116951044,2021-11-11 14:00:00,G002_20211111_140000.WAV,G002
311.2505376461831,3.048550825144168,52.19384554994942,0.6939432792852845,0.6991466208102495,0.9925575818146204,0.975245260681034,40.0,0.10769117812874483,2021-11-11 14:30:00,G002_20211111_143000.WAV,G002
315.02567303378737,3.0194358489292092,40.6105811137098,0.6044440581878294,0.626347007839926,0.9650306469450011,-0.06700329811460405,33.0,0.05031129897725416,2021-11-11 15:00:00,G002_20211111_150000.WAV,G002
317.5171975078655,3.0419846742307284,46.82202479491431,0.7697338966765299,0.776668999762112,0.991070709545886,0.9131681792766447,23.0,0.07333072861354611,2021-11-11 15:30:00,G002_20211111_153000.WAV,G002
319.14063547338606,3.041689933185397,49.350129230908585,0.7203461821057596,0.7314450740093966,0.9848260760814224,0.8933624724880544,27.0,0.1095415780581202,2021-11-11 16:00:00,G002_20211111_160000.WAV,G002
311.8711872453369,3.0647091867058176,60.36218932227803,0.6800434167310947,0.6842157114646332,0.9939020769859154,0.9775482358122621,23.0,0.11945262425518563,2021-11-11 16:30:00,G002_20211111_163000.WAV,G002
305.91511046110895,3.0361208891635085,55.53702747511041,0.7043149670938301,0.7094816085427628,0.9927177232126642,0.9219659026255087,22.0,0.13646983550932326,2021-11-11 17:00:00,G002_20211111_170000.WAV,G002
307.4407247276363,3.076457292188784,64.06095146885899,0.7490587765171289,0.7643438692691615,0.9800023348566298,0.9816638302573967,19.0,0.06618610460659553,2021-11-11 17:30:00,G002_20211111_173000.WAV,G002
300.4824258974065,3.0223225348727327,82.3975932831072,0.646086228138099,0.6513831850238126,0.9918681399712214,0.9446864508536688,21.0,0.10971639146665826,2021-11-11 18:00:00,G002_20211111_180000.WAV,G002
301.6621043010914,3.062421135434115,101.4937521055629,0.7817887850445341,0.7866347483555205,0.993839627195319,0.9319144788299586,56.0,0.28233414359348186,2021-11-11 18:30:00,G002_20211111_183000.WAV,G002
302.3207785467989,3.0525985894687873,94.70429508379405,0.7118481453913053,0.7172661033420998,0.9924463766995965,0.9530257769129789,51.0,0.255521262991914,2021-11-11 19:00:00,G002_20211111_190000.WAV,G002
301.4696247811375,3.02702554974299,84.26461324186714,0.8026677733447573,0.8084623880209556,0.9928325488457378,0.9358325426150114,56.0,0.27330503104249104,2021-11-11 19:30:00,G002_20211111_193000.WAV,G002
301.62508280753997,3.073137386501464,82.95907992035829,0.8320260524175744,0.8367570503189036,0.9943460316234849,0.9077089731503933,47.0,0.2157485903483769,2021-11-11 20:00:00,G002_20211111_200000.WAV,G002
301.28264573111005,3.0641617545540067,89.21068205322443,0.8135920351014151,0.8193928454772866,0.9929205991876916,0.9322956715809335,53.0,0.22302607254581638,2021-11-11 20:30:00,G002_20211111_203000.WAV,G002
290.86331891869975,3.042922720057151,90.26588813633134,0.6092569341973604,0.6125610017241696,0.9946061412373474,0.9564881486550587,27.0,0.14467819910722793,2021-11-11 21:00:00,G002_20211111_210000.WAV,G002
301.51159150826106,3.0602466636378836,95.24816079917422,0.7327914600316553,0.7367456487789121,0.9946328984042043,0.8830431930598203,29.0,0.133540836849268,2021-11-11 21:30:00,G002_20211111_213000.WAV,G002
300.9801039476922,3.0620518887426873,86.05894018309546,0.7327209759872522,0.7371857123636885,0.9939435391902527,0.8719743662965606,15.0,0.11555078897661607,2021-11-11 22:00:00,G002_20211111_220000.WAV,G002
300.97140756710485,3.05675180045591,79.96899431187133,0.7837760294811189,0.7915326334035444,0.9902005254172875,0.891759477304756,44.0,0.1556835772417416,2021-11-11 22:30:00,G002_20211111_223000.WAV,G002
303.5742023713076,3.069421580800147,87.05800906674482,0.8734584082495407,0.8782391494135635,0.9945564472191712,0.8757781195171603,59.0,0.32112611301512045,2021-11-11 23:00:00,G002_20211111_230000.WAV,G002
297.98389841395834,3.075015753078561,109.57898992151263,0.8761382619691355,0.8802051710347305,0.9953795896690607,0.9032317549467795,49.0,0.38949301489322835,2021-11-11 23:30:00,G002_20211111_233000.WAV,G002
299.0612975323106,3.0846930302652664,111.64843998078346,0.877197312890621,0.8801537377908243,0.996641013071621,0.9140733349325421,60.0,0.41870520952698115,2021-11-12 00:00:00,G002_20211112_000000.WAV,G002
297.5349989655587,3.0762185882616015,109.37532475924259,0.8953849881667124,0.898477814297263,0.9965577045071841,0.9499035614497247,53.0,0.4340695600033914,2021-11-12 00:30:00,G002_20211112_003000.WAV,G002
298.9168670464993,3.0865550397986317,105.04247520462846,0.8525218380672541,0.8572592956291276,0.9944737168951936,0.960636188081689,52.0,0.34932526394639524,2021-11-12 01:00:00,G002_20211112_010000.WAV,G002
