ACI,ADI,BI,H,Hf,Ht,NDSI,NP,SC,date,fname_audio,sensor_name
296.5395913471424,3.069398619081537,48.401509268447214,0.7039393996198523,0.7147719032176347,0.9848448105626165,0.9876862123771886,4.0,0.005088818322542976,2021-11-11 14:00:00,G02A_20211111_140000.WAV,G02A
308.17689994210593,3.073778047847618,41.67327025960501,0.7098109543650214,0.7148904157041952,0.992894769285485,0.9028524142225864,11.0,0.01950130978946347,2021-11-11 14:30:00,G02A_20211111_143000.WAV,G02A
313.55943398502427,3.0481303451223893,39.25197260443827,0.799511787742131,0.8219010694776233,0.9727591524491844,0.6989973097392225,26.0,0.03235621378630983,2021-11-11 15:00:00,G02A_20211111_150000.WAV,G02A
308.06012332451365,3.063660165165095,50.91355142178135,0.7073805551890436,0.7146555489051458,0.9898202795357183,0.9222195660103593,19.0,0.03414018462044076,2021-11-11 15:30:00,G02A_20211111_153000.WAV,G02A
312.3916223095919,3.0435122523867326,62.71154876722325,0.7768802822336519,0.7901639892207616,0.9831886707464235,0.894037725911837,30.0,0.03139211783822243,2021-11-11 16:00:00,G02A_20211111_160000.WAV,G02A
306.4646124187768,3.0635560781414752,53.88449531505158,0.6570028523300196,0.6614377405212617,0.9932950784033777,0.987360541999522,11.0,0.045912993618436516,2021-11-11 16:30:00,G02A_20211111_163000.WAV,G02A
307.0181204666171,3.0568761226090557,62.70844834840624,0.6260026289176731,0.6310259814598762,0.9920393887259894,0.9935881426798103,12.0,0.05139164584201937,2021-11-11 17:00:00,G02A_20211111_170000.WAV,G02A
313.22263256417665,3.0721991064076275,73.59381304342644,0.7458164678691063,0.7531584298540777,0.9902517694897289,0.9921840119704803,16.0,0.04223404543575301,2021-11-11 17:30:00,G02A_20211111_173000.WAV,G02A
320.9885248742082,3.035447394605911,83.15938040086863,0.5011174322625841,0.506399836105779,0.9895687094138563,0.9885313925793978,23.0,0.06561359069363339,2021-11-11 18:00:00,G02A_20211111_180000.WAV,G02A
309.1280549556408,3.061282407609023,88.6487664660061,0.6932782666367437,0.7085117611904881,0.9784993060268357,0.9214791823572649,29.0,0.07550365928167421,2021-11-11 18:30:00,G02A_20211111_183000.WAV,G02A
313.0242100063299,3.058899883455464,77.46578338879318,0.6844926516516455,0.6927519709428118,0.9880775232152345,0.822943108852425,20.0,0.04985765818209788,2021-11-11 19:00:00,G02A_20211111_190000.WAV,G02A
295.7467149201445,3.032713287261852,93.76648796974344,0.5567629715419675,0.5732521787969788,0.9712356832387181,0.9693560632415593,36.0,0.10617117554150637,2021-11-11 19:30:00,G02A_20211111_193000.WAV,G02A
315.6197495131679,3.0506989309940122,78.62731071105004,0.6736200331883159,0.6874516496510413,0.9798798701410542,0.9490485668529246,25.0,0.06675075191617348,2021-11-11 20:00:00,G02A_20211111_200000.WAV,G02A
296.918933933016,3.0444104840317827,76.75277665511693,0.6506857315694133,0.6604557186812454,0.9852072033968604,0.8941956284827959,36.0,0.08744953355412266,2021-11-11 20:30:00,G02A_20211111_203000.WAV,G02A
292.4483734906719,3.0394157278917064,85.12555840385515,0.498651125202454,0.509490125165174,0.9787257899076924,0.9936149273592735,38.0,0.10815967806362684,2021-11-11 21:00:00,G02A_20211111_210000.WAV,G02A
317.0703522601464,3.0654722468564737,70.06554370547418,0.7688343472212752,0.7860675391332262,0.9780767032678215,0.9238244256099842,26.0,0.04661224725258877,2021-11-11 21:30:00,G02A_20211111_213000.WAV,G02A
315.0019088612596,3.056382347663792,68.30894518532024,0.8152077806409465,0.8331818413337627,0.9784272054416797,0.826874218363381,35.0,0.035700394291642956,2021-11-11 22:00:00,G02A_20211111_220000.WAV,G02A
304.6715242437708,3.057790328907884,64.49772611891703,0.7915985240159472,0.8047127735067798,0.9837031920921507,0.8125964469070435,19.0,0.03718718233125917,2021-11-11 22:30:00,G02A_20211111_223000.WAV,G02A
310.4853249146017,3.063464155819896,85.15041178882785,0.839198294652683,0.8512891697787662,0.9857969823236147,0.8075880883824976,36.0,0.05795588933262359,2021-11-11 23:00:00,G02A_20211111_230000.WAV,G02A
307.94259336237326,3.0791098773095356,82.44027177353135,0.8350494317420114,0.8429405024254749,0.990638638598148,0.8541054906283863,25.0,0.061321921514023964,2021-11-11 23:30:00,G02A_20211111_233000.WAV,G02A
305.6396972386352,3.0837209793262303,98.57781559833221,0.8718012351986874,0.8789441898317308,0.9918732557588088,0.8887202825537955,31.0,0.07425898781288322,2021-11-12 00:00:00,G02A_20211112_000000.WAV,G02A
303.77295568369243,3.0852547222939943,103.6490443730558,0.8744281379434142,0.8810753312191262,0.99245559029951,0.8630710059306929,34.0,0.07186579224999716,2021-11-12 00:30:00,G02A_20211112_003000.WAV,G02A
304.9667434518587,3.0859575424234875,101.94507510017708,0.830316601430948,0.8391930303859513,0.9894226612547998,0.8489937583400421,29.0,0.07055906202117514,2021-11-12 01:00:00,G02A_20211112_010000.WAV,G02A
293.5641898866602,3.0847904121317216,101.93807089977732,0.8756696759989694,0.8810685944655618,0.9938723063101944,0.9282517336819645,53.0,0.13179707309910083,2021-11-12 01:30:00,G02A_20211112_013000.WAV,G02A
306.84182361032146,3.078863874389154,99.87448714901277,0.7922725211920204,0.8005268178020357,0.9896889193135606,0.8724871373055887,25.0,0.07196193962469309,2021-11-12 02:00:00,G02A_20211112_020000.WAV,G02A
307.7478563277383,3.065578730731099,93.43184295084066,0.7834542658157475,0.791789807410354,0.9894725323354832,0.8729465731800553,24.0,0.06076601487487294,2021-11-12 02:30:00,G02A_20211112_023000.WAV,G02A
