sensor_name,ID_MUEST_PT,TASA_MUEST,RES_BITS,MICROFONO,REF_GRAB,FECHA_INI,FECHA_FIN,HORA_INI,HORA_FIN,NUM_GRAB,TASA_GRAB,ESTACIONAL,ALTURA,ACI_Q25,ACI_Q50,ACI_Q75,ADI_Q25,ADI_Q50,ADI_Q75,NDSI_Q25,NDSI_Q50,NDSI_Q75,BIO_Q25,BIO_Q50,BIO_Q75,AEI_Q25,AEI_Q50,AEI_Q75,NP_Q25,NP_Q50,NP_Q75,SC_Q25,SC_Q50,SC_Q75,HF_Q25,HF_Q50,HF_Q75,HT_Q25,HT_Q50,HT_Q75,ASU,BIOFONIA,GEOFONIA,ANTROPOFONIA
G001,ANH_274,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-17,2022-07-06,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,304.4908795350244,307.8460740376383,313.29339706639576,3.0389183933852975,3.051817669589314,3.062670840959624,0.5407328485320411,0.7138176766975983,0.8376854644130756,29.910978052314015,41.76086183013666,76.55430135439312,0.6408053783934549,0.6884306501627879,0.7460757100563911,5.0,17.0,34.0,0.0036739222971880004,0.02629412181173115,0.07814793060257305,0.657185611911084,0.709736985515178,0.7851892268197502,0.9540418545242396,0.9783367340615701,0.9871198727723693,0.4361979166666667,,,
G003,ANH_089,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-13,2022-07-02,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,304.79131983076377,312.61472086595853,333.287824419927,3.00512958889876,3.0459396655931847,3.077753049639367,-0.548634583141641,0.4300509746122067,0.9412034319086731,10.799685051807375,17.137916261834945,27.895384335272816,0.4471066771671255,0.6381939477235907,0.7957195928026467,2.0,5.0,15.0,2.425536043465606e-05,0.0009103408249618999,0.016555048305315075,0.5213966615986656,0.731743869665574,0.8487012970586696,0.8705854121966448,0.937475258627058,0.9794119462407891,0.3795572916666667,,,
G004,ANH_257,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-13,2022-07-02,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,301.7308194355953,305.6293046847019,315.52525974634125,3.0490042148552927,3.0635085310574874,3.074983513665492,0.6595656029847363,0.9190949303854103,0.9724119178081894,23.41542232602731,41.114067618758526,59.688729239131355,0.5943344168645184,0.7012838227475606,0.7840800162927929,7.0,20.0,44.0,0.008421417439560425,0.03536781178189925,0.10583422269654921,0.6224507508005882,0.7673865539219509,0.8288495591758716,0.9277582461815128,0.9714590862560963,0.9837430716651931,0.5,,,
G005,ANH_324,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-15,2022-07-04,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,301.9852568591218,303.59745226264215,306.9002488488394,2.9805149712613623,3.0064385950959025,3.026104603756948,-0.8591509920408297,-0.7565322315799237,-0.591246177904216,10.837792278529104,13.616142309682566,15.788574035653637,0.4286307591186708,0.5178677341491823,0.6024085562196828,1.0,1.0,2.0,0.0,3.14664135368511e-05,0.0002298796322275,0.5018141850175702,0.5772707669965712,0.6595358722024094,0.8409873822969539,0.914592146314564,0.9598730909523603,0.0029296875,,,
G007,ANH_232,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-12,2022-07-01,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,304.912928152191,308.5001418978777,314.40562684299925,3.0607076952852896,3.072792038616603,3.08240156998096,0.11050043398780805,0.3933789739435478,0.632653078334058,11.455056898213694,17.7975200807558,33.21598817127839,0.7588475476044793,0.812209619663327,0.843985630757202,4.0,18.5,39.0,0.00036186375567375,0.0067193903906817,0.029702109211180647,0.8051371196759987,0.8582169519867421,0.9021163327761683,0.9226225662568358,0.9602566213063684,0.9833628637753273,0.3372395833333333,,,
G008,ANH_291,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-16,2022-07-05,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,300.2722086384303,303.3313266596121,309.2359023956807,3.03316735522956,3.0404789065467535,3.048128475705364,0.7523373720796479,0.8930784750879592,0.9463617724612876,35.68268609778604,51.83452797569622,62.32025496668308,0.585178228797008,0.6370727473524542,0.6764286007159166,12.0,17.0,25.0,0.0337649913423659,0.06807103018415714,0.10322251037299057,0.5954654790605729,0.6457681410243419,0.6900695474765148,0.9809705729340277,0.9886232401107937,0.9918411515353645,0.4072265625,,,
G010,ANH_062,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-13,2022-07-02,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,304.8592578923975,309.58439231514205,316.38597541829154,3.033648676143919,3.0557472560910943,3.0716630805575686,0.4103665904341185,0.939269733230605,0.9901979105824923,19.822664412855573,38.51479494155239,67.9911591463101,0.5987077344173597,0.7335718716863557,0.807422842852928,6.0,18.0,53.0,0.0020193133853751996,0.033196629247856546,0.2574094663208857,0.6318640168792885,0.7871237384430536,0.8406075786842229,0.927603951012556,0.9665594971577154,0.9837174053660481,0.4840494791666667,,,
G011,ANH_211,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-16,2022-07-05,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,304.7702005452579,309.4426421222511,319.0015310965906,3.0471734343640664,3.063799093970387,3.0764051456125605,0.8015007933178491,0.9634545880666098,0.9885409835633354,30.10014179948316,44.857156642181,64.6910179949889,0.6275590506809162,0.7264901487121331,0.8201446518877598,5.0,15.0,41.25,0.0119867369066942,0.04831405578470675,0.17614832742901043,0.6388989274947316,0.7594492331991493,0.8531558139276765,0.9635562095996414,0.9849030171863824,0.9914096739970552,0.4612630208333333,,,
G012,ANH_350,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-14,2022-07-03,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,299.99392125557114,300.9822952839488,307.870599049681,3.084264292985379,3.0872214621089724,3.088341863627955,0.33586684492113317,0.4524154660945069,0.7450450798521224,6.3609692534770765,9.3265411610669,12.480942623313847,0.8699084227772317,0.9090300159676186,0.9210887571596847,0.0,0.0,0.0,0.0,0.0,0.0,0.887295046062998,0.917211414235507,0.9273253493428628,0.9814069140801422,0.9947833209936583,0.9967089041682939,0.011067708333333334,,,
G013,ANH_214,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-15,2022-07-04,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,304.15218217443584,307.58710315932797,315.7832220784471,3.0581426849991127,3.074185223958514,3.083730647742199,0.6286432420225196,0.8221784705550648,0.9321030529969795,18.04564115649253,35.41536468717673,51.61448740401919,0.699252530900752,0.7765966305957557,0.8247636860618612,4.0,10.0,36.0,0.0015665466572617,0.0119069782890487,0.05760844768315415,0.7361042924640153,0.8277263709447469,0.8614927667244782,0.9338750284984806,0.9675610189951219,0.9830609873103908,0.4645182291666667,,,
