eventID,sensor_name,decimalLat,decimalLon,GrupoBiolo,Cobertura,Plataf
ANH_240,G076,7.395027777999999,-73.80772222,Sensores Pasivos,Bosque Ripario,Kale
ANH_166,G077,7.407027778,-73.86494444,Sensores Pasivos,Herbazales,Kale
ANH_279,G078,7.269583334,-73.81569444,Sensores Pasivos,Herbazales,Platero
ANH_227,G079,7.250833334,-73.81491667,Sensores Pasivos,Palma,Platero
ANH_253,G080,7.333166667,-73.83427778,Sensores Pasivos,Bosque Ripario,Kale
ANH_212,G081,7.390583334,-73.783,Sensores Pasivos,Palma,Kale
ANH_031,G028,7.423166999999999,-73.775972,Sensores Pasivos,Herbazales,Kale
ANH_283,G082,7.415333334,-73.84297222,Sensores Pasivos,Herbazales,Kale
ANH_336,G083,7.238555556000001,-73.82358333,Sensores Pasivos,Bosque Ripario,Platero
ANH_101,G084,7.274133,-73.738422,Sensores Pasivos,Bosque Ripario,Caracterizacion
ANH_312,G085,7.344193269,-73.75756446,Sensores Pasivos,Bosque Ripario,Caracterizacion
ANH_363,G086,7.371444445,-73.77575,Sensores Pasivos,Bosque Ripario,Kale
ANH_233,G087,7.284666667000001,-73.8395,Sensores Pasivos,Bosque Ripario,Platero
ANH_095,G088,7.370163000000001,-73.721601,Sensores Pasivos,Palma,Caracterizacion
ANH_197,G089,7.417861111000001,-73.85855556,Sensores Pasivos,Bosque Abierto,Kale
ANH_231,G090,7.307944445,-73.83508333,Sensores Pasivos,Bosque Ripario,Platero
ANH_317,G091,7.304583334,-73.82708333,Sensores Pasivos,Bosque Ripario,Platero
ANH_135,G092,7.239027778,-73.87933333,Sensores Pasivos,Bosque Ripario,Platero
ANH_208,G098,7.347972222,-73.83280556,Sensores Pasivos,Palma,Kale
ANH_242,G093,7.391888889,-73.77269444,Sensores Pasivos,Bosque Ripario,Kale
ANH_226,G094,7.240833222000001,-73.89630567,Sensores Pasivos,Palma,Platero
ANH_109,G095,7.380638889,-73.88080556,Sensores Pasivos,Palma,Kale
ANH_256,G096,7.295527777999999,-73.78208333,Sensores Pasivos,Palma,Caracterizacion
ANH_290,G097,7.324361111,-73.74205556,Sensores Pasivos,Bosque Ripario,Caracterizacion
ANH_229,G099,7.334694445,-73.85297222,Sensores Pasivos,Palma,Kale
ANH_066,G100,7.364778,-73.810528,Sensores Pasivos,Palma,Kale
ANH_361,G6585,7.428999999999999,-73.81827778,Sensores Pasivos,Bosque Ripario,Kale
ANH_361,G6611,7.428999999999999,-73.81827778,Sensores Pasivos,Bosque Ripario,Kale
ANH_361,G6599,7.428999999999999,-73.81827778,Sensores Pasivos,Bosque Ripario,Kale
ANH_361,SMU05597,7.428999999999999,-73.81827778,Sensores Pasivos,Bosque Ripario,Kale
ANH_085,G6594,7.276944,-73.904,Sensores Pasivos,Herbazales,Platero
ANH_085,G6598,7.276944,-73.904,Sensores Pasivos,Herbazales,Platero
ANH_085,G6600,7.276944,-73.904,Sensores Pasivos,Herbazales,Platero
ANH_393,G6597,7.340527777999999,-73.72497222,Sensores Pasivos,Bosque Ripario,Caracterizacion
ANH_393,G6606,7.340527777999999,-73.72497222,Sensores Pasivos,Bosque Ripario,Caracterizacion
ANH_393,SMU06597,7.340527777999999,-73.72497222,Sensores Pasivos,Bosque Ripario,Caracterizacion
ANH_393,G6604,7.340527777999999,-73.72497222,Sensores Pasivos,Bosque Ripario,Caracterizacion
