Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Descripción
1	Waveform 1	1	0.000000000	11.022726316	5245.509	6179.641		BIO	INSECT	
1	Spectrogram 1	1	0.000000000	11.022726316	5245.509	6179.641	6000.000	BIO	INSECT	
2	Waveform 1	1	17.840907542	37.784087629	5532.934	6395.210		BIO	INSECT	
2	Spectrogram 1	1	17.840907542	37.784087629	5532.934	6395.210	6000.000	BIO	INSECT	
3	Waveform 1	1	0.454545415	58.522722193	6610.778	8263.473		BIO	INSECT	
3	Spectrogram 1	1	0.454545415	58.522722193	6610.778	8263.473	7500.000	BIO	INSECT	
4	Waveform 1	1	0.511363592	59.943176615	2802.395	3664.671		BIO	INDETE	
4	Spectrogram 1	1	0.511363592	59.943176615	2802.395	3664.671	3375.000	BIO	INDETE	
5	Waveform 1	1	1.022727184	55.795449702	1365.269	2946.108		BIO	AVEVOC	
5	Spectrogram 1	1	1.022727184	55.795449702	1365.269	2946.108	2250.000	BIO	AVEVOC	
6	Waveform 1	1	45.738632393	58.238631308	8838.323	9772.455		BIO		
6	Spectrogram 1	1	45.738632393	58.238631308	8838.323	9772.455	9375.000	BIO		
