Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Tipo	Id	Determinación
1	Waveform 1	1	8.861711366	59.999994792	690.096	2530.351		BIO	AVEVOC	NYCALB
1	Spectrogram 1	1	8.861711366	59.999994792	690.096	2530.351	1500.000	BIO	AVEVOC	NYCALB
2	Waveform 1	1	0.000000000	59.999994792	0.000	460.064		ANT		
2	Spectrogram 1	1	0.000000000	59.999994792	0.000	460.064	375.000	ANT		
3	Waveform 1	1	0.282220107	59.999994792	3833.866	5214.058		BIO	INSECT	
3	Spectrogram 1	1	0.282220107	59.999994792	3833.866	5214.058	4125.000	BIO	INSECT	
4	Waveform 1	1	0.000000000	59.999994792	5597.444	6134.185		BIO	INSECT	
4	Spectrogram 1	1	0.000000000	59.999994792	5597.444	6134.185	6000.000	BIO	INSECT	
5	Waveform 1	1	0.620884236	59.999994792	6517.572	6824.281		BIO	INSECT	
5	Spectrogram 1	1	0.620884236	59.999994792	6517.572	6824.281	6750.000	BIO	INSECT	
6	Waveform 1	1	1.749764665	58.193786106	6900.958	7821.086		BIO	INSECT	
6	Spectrogram 1	1	1.749764665	58.193786106	6900.958	7821.086	7500.000	BIO	INSECT	
7	Waveform 1	1	0.000000000	59.999994792	7591.054	8434.505		BIO	INSECT	
7	Spectrogram 1	1	0.000000000	59.999994792	7591.054	8434.505	7875.000	BIO	INSECT	
8	Waveform 1	1	4.063969544	59.887106749	8741.214	21086.262		BIO	INSECT	
8	Spectrogram 1	1	4.063969544	59.887106749	8741.214	21086.262	16500.000	BIO	INSECT	
9	Waveform 1	1	1.128880429	2.709313029	8511.182	30180.031		BIO	INSECT	
9	Spectrogram 1	1	1.128880429	2.709313029	8511.182	30180.031	13500.000	BIO	INSECT	
10	Waveform 1	1	7.213599860	8.850792976	22564.103	31179.487			INDETE	
10	Spectrogram 1	1	7.213599860	8.850792976	22564.103	31179.487	24375.000		INDETE	
11	Waveform 1	1	15.344503883	28.725184539	21333.333	28717.949			INDETE	
11	Spectrogram 1	1	15.344503883	28.725184539	21333.333	28717.949	24375.000		INDETE	
12	Waveform 1	1	56.449774388	59.035001436	20512.821	28717.949			INDETE	
12	Spectrogram 1	1	56.449774388	59.035001436	20512.821	28717.949	24750.000		INDETE	
