ADI,ACI,NDSI,BI,Hf,Ht,H,SC,NP,fname,sensor_name,date
3.064761397119306,308.7723774741848,0.95757016212786,76.07652168281312,0.7174752109173826,0.9804209465327979,0.703427725401439,0.0810338814607758,41.0,G064_20220615_000000.WAV,G064,2022-06-15 00:00:00
3.058673940621745,312.568772988781,0.4217676817642664,74.73792514980387,0.7110360305678021,0.950147173581231,0.6755888747584149,0.08654137789676745,43.0,G064_20220615_003000.WAV,G064,2022-06-15 00:30:00
3.071314615980438,315.9867819255592,0.6510025279132412,76.85615488426453,0.7615017071193453,0.9683271767866869,0.7373827981731181,0.09626712188078251,55.0,G064_20220615_010000.WAV,G064,2022-06-15 01:00:00
3.0723786237675688,307.96541706208404,0.8242951544723831,77.02991988883122,0.742112831705369,0.981411252975555,0.7283178840132034,0.09480043738314817,38.0,G064_20220615_013000.WAV,G064,2022-06-15 01:30:00
3.0788305462389944,313.06549256148656,0.8640992134285168,73.42926814255323,0.793765272584731,0.9772467318616294,0.7757045184986837,0.08723626119570624,42.0,G064_20220615_020000.WAV,G064,2022-06-15 02:00:00
3.076626142104164,312.6431430617981,0.6392586153200082,73.25092714825036,0.7851046636931452,0.9679416630901961,0.7599355138750121,0.087400585799732,38.0,G064_20220615_023000.WAV,G064,2022-06-15 02:30:00
3.0257618652465554,339.42441494603713,0.4277443523576052,19.992821316535217,0.820879696951344,0.9109496124319795,0.7477800417911076,0.03995185638728862,41.0,G064_20220615_030000.WAV,G064,2022-06-15 03:00:00
3.0685286238656797,327.1565303397535,0.9232429775362255,50.23598915830719,0.7435947217080531,0.9816401986274138,0.7299424703157897,0.09057082696356976,46.0,G064_20220615_033000.WAV,G064,2022-06-15 03:30:00
3.0624786289999326,321.7752237047383,0.8934846580426232,59.009636302342784,0.7947157055043088,0.9732946847963115,0.7734925720914946,0.09134962069860682,39.0,G064_20220615_040000.WAV,G064,2022-06-15 04:00:00
3.063961793059232,319.3829497690376,0.5880451327670732,58.672465368887465,0.766657803760248,0.9653551173692477,0.7400970341310239,0.0826570239590517,38.0,G064_20220615_043000.WAV,G064,2022-06-15 04:30:00
3.062887526630258,321.9724392866675,0.564419088869629,56.9179013410937,0.8346390359505378,0.9534285946316381,0.7957687230710265,0.0730248051486045,54.0,G064_20220615_050000.WAV,G064,2022-06-15 05:00:00
3.0785831572167166,317.98710646301475,0.927892037855124,39.8687809669529,0.8262555490186899,0.9371020297439943,0.7742857520726527,0.0628620276432443,42.0,G064_20220615_053000.WAV,G064,2022-06-15 05:30:00
3.0555031948242832,322.6669798436168,0.8858882665312187,34.68003475384794,0.8243448253207433,0.938590738628874,0.7737224184826865,0.009763328866850744,28.0,G064_20220615_060000.WAV,G064,2022-06-15 06:00:00
3.006072002455929,316.3216566161865,0.834339329896633,38.97397024065865,0.7467673805703184,0.9552643624859811,0.7133602657258313,0.008645397119249842,17.0,G064_20220615_063000.WAV,G064,2022-06-15 06:30:00
3.031362815230231,304.1529087174671,0.8931906261451302,56.744886429487735,0.7579193050424191,0.9602382864883562,0.7277831347703783,0.07642929627988326,33.0,G064_20220615_070000.WAV,G064,2022-06-15 07:00:00
3.0503928733279344,309.8380798666202,0.5359439138741049,38.78379107800812,0.8451798653784994,0.954073492027024,0.806363705552595,0.005545955385870007,18.0,G064_20220615_073000.WAV,G064,2022-06-15 07:30:00
3.0459276808103843,302.6872742247952,0.9463092145866261,62.177704042399206,0.7669641674523714,0.9449200444996475,0.7247198152387299,0.02463295739709827,17.0,G064_20220615_080000.WAV,G064,2022-06-15 08:00:00
3.043603192946101,299.1417374510347,0.9479738072224707,64.88073936157106,0.7685171284699066,0.9721648970096567,0.7471253750491038,0.021301013830362814,14.0,G064_20220615_083000.WAV,G064,2022-06-15 08:30:00
3.047096909104886,303.4953307421999,0.7344595632666742,31.015957092604975,0.7834810308628511,0.9665623555843451,0.7572832707464484,0.0006441874104627573,8.0,G064_20220615_090000.WAV,G064,2022-06-15 09:00:00
3.0467311696450428,303.5678942719901,0.7727993073768412,23.837626795346956,0.8273185256277363,0.9705580622226229,0.8029606650741331,0.0006162172650966676,2.0,G064_20220615_093000.WAV,G064,2022-06-15 09:30:00
3.0500231945414082,303.0185381845063,0.9118658324439937,51.10765729616823,0.8551254605761264,0.9442050160837151,0.8074137492568757,0.006572110093988429,11.0,G064_20220615_100000.WAV,G064,2022-06-15 10:00:00
3.0388015994597257,309.26385391095823,0.1720689175607307,15.549142294955338,0.8578546895763289,0.9478915453235012,0.8131532073655188,0.0005934915219867195,4.0,G064_20220615_103000.WAV,G064,2022-06-15 10:30:00
3.0155967762738887,304.4780145315863,0.6717895198585433,9.85531135965382,0.7263119135229462,0.9384187098231085,0.6815846888173563,0.0007796678020797552,4.0,G064_20220615_110000.WAV,G064,2022-06-15 11:00:00
3.0464810428524483,305.5881812490971,0.7514330307092019,15.70664507041606,0.8864183203354543,0.96915758666761,0.8590790401142653,0.00011625091667781103,3.0,G064_20220615_113000.WAV,G064,2022-06-15 11:30:00
3.060178789599741,300.04933675611437,0.907465204048007,28.833741837443817,0.7716117401227305,0.9865270982924986,0.7612158909917028,0.000524440225614185,1.0,G064_20220615_120000.WAV,G064,2022-06-15 12:00:00
3.04629289805488,296.67809951394435,0.977671945733576,48.41051261145982,0.8311378218630502,0.8972053528431759,0.7457013027259466,0.04634216053639747,42.0,G064_20220615_123000.WAV,G064,2022-06-15 12:30:00
