"MDS1","MDS2","sensor_name","Cobertura","temporada","eventID"
0.959881601858929,0.250808303748385,"G077","Bosque Ripario","T1","ANH_231"
-0.509176605183744,-0.0333343354859246,"G078","Palma","T1","ANH_214"
-0.3419271729889,-0.421673288947959,"G079","Herbazales","T1","ANH_31"
0.864741795784927,-0.454653970631647,"G080","Bosque Ripario","T1","ANH_242"
0.429287797768841,0.56764114694021,"G081","Herbazales","T1","ANH_324"
-0.166993937343695,0.107990455099859,"G082","Bosque Ripario","T1","ANH_317"
0.197537080685535,0.2076281027179,"G083","Bosque Ripario","T1","ANH_88"
0.268381321040737,0.114772369517557,"G084","Palma","T1","ANH_364"
0.316746235643132,0.675297895675026,"G085","Bosque Ripario","T1","ANH_250"
-0.418147102499057,-0.032178652568919,"G086","Palma","T1","ANH_225"
-0.0533646213891404,0.0672740090186854,"G087","Bosque Ripario","T1","ANH_274"
-0.568438563763167,-0.0925785815676403,"G088","Palma","T1","ANH_210"
0.912309925623199,-0.370340113759698,"G089","Bosque Ripario","T1","ANH_336"
-0.204608627753795,0.111340073964807,"G090","Bosque Ripario","T1","ANH_334"
-0.446847215144483,0.0427726535474378,"G091","Bosque Denso","T1","ANH_252"
0.406910445386816,0.62249385534892,"G092","Herbazales","T1","ANH_283"
0.538428908749736,-0.668737707656519,"G093","Bosque Denso","T1","ANH_189"
-0.565976580726145,-0.00612063988928607,"G094","Palma","T1","ANH_388"
0.0170462822522108,-0.255255685652183,"G095","Bosque Ripario","T1","ANH_253"
0.270602258018755,0.198518805086212,"G096","Bosque Ripario","T1","ANH_106"
-0.185299996056259,0.0732913031369113,"G097","Bosque Ripario","T1","ANH_234"
0.375279903843704,-0.251605760519483,"G098","Bosque Ripario","T1","ANH_77"
0.0276363213613812,0.611356585787819,"G099","Herbazales","T1","ANH_121"
-0.215990887160691,-0.170507269155941,"G100","Bosque Ripario","T1","ANH_159"
0.162023002797817,0.041346936773998,"G001","Bosque Ripario","T2","ANH_274"
0.17777525539321,-0.0704630022994941,"G002","Bosque Ripario","T2","ANH_284"
-0.362065761484187,0.0803665673366037,"G004","Palma","T2","ANH_257"
0.372433440089742,0.575622798748539,"G005","Herbazales","T2","ANH_324"
0.821850337805363,-0.208902678590347,"G006","Bosque Denso","T2","ANH_390"
0.533445826751137,-0.124561057211205,"G007","Bosque Ripario","T2","ANH_232"
0.0756401730264785,0.588320371070263,"G008","Bosque Ripario","T2","ANH_291"
-0.34037704892138,0.575739113106872,"G010","Bosque Ripario","T2","ANH_062"
-0.349725931767849,0.0449874697737218,"G011","Palma","T2","ANH_211"
-0.312953367433563,-0.0168808783654486,"G012","Palma","T2","ANH_350"
-0.451722479539157,0.0565523459620498,"G013","Palma","T2","ANH_214"
0.0110358437220591,-0.175912668856254,"G014","Herbazales","T2","ANH_121"
-0.128837518794558,0.156038963725869,"G015","Palma","T2","ANH_327"
0.215837897519922,0.0295927121076946,"G016","Bosque Ripario","T2","ANH_360"
0.110100509440648,-0.676837921004214,"G017","Bosque Ripario","T2","ANH_058"
-0.102250022312563,0.378285861504166,"G018","Bosque Ripario","T2","ANH_182"
-0.214838072687373,0.171133955458549,"G019","Palma","T2","ANH_222"
0.593519977591181,-0.191922127790778,"G020","Bosque Ripario","T2","ANH_077"
0.461538860829646,-0.476351561222855,"G021","Palma","T2","ANH_217"
0.217938093908069,-0.173021537315874,"G022","Bosque Ripario","T2","ANH_235"
0.435327728679018,0.268739943588973,"G024","Bosque Ripario","T2","ANH_238"
-0.409264945370182,-0.215433357276122,"G025","Pastos","T2","ANH_192"
0.247181544098721,0.473393179127605,"G026","Palma","T2","ANH_081"
-0.366417300862314,1.02922222330945,"G027","Herbazales","T2","ANH_282"
-0.0261910724628316,-0.555597380236233,"G028","Herbazales","T2","ANH_031"
-0.450220791497705,0.199104737608559,"G030","Bosque Ripario","T2","ANH_248"
-0.52561837510139,0.397069621690358,"G031","Palma","T2","ANH_069"
0.324353600985558,-0.00344260970561849,"G032","Bosque Ripario","T2","ANH_230"
0.251063278825367,-0.0932141451324225,"G033","Bosque Ripario","T2","ANH_159"
-0.295643307645827,-0.0227318796545402,"G035","Bosque Ripario","T2","ANH_334"
-0.157599939837294,-0.570517082759918,"G036","Bosque Ripario","T2","ANH_289"
